Date,Open,High,Low,Close
2011-01-03,8.3516,8.4359,8.0892,8.3703
2011-01-04,8.361,8.5766,8.2766,8.5015
2011-01-05,8.4547,8.4547,7.9954,8.3797
2011-01-06,8.3516,8.3516,8.1735,8.2672
2011-01-07,8.2859,8.3236,8.1547,8.3236
2011-01-10,8.2391,8.6047,8.1923,8.6047
2011-01-11,8.6141,8.7641,8.5015,8.7641
2011-01-12,8.8483,8.8483,8.5203,8.6235
2011-01-13,8.5859,8.8015,8.5578,8.7265
2011-01-14,8.7641,8.9796,8.7641,8.914
2011-01-18,8.914,8.914,8.7171,8.7359
2011-01-19,8.6422,8.6891,8.4359,8.4359
2011-01-20,8.4266,8.5485,8.1547,8.1735
2011-01-21,8.0329,8.2203,8.0142,8.0422
2011-01-24,8.0422,8.211,8.0422,8.1923
2011-01-25,8.2203,8.361,8.2016,8.3421
2011-01-26,8.3892,8.7733,8.3421,8.3892
2011-01-27,8.3892,8.5766,8.3421,8.4641
2011-01-28,8.4359,8.5297,8.0236,8.0236
2011-01-31,8.0142,8.3236,7.9486,8.2954
2011-02-01,8.3141,8.5485,8.2672,8.5297
2011-02-02,8.061,8.4828,8.061,8.3421
2011-02-03,8.4547,8.5671,8.1547,8.4359
2011-02-04,8.3985,8.511000000000001,8.3516,8.511000000000001
2011-02-07,8.511000000000001,9.2894,8.511000000000001,8.9421
2011-02-08,8.914,8.9515,8.6327,8.6984
2011-02-09,8.6609,8.7171,8.5297,8.5671
2011-02-10,8.6235,8.8953,8.6047,8.8109
2011-02-11,8.8109,8.9046,8.7359,8.9046
2011-02-14,8.9046,9.0453,8.8671,8.9234
2011-02-15,8.9702,9.064,8.8297,8.8297
2011-02-16,8.8109,8.9515,8.7171,8.7359
2011-02-18,8.7922,8.8109,8.7078,8.7922
2011-02-22,8.4922,8.5297,8.3141,8.3141
2011-02-23,8.2954,8.4266,8.211,8.211
2011-02-24,8.2016,8.3141,8.0142,8.0516
2011-02-25,7.8735,8.3141,7.8079,8.2954
2011-02-28,8.2954,8.3236,7.686,7.9672
2011-03-01,8.0048,8.0048,7.8267,8.0048
2011-03-02,7.9954,8.0798,7.8735,7.9298
2011-03-03,8.0798,8.2579,7.9766,8.2203
2011-03-04,8.2579,8.2579,8.0516,8.0516
2011-03-07,7.9672,8.0422,7.733,7.8923
2011-03-08,7.8923,8.1642,7.7142,7.8173
2011-03-09,7.7893,7.9672,7.7704,7.8455
2011-03-10,7.7704,7.7798,7.6392,7.6581
2011-03-11,7.611000000000001,7.733,7.5454,7.6299
2011-03-14,7.5736,7.6299,7.4049,7.5643
