Date,Open,High,Low,Close
2011-01-03,3.86,3.91,3.83,3.86
2011-01-04,3.87,3.87,3.66,3.76
2011-01-05,3.81,3.81,3.74,3.75
2011-01-06,3.78,3.79,3.78,3.78
2011-01-07,3.77,4.04,3.77,4.04
2011-01-10,4.1,4.16,3.85,3.97
2011-01-11,3.97,4.17,3.94,4.04
2011-01-12,4.05,4.17,4.05,4.08
2011-01-13,4.13,4.13,3.95,4.0
2011-01-14,3.98,3.98,3.97,3.98
2011-01-18,3.84,4.12,3.84,4.0
2011-01-19,3.97,4.0,3.75,3.9
2011-01-20,3.91,4.08,3.76,3.85
2011-01-21,3.97,3.97,3.97,3.97
2011-01-24,4.05,4.05,4.0,4.0
2011-01-25,4.0,4.0,3.8,3.85
2011-01-26,4.02,4.03,3.98,3.98
2011-01-27,3.77,4.01,3.75,3.8
2011-01-28,3.77,3.82,3.75,3.77
2011-01-31,3.83,4.02,3.83,4.02
2011-02-01,4.03,4.05,3.75,3.75
2011-02-02,3.88,3.9,3.75,3.9
2011-02-03,3.9,3.9,3.81,3.82
2011-02-04,3.82,3.82,3.82,3.82
2011-02-07,3.8,3.8,3.7,3.7
2011-02-08,3.8,3.81,3.77,3.8
2011-02-09,3.75,3.86,3.58,3.58
2011-02-10,3.6,3.6,3.5,3.6
2011-02-11,3.6,3.6,3.57,3.57
2011-02-14,3.57,3.65,3.55,3.55
2011-02-15,3.57,3.57,3.5,3.55
2011-02-16,3.54,3.59,3.45,3.59
2011-02-17,3.5,3.58,3.48,3.48
2011-02-18,3.48,3.76,3.48,3.49
2011-02-22,3.49,3.54,3.47,3.49
2011-02-23,3.5,3.7,3.47,3.56
2011-02-24,3.77,3.79,3.71,3.72
2011-02-25,3.59,3.59,3.47,3.49
2011-02-28,3.49,3.75,3.49,3.65
2011-03-01,3.67,3.67,3.64,3.67
2011-03-02,3.78,3.78,3.67,3.67
2011-03-03,3.78,4.0,3.7,3.88
2011-03-04,4.05,4.43,3.85,3.98
2011-03-07,3.98,3.98,3.86,3.9
2011-03-08,3.84,4.05,3.84,3.93
2011-03-09,3.9,4.0,3.89,3.99
2011-03-10,3.89,4.05,3.81,4.0
2011-03-11,4.06,4.09,3.8,3.98
2011-03-14,4.06,4.16,3.9,3.96
2011-03-15,3.89,3.95,3.74,3.85
2011-03-16,3.94,3.95,3.86,3.95
2011-03-18,3.85,3.9,3.74,3.9
2011-03-21,3.89,4.04,3.89,3.9
2011-03-22,3.96,4.02,3.95,4.02
2011-03-23,4.04,4.11,4.03,4.09
2011-03-24,4.08,4.3,4.08,4.26
2011-03-25,4.28,4.36,4.28,4.34
2011-03-28,4.3,4.34,4.27,4.3
2011-03-29,4.34,4.39,4.3,4.3
