Date,Open,High,Low,Close
2011-01-03,1.14,1.15,1.11,1.13
2011-01-04,1.14,1.15,1.11,1.13
2011-01-05,1.15,1.15,1.1,1.13
2011-01-06,1.11,1.14,1.1,1.12
2011-01-07,1.18,1.18,1.1,1.14
2011-01-10,1.14,1.14,1.11,1.12
2011-01-11,1.13,1.17,1.11,1.16
2011-01-12,1.14,1.29,1.14,1.29
2011-01-13,1.28,1.37,1.23,1.34
2011-01-14,1.36,1.36,1.29,1.32
2011-01-18,1.32,1.36,1.25,1.36
2011-01-19,1.31,1.34,1.24,1.27
2011-01-20,1.28,1.3,1.17,1.19
2011-01-21,1.27,1.45,1.21,1.26
2011-01-24,1.3,1.45,1.27,1.31
2011-01-25,1.34,1.34,1.24,1.3
2011-01-26,1.32,1.34,1.24,1.24
2011-01-27,1.24,1.33,1.24,1.31
2011-01-28,1.31,1.36,1.28,1.29
2011-01-31,1.31,1.32,1.26,1.3
2011-02-01,1.3,1.32,1.27,1.31
2011-02-02,1.31,1.36,1.29,1.34
2011-02-03,1.36,1.36,1.28,1.33
2011-02-04,1.27,1.32,1.27,1.3
2011-02-07,1.32,1.38,1.28,1.37
2011-02-08,1.35,1.4,1.34,1.38
2011-02-09,1.39,1.48,1.38,1.44
2011-02-10,1.45,1.47,1.36,1.38
2011-02-11,1.4,1.54,1.4,1.52
2011-02-14,1.55,1.57,1.42,1.46
2011-02-15,1.42,1.45,1.3,1.32
2011-02-16,1.3,1.4,1.27,1.32
2011-02-18,1.39,1.4,1.36,1.39
2011-02-22,1.39,1.46,1.27,1.31
2011-02-23,1.29,1.33,1.29,1.3
2011-02-24,1.3,1.32,1.3,1.3
2011-02-25,1.31,1.35,1.3,1.33
2011-02-28,1.37,1.37,1.3,1.3
2011-03-01,1.28,1.31,1.21,1.21
2011-03-02,1.26,1.32,1.23,1.28
2011-03-03,1.29,1.32,1.22,1.24
2011-03-04,1.27,1.28,1.22,1.24
2011-03-07,1.23,1.24,1.17,1.19
2011-03-08,1.18,1.21,1.14,1.17
2011-03-09,1.19,1.21,1.14,1.19
2011-03-10,1.18,1.21,1.12,1.14
2011-03-11,1.13,1.16,1.12,1.12
2011-03-14,1.11,1.12,1.07,1.07
2011-03-15,1.07,1.11,1.01,1.08
2011-03-16,1.1,1.12,1.01,1.03
2011-03-17,1.03,1.13,1.03,1.06
2011-03-18,1.15,1.15,1.02,1.02
2011-03-21,1.05,1.09,1.03,1.03
2011-03-22,1.04,1.06,1.02,1.03
2011-03-23,1.08,1.08,0.98,1.02
2011-03-24,1.02,1.08,1.02,1.07
2011-03-25,1.07,1.2,1.06,1.14
2011-03-28,1.16,1.25,1.14,1.23
2011-03-29,1.21,1.25,1.12,1.15
2011-03-30,1.18,1.24,1.16,1.23
2011-03-31,1.26,1.26,1.2,1.26
2011-04-01,1.24,1.28,1.2,1.22
2011-04-04,1.26,1.26,1.22,1.23
2011-04-05,1.26,1.26,1.16,1.23
2011-04-06,1.25,1.25,1.19,1.2
2011-04-07,1.25,1.25,1.19,1.19
2011-04-08,1.22,1.24,1.16,1.18
2011-04-11,1.16,1.21,1.14,1.18
2011-04-12,1.26,1.26,1.14,1.15
2011-04-13,1.14,1.17,1.11,1.15
2011-04-14,1.15,1.16,1.13,1.16
2011-04-15,1.14,1.18,1.08,1.12
2011-04-18,1.11,1.13,1.06,1.1
2011-04-19,1.1,1.14,1.1,1.1
2011-04-20,1.15,1.15,1.1,1.13
2011-04-21,1.15,1.15,1.11,1.14
2011-04-25,1.13,1.14,1.07,1.12
2011-04-26,1.12,1.14,1.1,1.13
2011-04-27,1.12,1.14,1.09,1.12
2011-04-28,1.09,1.12,1.05,1.06
2011-04-29,1.08,1.15,1.04,1.07
2011-05-02,1.07,1.09,1.03,1.04
2011-05-03,1.04,1.05,1.0,1.02
2011-05-04,1.02,1.04,0.95,1.02
2011-05-05,1.03,1.03,0.97,1.0
2011-05-06,1.03,1.03,1.01,1.01
2011-05-09,1.02,1.03,0.98,1.0
2011-05-10,1.0,1.02,0.91,0.99
2011-05-11,0.97,1.0,0.85,0.98
2011-05-12,0.95,0.98,0.9,0.97
2011-05-13,0.94,0.99,0.93,0.97
2011-05-16,0.99,1.11,0.99,1.07
2011-05-17,1.08,1.1,1.0,1.03
2011-05-18,1.02,1.02,0.95,1.01
2011-05-19,1.05,1.05,0.97,1.0
2011-05-20,0.99,1.07,0.98,1.07
2011-05-23,1.07,1.09,1.04,1.07
2011-05-24,1.08,1.08,1.03,1.07
2011-05-25,1.07,1.09,0.98,0.99
2011-05-26,1.0,1.03,1.0,1.03
2011-05-27,1.03,1.03,1.02,1.03
2011-05-31,1.03,1.07,0.98,1.07
2011-06-01,1.03,1.05,0.99,1.01
