Date,Open,High,Low,Close
2011-01-03,8.6253,8.7375,8.6253,8.6548
2011-01-04,8.7527,8.7527,8.67,8.7155
2011-01-05,8.7155,8.7307,8.5797,8.6548
2011-01-06,8.7155,8.8058,8.6852,8.7678
2011-01-07,8.708,8.8134,8.708,8.7678
2011-01-10,8.7678,8.7678,8.5797,8.7231
2011-01-11,8.7307,8.7754,8.6177,8.6852
2011-01-12,8.7375,8.7678,8.7307,8.7603
2011-01-13,8.6396,8.7603,8.6253,8.708
2011-01-14,8.6396,8.783,8.6396,8.783
2011-01-18,8.9939,9.265,8.783,8.9265
2011-01-19,9.0243,9.054,8.8733,8.8733
2011-01-20,8.7754,8.7754,8.5797,8.7678
2011-01-21,8.8657,8.8961,8.783,8.8134
2011-01-24,8.783,8.783,8.7307,8.7307
2011-01-25,8.6329,8.8429,8.5797,8.8429
2011-01-26,8.7754,8.8808,8.7754,8.8733
2011-01-27,8.783,8.8808,8.7451,8.7603
2011-01-28,8.7678,8.7678,8.4144,8.4895
2011-01-31,8.4447,8.497,8.2861,8.497
2011-02-01,8.5122,8.708,8.5122,8.708
2011-02-02,8.6253,8.7155,8.6177,8.7155
2011-02-03,8.7375,8.7375,8.6396,8.6852
2011-02-04,8.6329,8.7603,8.6101,8.7231
2011-02-07,8.8058,8.8134,8.7754,8.8134
2011-02-08,8.7906,8.7906,8.7307,8.7307
2011-02-09,8.6776,8.6928,8.5274,8.67
2011-02-10,8.6177,8.6177,8.4371,8.4819
2011-02-11,8.4144,8.6329,8.4144,8.6329
2011-02-14,8.6329,8.6329,8.5418,8.5721
2011-02-15,8.5122,8.5797,8.4447,8.5122
2011-02-16,8.5198,8.5274,8.4591,8.4895
2011-02-18,8.5721,8.6396,8.5721,8.6396
2011-02-22,8.497,8.5351,8.3916,8.3916
2011-02-23,8.3393,8.3536,8.2415,8.3166
2011-02-24,8.3014,8.3317,8.2634,8.3166
2011-02-25,8.3689,8.4068,8.2861,8.3916
2011-02-28,8.4819,8.4819,8.4296,8.4447
2011-03-01,8.4515,8.4591,8.3536,8.3689
2011-03-02,8.3841,8.4667,8.3613,8.4447
2011-03-03,8.5046,8.5046,8.4515,8.5046
2011-03-04,8.5198,8.5274,8.4743,8.5274
2011-03-07,8.5418,8.5418,8.3613,8.4068
2011-03-08,8.4296,8.4667,8.4068,8.4667
2011-03-09,8.4515,8.4743,8.4296,8.4743
2011-03-10,8.3536,8.3536,8.271,8.2785
2011-03-11,8.2785,8.3841,8.2785,8.3689
2011-03-14,8.3393,8.4371,8.3393,8.4371
2011-03-15,8.1284,8.3242,8.1132,8.2938
2011-03-16,8.2785,8.2785,8.1132,8.1512
2011-03-17,8.158,8.2938,8.158,8.2415
2011-03-18,8.271,8.2938,8.2262,8.2491
2011-03-21,8.3014,8.3014,8.2558,8.271
2011-03-22,8.3014,8.3014,8.2558,8.271
2011-03-23,8.2861,8.4591,8.2861,8.4591
2011-03-24,8.4743,8.5949,8.4667,8.5569
2011-03-25,8.5569,8.5797,8.5418,8.5418
2011-03-28,8.5569,8.6101,8.5198,8.5274
2011-03-29,8.5494,8.5873,8.4371,8.5198
2011-03-30,8.5494,8.6025,8.5046,8.5873
2011-03-31,8.6025,8.7307,8.6025,8.7155
2011-04-01,8.783,8.8429,8.7678,8.8134
2011-04-04,8.7527,8.8581,8.7527,8.7906
2011-04-05,8.783,8.8733,8.783,8.8505
2011-04-06,8.8733,8.8884,8.8353,8.8733
2011-04-07,8.8285,8.9037,8.7603,8.7603
2011-04-08,8.8058,8.8505,8.7678,8.8134
2011-04-11,8.7603,8.8209,8.7603,8.7982
2011-04-12,8.7375,8.7527,8.6776,8.7451
2011-04-13,8.7231,8.783,8.7155,8.7451
2011-04-14,8.7155,8.7451,8.6548,8.6852
2011-04-15,8.67,8.7307,8.6548,8.7155
2011-04-18,8.5873,8.5873,8.497,8.5569
2011-04-19,8.5949,8.6329,8.5351,8.5797
2011-04-20,8.67,8.7603,8.67,8.7603
2011-04-21,8.7603,8.7603,8.6928,8.7375
2011-04-25,8.7451,8.7451,8.7231,8.7375
2011-04-26,8.8134,8.8134,8.7375,8.7678
2011-04-27,8.7527,8.7754,8.7231,8.7754
2011-04-28,8.8058,8.8134,8.7231,8.8134
2011-04-29,8.8285,8.8285,8.7906,8.8134
2011-05-02,8.8505,8.9189,8.7678,8.7678
2011-05-03,8.7451,8.8505,8.6396,8.6396
2011-05-04,8.5949,8.5949,8.4743,8.4895
2011-05-05,8.4068,8.4515,8.3613,8.4068
2011-05-06,8.4743,8.5351,8.4667,8.4667
2011-05-09,8.5122,8.5122,8.4068,8.497
2011-05-10,8.5418,8.6329,8.5274,8.6253
2011-05-11,8.5418,8.5418,8.4591,8.4591
2011-05-12,8.4667,8.4667,8.3613,8.4667
2011-05-13,8.4447,8.4515,8.3014,8.3765
2011-05-16,8.3992,8.4296,8.3242,8.3242
2011-05-17,8.2558,8.3689,8.2415,8.2861
2011-05-18,8.3317,8.4144,8.3242,8.3765
2011-05-19,8.4515,8.4591,8.3992,8.422
2011-05-20,8.3992,8.4515,8.3765,8.4371
