Date,Open,High,Low,Close
2011-01-03,7.3732,7.398,7.284,7.3244
2011-01-04,7.359,7.359,7.2642,7.2927
2011-01-05,7.2441,7.3069,7.1847,7.2214
2011-01-06,7.2642,7.2688,7.1453,7.2476
2011-01-07,7.2642,7.364,7.2642,7.364
2011-01-10,7.3514,7.4332,7.3299,7.4279
2011-01-11,7.4144,7.4144,7.3338,7.3514
2011-01-12,7.3423,7.3732,7.2927,7.3244
2011-01-13,7.3338,7.3817,7.3244,7.3683
2011-01-14,7.3544,7.4332,7.3208,7.4091
2011-01-18,7.4016,7.4543,7.3775,7.4238
2011-01-19,7.4332,7.4366,7.395,7.395
2011-01-20,7.364,7.39,7.3423,7.3817
2011-01-21,7.4366,7.4418,7.359,7.4192
2011-01-24,7.6457,7.7844,7.6226,7.7323
2011-01-25,7.75,7.8543,7.737,7.8271
2011-01-26,7.8757,8.03,7.845,8.03
2011-01-27,8.057,8.1662,7.978,8.1141
2011-01-28,8.1109,8.1312,8.0115,8.0661
2011-01-31,8.1312,8.277000000000001,8.1091,8.1528
2011-02-01,8.2569,8.3013,8.1716,8.2667
2011-02-02,8.2667,8.3782,8.2491,8.3695
2011-02-03,8.337,8.3834,8.1551,8.302
2011-02-04,8.2735,8.2735,8.1109,8.1576
2011-02-07,8.2363,8.3311,8.1904,8.3126
2011-02-08,8.3126,8.3827,8.0962,8.1576
2011-02-09,8.0962,8.1716,8.0336,8.1662
2011-02-10,8.0716,8.1192,8.0108,8.057
2011-02-11,8.0495,8.1948,8.0376,8.1446
2011-02-14,8.2042,8.2127,8.1446,8.2074
2011-02-15,8.225,8.2363,8.0629,8.2205
2011-02-16,8.2205,8.3565,8.1864,8.2968
2011-02-18,8.4587,8.5216,8.4168,8.4505
2011-02-22,8.4204,8.5189,8.3827,8.3905
2011-02-23,8.4073,8.5332,8.4073,8.5225
2011-02-24,8.4674,8.6794,8.4674,8.5999
2011-02-25,8.6785,8.7017,8.6207,8.6615
2011-02-28,8.6705,8.8287,8.6479,8.7486
2011-03-01,8.802,8.8495,8.6252,8.6658
2011-03-02,8.6126,8.6841,8.6026,8.6559
2011-03-03,8.7309,8.7975,8.6841,8.7154
2011-03-04,8.6931,8.7017,8.6451,8.6981
2011-03-07,8.6841,8.7657,8.6705,8.738999999999999
2011-03-08,8.738999999999999,8.8822,8.7145,8.8514
2011-03-09,8.8514,8.8774,8.6841,8.8426
2011-03-10,8.8205,8.8205,8.7239,8.7715
2011-03-11,8.7348,8.8774,8.72,8.8261
2011-03-14,8.8001,8.8261,8.7428,8.7428
2011-03-15,8.7145,8.7538,8.6488,8.7477
2011-03-16,8.7538,8.8141,8.588,8.5934
2011-03-17,8.6442,8.6921,8.6279,8.6785
2011-03-18,8.8848,8.8848,8.721,8.802
2011-03-21,8.8426,8.9036,8.8261,8.8774
2011-03-22,8.9082,8.9507,8.8643,8.8905
2011-03-23,8.8905,9.052,8.8905,9.052
2011-03-24,9.0968,9.133,9.052,9.0634
2011-03-25,9.0958,9.269,9.0958,9.2438
2011-03-28,9.2448,9.2497,8.998,9.0369
2011-03-29,9.1377,9.171,8.9712,9.171
2011-03-30,9.1661,9.171,9.0331,9.0634
2011-03-31,9.0615,9.0747,8.9619,8.9619
2011-04-01,8.8514,8.8514,8.1118,8.4976
2011-04-04,8.4976,8.6714,8.4976,8.5934
2011-04-05,8.5717,8.6633,8.5261,8.5843
2011-04-06,8.6451,8.6523,8.587,8.6334
2011-04-07,8.646,8.6768,8.3782,8.5225
2011-04-08,8.5352,8.5701,8.1528,8.2682
2011-04-11,8.2926,8.2926,7.8651,7.9296
2011-04-12,7.8402,8.1576,7.8173,8.1037
2011-04-13,8.1073,8.3659,8.1073,8.2926
2011-04-14,8.2961,8.3852,8.2961,8.3852
2011-04-15,8.4153,8.4153,8.2484,8.2484
2011-04-18,8.2484,8.3737,8.1362,8.3565
2011-04-19,8.4497,8.4568,8.4011,8.4479
2011-04-20,8.4497,8.5701,8.4497,8.5422
2011-04-21,8.5521,8.6523,8.5297,8.5827
2011-04-25,8.6297,8.675,8.5243,8.6488
2011-04-26,8.5511,8.7587,8.5511,8.7528
2011-04-27,8.7881,8.7881,8.6523,8.7154
2011-04-28,8.7528,8.7769,8.7219,8.7647
2011-04-29,8.7613,8.7919,8.7248,8.7382
2011-05-02,8.7769,8.8039,8.6505,8.7919
2011-05-03,8.8287,8.8505,8.6832,8.72
2011-05-04,8.6858,8.7855,8.6813,8.6949
2011-05-05,8.738999999999999,8.7676,8.6351,8.6551
2011-05-06,8.7409,8.7695,8.6813,8.7044
2011-05-09,8.7,8.7339,8.6813,8.7044
2011-05-10,8.718,8.7501,8.71,8.7339
2011-05-11,8.7613,8.7723,8.72,8.7723
2011-05-12,8.7248,8.8224,8.7219,8.8224
2011-05-13,8.7956,8.8905,8.7741,8.8224
2011-05-16,8.8224,8.855,8.7741,8.8039
2011-05-17,8.8343,8.8987,8.7409,8.8691
2011-05-18,8.9045,8.9375,8.7647,8.8224
2011-05-19,8.855,8.8653,8.7382,8.7468
2011-05-20,8.7613,8.8587,8.7613,8.8531
2011-05-23,8.8224,8.8224,8.7647,8.8177
2011-05-24,8.7855,8.8131,8.7741,8.7919
2011-05-25,8.7956,8.8691,8.7769,8.8653
2011-05-26,8.8691,8.8691,8.7769,8.7956
2011-05-27,8.7937,8.8717,8.7937,8.8717
2011-05-31,8.8297,8.8755,8.8297,8.8616
2011-06-01,8.8505,8.8717,8.8287,8.8717
2011-06-02,8.8671,8.8942,8.8587,8.8671
2011-06-03,8.8635,8.9118,8.8587,8.8905
