Date,Open,High,Low,Close
2011-01-03,53.43,55.25,53.3,54.88
2011-01-04,54.62,55.0,52.42,52.92
2011-01-05,52.8,53.91,52.8,53.59
2011-01-06,53.12,53.49,52.16,52.44
2011-01-07,52.47,53.14,51.98,52.26
2011-01-10,51.92,52.77,51.47,52.6
2011-01-11,52.86,54.35,52.67,54.25
2011-01-12,54.88,55.38,54.4,55.38
2011-01-13,55.21,55.5,54.36,54.69
2011-01-14,54.83,55.87,54.36,55.63
2011-01-18,55.08,56.68,55.08,56.63
2011-01-19,56.35,56.38,55.35,55.49
2011-01-20,55.0,55.52,53.95,54.32
2011-01-21,53.4,54.31,52.54,52.71
2011-01-24,52.29,53.03,52.26,52.72
2011-01-25,52.53,53.1,52.0,53.1
2011-01-26,52.69,53.52,52.28,52.7
2011-01-27,52.68,53.21,52.38,52.95
2011-01-28,53.06,53.37,52.17,52.42
2011-01-31,52.6,53.17,52.31,52.47
2011-02-01,52.77,53.73,52.14,53.18
2011-02-02,52.8,53.56,52.8,53.39
2011-02-03,53.1,53.66,52.79,53.58
2011-02-04,53.33,54.1,53.05,53.98
2011-02-07,53.21,54.44,52.84,53.36
2011-02-08,53.24,53.93,52.89,53.71
2011-02-09,53.29,53.59,52.8,53.31
2011-02-10,52.88,53.97,52.76,53.65
2011-02-11,53.47,55.1,53.26,54.88
2011-02-14,54.98,55.62,54.37,55.55
2011-02-15,55.38,55.76,54.93,55.11
2011-02-16,55.18,56.18,55.05,55.69
2011-02-18,55.22,55.78,54.93,55.5
2011-02-22,54.56,55.65,54.17,54.56
2011-02-23,54.53,54.97,53.17,53.34
2011-02-24,53.53,53.65,52.26,52.78
2011-02-25,53.23,54.46,52.82,54.3
2011-02-28,54.64,54.7,53.93,54.18
2011-03-01,53.68,54.0,52.89,53.24
2011-03-02,53.13,53.24,52.29,52.53
2011-03-03,52.87,53.87,52.84,53.86
2011-03-04,53.84,54.18,53.61,54.09
2011-03-07,54.39,54.56,53.26,53.3
2011-03-08,53.27,55.1,53.21,54.71
2011-03-09,54.68,55.05,54.22,54.88
2011-03-10,53.93,54.35,53.42,53.55
2011-03-11,53.37,53.95,53.05,53.32
2011-03-14,52.52,53.5,52.47,53.39
2011-03-15,51.94,53.28,51.75,52.68
2011-03-16,52.7,53.06,52.19,52.43
2011-03-17,53.36,53.36,52.1,52.35
2011-03-18,53.25,53.43,52.85,53.31
