Date,Open,High,Low,Close
2011-01-03,27.56,28.14,26.55,27.44
2011-01-04,27.61,27.73,26.1,26.83
2011-01-05,26.7,27.9,26.04,27.68
2011-01-06,27.77,29.16,27.57,28.57
2011-01-07,28.83,29.87,28.54,29.71
2011-01-10,29.9,30.81,29.71,30.55
2011-01-11,31.01,31.98,30.76,31.46
2011-01-12,31.72,31.96,30.98,31.13
2011-01-13,31.8,32.13,30.62,30.88
2011-01-14,31.05,31.36,30.12,30.54
2011-01-18,30.3,30.67,29.81,29.95
2011-01-19,29.96,30.02,28.91,29.04
2011-01-20,29.04,29.04,27.11,28.52
2011-01-21,28.73,29.92,28.73,28.83
2011-01-24,28.93,28.93,27.9,28.1
2011-01-25,27.98,28.14,27.57,27.79
2011-01-26,27.82,29.18,27.81,28.6
2011-01-27,28.61,28.98,28.35,28.85
2011-01-28,29.01,29.2,27.8,27.83
2011-01-31,28.0,28.51,27.9,28.46
2011-02-01,28.47,29.38,28.17,29.17
2011-02-02,29.03,29.56,29.0,29.32
2011-02-03,29.17,29.69,28.86,29.69
2011-02-04,29.74,31.09,29.53,30.33
2011-02-07,30.35,31.27,30.1,31.15
2011-02-08,33.5,35.43,32.37,35.02
2011-02-09,34.98,35.42,33.81,35.2
2011-02-10,33.8,34.69,31.7,34.61
2011-02-11,34.33,34.72,33.64,34.71
2011-02-14,34.65,34.85,33.16,34.82
2011-02-15,34.77,35.16,32.11,34.91
2011-02-16,34.63,35.37,34.12,34.49
2011-02-18,34.26,34.7,34.03,34.21
2011-02-22,33.78,33.95,32.83,33.12
2011-02-23,32.93,33.1,31.82,32.15
2011-02-24,32.13,33.41,32.06,33.14
2011-02-25,33.81,33.84,33.07,33.8
2011-02-28,34.17,34.8,33.86,34.26
2011-03-01,34.32,34.69,33.47,33.5
2011-03-02,33.85,33.85,32.79,33.12
2011-03-03,33.32,34.45,33.32,33.89
2011-03-04,34.02,34.54,33.7,34.54
2011-03-07,34.85,34.88,32.73,33.27
2011-03-08,33.13,33.76,32.4,33.34
2011-03-09,32.75,33.09,32.08,32.09
2011-03-10,31.56,31.96,30.9,31.49
2011-03-11,31.23,31.74,30.99,31.38
2011-03-14,31.02,31.92,31.01,31.76
2011-03-15,30.87,31.74,30.31,31.57
2011-03-16,31.36,32.83,31.24,31.93
2011-03-17,32.4,32.42,30.8,30.81
2011-03-18,31.03,31.74,30.54,31.17
2011-03-21,32.05,33.34,31.56,33.25
2011-03-22,33.4,33.57,32.22,32.35
2011-03-23,32.01,32.34,31.51,31.9
2011-03-24,32.17,32.46,31.93,32.34
2011-03-25,32.59,33.63,32.34,33.5
2011-03-28,33.6,33.68,32.9,33.18
2011-03-29,32.75,34.22,32.75,33.92
2011-03-30,34.09,34.42,33.77,34.42
2011-03-31,34.27,35.0,34.18,34.75
2011-04-01,34.67,35.3,34.57,35.14
2011-04-04,35.6,35.79,34.15,34.78
2011-04-05,34.73,35.07,34.48,34.87
2011-04-06,34.61,34.9,33.88,34.02
2011-04-07,34.02,34.49,33.62,33.85
2011-04-08,34.09,34.09,33.32,33.48
2011-04-11,33.34,33.48,32.29,32.7
2011-04-12,32.33,32.33,31.51,31.75
2011-04-13,32.02,32.07,31.04,31.12
2011-04-14,30.68,33.3,30.68,33.23
2011-04-15,33.11,33.21,32.66,33.08
2011-04-18,32.27,32.8,31.67,31.95
2011-04-19,32.14,32.24,31.1,31.57
2011-04-20,32.0,32.09,31.41,31.87
2011-04-21,32.21,32.3,31.68,32.28
2011-04-25,32.1,32.14,31.53,31.8
2011-04-26,31.83,32.04,30.64,30.67
2011-04-27,30.76,31.28,30.45,31.21
2011-04-28,30.91,31.24,30.8,31.06
2011-04-29,31.22,32.47,31.0,32.2
2011-05-02,32.45,32.45,31.24,31.41
2011-05-03,31.59,31.62,30.6,30.65
2011-05-04,32.96,33.88,31.93,32.51
2011-05-05,32.17,33.19,32.01,33.0
2011-05-06,33.8,34.02,32.8,33.23
2011-05-09,33.04,34.41,33.04,34.27
2011-05-10,34.59,34.6,34.03,34.24
2011-05-11,34.0,34.2,32.79,33.15
2011-05-12,32.92,33.51,32.53,32.9
2011-05-13,33.07,33.42,32.43,32.5
2011-05-16,32.15,32.68,31.63,31.87
2011-05-17,31.52,31.6,30.37,30.75
2011-05-18,30.77,31.8,30.65,31.53
2011-05-19,31.69,31.9,31.22,31.53
2011-05-20,31.35,31.36,30.69,30.84
2011-05-23,30.59,30.59,28.92,28.98
2011-05-24,28.92,29.22,27.83,28.07
2011-05-25,28.1,29.58,28.1,29.46
2011-05-26,29.39,30.75,29.12,30.67
2011-05-27,30.86,31.0,30.69,30.9
2011-05-31,31.38,32.1,30.8,32.1
2011-06-01,31.72,32.01,30.08,30.55
2011-06-02,30.5,31.08,29.64,29.79
2011-06-03,29.21,29.6,28.66,28.71
2011-06-06,28.22,28.35,27.49,27.65
2011-06-07,27.85,28.21,27.55,27.74
2011-06-08,27.68,27.98,26.28,26.58
2011-06-09,26.66,28.26,26.57,28.05
2011-06-10,27.77,28.82,27.77,28.45
2011-06-13,28.48,29.0,28.32,28.56
2011-06-14,28.9,29.5,28.58,29.29
2011-06-15,28.75,29.33,28.71,29.0
2011-06-16,28.82,29.22,28.1,28.53
2011-06-17,28.77,29.2,28.57,29.14
2011-06-20,28.95,29.22,28.42,28.65
2011-06-21,30.4,30.96,29.72,30.15
2011-06-22,30.02,30.87,29.79,30.41
2011-06-23,29.93,30.57,29.53,30.47
2011-06-24,30.45,30.82,29.52,29.88
2011-06-27,29.94,30.71,29.5,30.58
2011-06-28,30.6,31.83,30.35,31.78
2011-06-29,31.51,31.79,30.89,31.65
2011-06-30,31.58,31.95,31.35,31.73
2011-07-01,31.7,31.84,31.3,31.72
2011-07-05,31.87,33.52,31.74,33.33
2011-07-06,33.25,33.27,32.18,32.66
2011-07-07,33.15,33.49,32.75,33.29
2011-07-08,32.72,33.41,32.63,33.3
2011-07-11,32.81,33.11,32.34,32.64
2011-07-12,32.55,33.44,32.41,32.46
2011-07-13,32.55,33.15,32.35,32.47
