Date,Open,High,Low,Close
2011-01-03,110.88,111.6,108.0,108.72
2011-01-04,111.6,132.48,107.28,123.84
2011-01-05,125.28,125.28,117.36,120.24
2011-01-06,126.72,129.6,113.04,115.92
2011-01-07,118.08,121.68,115.92,115.92
2011-01-10,115.92,128.16,115.92,126.0
2011-01-11,126.72,133.2,126.72,131.76
2011-01-12,136.8,138.96,133.2,138.96
2011-01-13,140.4,144.0,138.24,138.24
2011-01-14,141.84,141.84,133.2,139.68
2011-01-18,136.8,136.8,132.48,135.36
2011-01-19,135.36,136.08,128.88,130.32
2011-01-20,126.0,128.16,121.68,125.28
2011-01-21,126.0,126.72,116.64,125.28
2011-01-24,119.52,126.72,119.52,124.56
2011-01-25,129.6,131.04,125.28,128.16
2011-01-26,128.88,133.92,121.68,131.04
2011-01-27,133.92,144.0,133.92,139.68
2011-01-28,141.12,141.12,130.32,136.8
2011-01-31,135.36,173.52,134.64,163.44
2011-02-01,152.64,172.8,147.6,157.68
2011-02-02,156.96,167.76,149.76,167.76
2011-02-03,169.2,169.2,154.8,161.28
2011-02-04,162.0,162.0,156.24,162.0
2011-02-07,168.48,169.2,162.0,167.76
2011-02-08,166.32,167.76,162.0,162.72
2011-02-09,163.44,167.76,163.44,167.04
2011-02-10,164.16,180.0,164.16,180.0
2011-02-11,181.44,190.8,169.92,177.12
2011-02-14,183.6,183.6,168.48,172.08
2011-02-15,166.32,169.2,149.76,157.68
2011-02-16,157.68,158.4,149.76,154.8
2011-02-18,161.28,179.28,159.84,170.64
2011-02-22,172.08,174.96,169.2,171.36
2011-02-23,169.2,172.8,155.52,159.84
2011-02-24,156.24,163.44,156.24,156.96
2011-02-25,158.4,167.76,158.4,162.72
2011-02-28,164.16,169.2,161.28,165.6
2011-03-01,165.6,168.48,165.6,168.48
2011-03-02,168.48,180.0,168.48,169.92
2011-03-03,169.92,181.44,169.2,172.08
2011-03-04,180.0,180.0,164.16,166.32
2011-03-07,168.48,169.2,164.16,167.04
2011-03-08,164.88,177.12,164.88,169.92
2011-03-09,167.04,177.84,166.32,173.52
2011-03-10,167.04,170.64,160.56,167.76
2011-03-11,166.32,169.92,162.0,167.76
2011-03-14,169.92,169.92,160.56,164.88
2011-03-15,151.92,167.76,146.88,160.56
2011-03-16,157.68,161.28,152.64,154.08
2011-03-17,152.64,163.44,152.64,159.12
2011-03-18,162.0,162.0,154.8,158.4
2011-03-21,158.4,164.88,151.92,154.08
2011-03-22,160.56,163.44,156.96,160.56
2011-03-23,162.72,167.04,158.4,160.56
2011-03-24,162.0,168.48,154.8,162.0
2011-03-25,160.56,167.04,159.84,163.44
2011-03-28,162.0,165.6,156.96,157.68
2011-03-29,157.68,162.0,157.68,158.4
2011-03-30,162.72,165.6,158.4,162.72
2011-03-31,161.28,165.6,159.84,165.6
2011-04-01,160.56,162.0,155.52,157.68
2011-04-04,158.4,160.56,151.92,151.92
2011-04-05,152.64,158.4,150.48,152.64
2011-04-06,159.12,163.44,150.48,156.96
2011-04-07,156.24,159.84,154.8,154.8
2011-04-08,159.84,159.84,144.72,148.32
2011-04-11,147.6,156.96,147.6,153.36
2011-04-12,153.36,156.24,148.32,148.32
2011-04-13,148.32,154.8,148.32,150.48
2011-04-14,153.36,154.08,148.32,151.92
2011-04-15,156.24,158.4,147.6,152.64
2011-04-18,145.44,154.8,145.44,147.6
2011-04-19,155.52,155.52,144.0,152.64
2011-04-20,147.6,154.8,144.72,148.32
2011-04-21,143.28,147.6,141.12,142.56
2011-04-25,146.88,146.88,142.56,146.16
2011-04-26,146.88,154.8,145.44,153.36
2011-04-27,150.48,151.2,143.28,147.6
2011-04-28,144.0,144.0,138.96,139.68
2011-04-29,139.68,141.84,137.52,138.24
2011-05-02,133.92,143.28,126.72,129.6
2011-05-03,123.84,136.8,123.12,133.2
2011-05-04,136.08,137.52,134.64,137.52
2011-05-05,133.2,142.56,128.16,136.8
2011-05-06,141.12,141.12,133.92,138.24
2011-05-09,137.52,142.56,129.6,133.2
2011-05-10,135.36,138.96,134.64,138.96
2011-05-11,138.24,141.12,136.08,136.08
2011-05-12,136.08,146.88,136.08,144.0
2011-05-13,144.0,146.88,132.48,135.36
2011-05-16,135.36,136.08,132.48,133.2
2011-05-17,133.2,133.2,130.32,131.76
2011-05-18,131.76,131.76,128.88,131.04
2011-05-19,132.48,132.48,127.44,127.44
2011-05-20,129.6,134.64,127.44,131.04
2011-05-23,127.44,132.48,126.0,126.0
2011-05-24,127.44,132.48,126.0,131.04
2011-05-25,131.04,131.04,121.68,127.44
2011-05-26,124.56,127.44,122.4,122.4
2011-05-27,126.0,128.88,123.12,127.44
2011-05-31,128.16,128.16,118.8,121.68
2011-06-01,119.52,126.72,118.8,119.52
2011-06-02,122.4,122.4,120.24,122.4
2011-06-03,119.52,122.4,119.52,122.4
2011-06-06,119.52,121.68,118.8,121.68
2011-06-07,121.68,122.4,118.8,120.96
2011-06-08,118.8,119.52,112.32,115.2
2011-06-09,117.36,120.96,115.2,116.64
2011-06-10,116.64,120.96,111.6,117.36
2011-06-13,115.2,120.96,109.44,110.16
2011-06-14,112.32,115.92,108.72,109.44
2011-06-15,110.16,115.2,109.44,110.16
2011-06-16,111.6,111.6,108.72,108.72
