Date,Open,High,Low,Close
2011-01-03,435.82,465.08,417.34,426.58
2011-01-04,434.28,446.6,432.74,435.82
2011-01-05,434.28,438.9,431.2,435.82
2011-01-06,437.36,440.44,435.82,440.44
2011-01-07,435.82,443.52,431.2,435.82
2011-01-10,431.2,431.2,423.5,423.5
2011-01-11,437.36,437.36,428.12,428.12
2011-01-12,426.58,432.74,423.5,431.2
2011-01-13,431.2,431.2,425.04,425.04
2011-01-14,418.88,428.12,418.88,425.04
2011-01-18,425.04,428.12,425.04,425.04
2011-01-19,423.5,423.5,408.1,415.8
2011-01-20,412.72,428.12,411.18,423.5
2011-01-21,423.5,425.04,417.34,423.5
2011-01-24,425.04,431.2,418.88,423.5
2011-01-25,420.42,426.58,420.42,423.5
2011-01-26,418.88,426.58,418.88,426.58
2011-01-27,420.42,426.58,415.8,425.04
2011-01-28,423.5,423.5,414.26,421.96
2011-01-31,409.64,415.8,408.1,415.8
2011-02-01,429.66,454.3,420.42,452.76
2011-02-02,446.6,448.14,432.74,432.74
2011-02-03,435.82,443.52,434.28,440.44
2011-02-04,429.66,437.36,429.66,437.36
2011-02-07,445.06,445.06,421.96,421.96
2011-02-08,435.82,437.36,421.96,432.74
2011-02-09,428.12,434.28,428.12,432.74
2011-02-10,431.2,431.2,421.96,423.5
2011-02-11,421.96,421.96,414.26,415.8
2011-02-14,415.8,428.12,414.26,420.42
2011-02-15,423.5,423.5,409.64,409.64
2011-02-16,411.18,423.5,411.18,417.34
2011-02-18,412.72,418.88,412.72,417.34
2011-02-22,409.64,417.34,408.1,408.1
2011-02-23,412.72,423.5,411.18,420.42
2011-02-24,421.96,421.96,420.42,420.42
2011-02-25,423.5,431.2,418.88,429.66
2011-02-28,431.2,438.9,426.58,435.82
2011-03-01,428.12,429.66,428.12,428.12
2011-03-02,428.12,431.2,428.12,428.12
2011-03-03,423.5,425.04,423.5,423.5
2011-03-04,421.96,425.04,420.42,423.5
2011-03-07,435.82,438.9,415.8,435.82
2011-03-08,437.36,438.9,429.66,431.2
2011-03-09,437.36,446.6,435.82,435.82
2011-03-10,428.12,428.12,428.12,428.12
2011-03-11,428.12,428.12,420.42,420.42
2011-03-14,423.5,426.58,420.42,420.42
2011-03-15,411.18,417.34,406.56,408.1
2011-03-16,408.1,423.5,403.48,420.42
2011-03-17,432.74,432.74,409.64,414.26
2011-03-18,401.94,405.02,388.08,392.7
2011-03-21,388.08,392.7,361.9,363.44
2011-03-22,354.2,360.36,338.8,346.5
2011-03-23,349.58,369.6,349.58,368.06
2011-03-24,364.98,369.6,363.44,369.6
2011-03-25,358.82,368.06,358.82,368.06
2011-03-28,369.6,371.14,351.12,360.36
2011-03-29,366.52,366.52,354.2,361.9
2011-03-30,354.2,360.36,354.2,360.36
2011-03-31,360.36,369.6,355.74,366.52
2011-04-01,357.28,371.14,357.28,369.6
2011-04-04,366.52,371.14,360.36,371.14
2011-04-05,374.22,378.84,369.6,378.84
2011-04-06,374.22,385.0,374.22,380.38
2011-04-07,383.46,383.46,375.76,378.84
2011-04-08,383.46,383.46,378.84,378.84
2011-04-11,383.46,386.54,381.92,385.0
2011-04-12,378.84,381.92,377.3,381.92
2011-04-13,378.84,392.7,378.84,392.7
2011-04-14,383.46,386.54,374.22,383.46
2011-04-15,388.08,398.86,388.08,392.7
2011-04-18,385.0,398.86,385.0,398.86
2011-04-19,388.08,412.72,372.68,397.32
2011-04-20,398.86,400.4,398.86,400.4
2011-04-21,400.4,408.1,394.24,400.4
2011-04-25,398.86,405.02,398.86,405.02
2011-04-26,400.4,405.02,394.24,400.4
2011-04-27,398.86,400.4,392.7,398.86
2011-04-28,398.86,400.4,398.86,398.86
2011-04-29,400.4,405.02,398.86,400.4
2011-05-02,398.86,408.1,398.86,405.02
2011-05-03,400.4,403.48,400.4,400.4
2011-05-04,392.7,400.4,392.7,400.4
2011-05-05,392.7,398.86,391.16,391.16
2011-05-06,389.62,391.16,369.6,377.3
2011-05-09,377.3,383.46,377.3,383.46
2011-05-10,378.84,398.86,377.3,392.7
2011-05-11,394.24,395.78,391.16,392.7
2011-05-12,388.08,394.24,388.08,394.24
2011-05-13,391.16,398.86,391.16,394.24
2011-05-16,395.78,395.78,391.16,391.16
2011-05-18,386.54,391.16,386.54,391.16
2011-05-19,385.0,388.08,383.46,386.54
2011-05-20,385.0,385.0,385.0,385.0
2011-05-24,374.22,377.3,372.68,377.3
2011-05-25,375.76,375.76,369.6,375.76
2011-05-26,371.14,388.08,366.52,383.46
2011-05-27,385.0,385.0,378.84,378.84
2011-05-31,374.22,374.22,369.6,372.68
2011-06-01,369.6,374.22,369.6,374.22
2011-06-02,375.76,385.0,375.76,385.0
2011-06-03,385.0,385.0,374.22,377.3
2011-06-06,380.38,380.38,364.98,368.06
2011-06-07,366.52,372.68,366.52,368.06
2011-06-08,361.9,371.14,361.9,371.14
2011-06-09,364.98,383.46,364.98,378.84
2011-06-10,377.3,383.46,369.6,374.22
2011-06-13,368.06,368.06,348.04,358.82
2011-06-14,349.58,374.22,349.58,354.2
2011-06-15,354.2,354.2,343.42,343.42
2011-06-16,460.46,468.16,431.2,452.76
2011-06-17,449.68,452.76,445.06,449.68
2011-06-20,446.6,449.68,445.06,448.14
2011-06-21,446.6,449.68,441.98,445.06
2011-06-22,441.98,449.68,441.98,446.6
2011-06-23,446.6,452.76,438.9,452.76
2011-06-24,452.76,454.3,448.14,452.76
2011-06-27,449.68,452.76,448.14,452.76
2011-06-28,452.76,452.76,448.14,451.22
2011-06-29,448.14,452.76,448.14,452.76
2011-06-30,451.22,462.0,451.22,458.92
2011-07-01,458.92,462.0,454.3,462.0
2011-07-05,460.46,465.08,452.76,455.84
2011-07-06,457.38,458.92,452.76,454.3
2011-07-07,458.92,460.46,455.84,457.38
2011-07-08,460.46,462.0,455.84,460.46
2011-07-11,458.92,458.92,458.92,458.92
2011-07-12,460.46,462.0,457.38,460.46
2011-07-13,462.0,462.0,458.92,462.0
2011-07-14,462.0,463.54,458.92,463.54
2011-07-15,460.46,465.08,460.46,462.0
2011-07-18,462.0,462.0,449.68,449.68
2011-07-19,451.22,460.46,451.22,458.92
2011-07-20,457.38,462.0,455.84,458.92
2011-07-21,458.92,462.0,455.84,460.46
2011-07-22,460.46,462.0,460.46,462.0
2011-07-25,457.38,465.08,457.38,463.54
2011-07-26,465.08,468.16,462.0,462.0
2011-07-27,460.46,460.46,454.3,454.3
2011-07-28,458.92,462.0,452.76,462.0
2011-07-29,460.46,462.0,458.92,460.46
2011-08-01,460.46,460.46,460.46,460.46
2011-08-02,454.3,462.0,454.3,462.0
2011-08-03,454.3,463.54,452.76,454.3
2011-08-04,455.84,455.84,428.12,431.2
2011-08-05,441.98,443.52,423.5,426.58
2011-08-08,405.02,414.26,377.3,385.0
2011-08-09,395.78,397.32,375.76,377.3
2011-08-10,383.46,445.06,383.46,408.1
2011-08-11,408.1,408.1,378.84,385.0
2011-08-12,383.46,385.0,357.28,357.28
2011-08-15,346.5,375.76,337.26,352.66
2011-08-16,357.28,360.36,337.26,346.5
2011-08-17,363.44,369.6,349.58,349.58
2011-08-18,352.66,354.2,340.34,352.66
2011-08-19,334.18,346.5,323.4,338.8
2011-08-22,341.88,348.04,323.4,338.8
2011-08-24,331.1,348.04,323.4,332.64
2011-08-25,326.48,361.9,312.62,323.4
2011-08-26,324.94,328.02,315.7,320.32
2011-08-29,324.94,337.26,324.94,329.56
2011-08-30,320.32,328.02,318.78,328.02
2011-08-31,324.94,355.74,320.32,352.66
2011-09-01,348.04,349.58,348.04,349.58
2011-09-02,349.58,349.58,315.7,332.64
2011-09-06,323.4,323.4,308.0,309.54
2011-09-07,323.4,324.94,314.16,323.4
2011-09-08,321.86,321.86,309.54,317.24
2011-09-09,329.56,329.56,314.16,321.86
2011-09-12,314.16,314.16,304.92,312.62
2011-09-13,314.16,314.16,298.76,300.3
