Date,Open,High,Low,Close
2011-01-03,16.12,16.7,16.09,16.51
2011-01-04,16.5,16.6,16.04,16.28
2011-01-05,16.24,16.34,15.86,16.03
2011-01-06,16.0,16.1,15.9,15.97
2011-01-07,16.05,16.22,15.75,16.2
2011-01-10,16.07,16.25,15.97,16.1
2011-01-11,16.22,16.68,16.07,16.5
2011-01-12,16.68,17.28,16.39,16.85
2011-01-13,16.89,16.9,16.51,16.85
2011-01-14,16.94,17.15,16.91,17.03
2011-01-18,17.01,17.24,16.93,17.18
2011-01-19,17.23,18.04,17.12,17.55
2011-01-20,17.44,17.81,17.37,17.64
2011-01-21,17.84,18.22,17.8,18.05
2011-01-24,18.05,19.62,17.8,19.32
2011-01-25,19.31,19.92,19.25,19.6
2011-01-26,19.59,19.95,19.38,19.85
2011-01-27,19.77,19.88,19.58,19.8
2011-01-28,19.72,19.98,19.58,19.68
2011-01-31,19.73,19.97,19.5,19.75
2011-02-01,19.9,20.02,19.68,19.95
2011-02-02,19.85,20.07,19.8,19.99
2011-02-03,19.95,20.02,19.59,19.64
2011-02-04,19.5,19.7,19.33,19.69
2011-02-07,19.65,20.01,19.65,19.85
2011-02-08,19.79,19.94,19.55,19.89
2011-02-09,19.77,20.0,19.54,19.95
2011-02-10,19.85,20.03,19.8,20.01
2011-02-11,19.94,20.1,19.79,20.05
2011-02-14,20.03,20.1,19.9,20.0
2011-02-15,20.01,20.17,19.89,20.04
2011-02-16,20.0,20.1,19.97,20.02
2011-02-18,20.45,21.36,20.45,20.65
2011-02-22,20.5,20.86,19.5,19.89
2011-02-23,19.89,20.03,19.54,19.84
2011-02-24,20.01,21.03,20.01,20.8
2011-02-25,20.83,21.57,20.83,21.38
2011-02-28,21.53,21.69,21.19,21.47
2011-03-01,21.53,22.06,21.35,21.38
2011-03-02,21.4,22.34,21.29,21.95
2011-03-03,22.09,22.53,22.09,22.24
2011-03-04,22.3,22.61,22.19,22.46
2011-03-07,22.46,22.58,21.05,21.1
2011-03-08,21.11,21.83,20.87,21.45
2011-03-09,21.4,21.59,21.24,21.26
2011-03-10,22.39,23.8,22.15,22.22
2011-03-11,22.11,22.53,21.98,22.2
2011-03-14,22.15,22.51,22.1,22.32
2011-03-15,22.03,22.27,21.62,21.69
2011-03-16,21.68,21.91,21.55,21.79
2011-03-17,22.04,22.3,21.67,21.78
2011-03-18,21.94,23.59,21.94,23.44
2011-03-21,23.64,23.75,22.91,23.05
2011-03-22,22.93,23.41,22.78,23.3
2011-03-23,23.23,23.49,23.0,23.3
2011-03-24,23.9,24.0,23.18,23.4
2011-03-25,23.62,23.62,23.2,23.21
2011-03-28,23.29,23.33,23.05,23.23
2011-03-29,23.28,23.3,22.97,23.03
2011-03-30,23.29,23.76,23.18,23.75
2011-03-31,23.89,24.45,23.7,24.05
2011-04-01,24.31,24.62,23.9,24.26
2011-04-04,24.42,24.74,24.3,24.61
2011-04-05,24.62,25.51,24.62,25.05
2011-04-06,25.27,25.39,24.54,24.72
2011-04-07,24.71,24.89,24.07,24.39
2011-04-08,24.57,24.74,24.04,24.4
2011-04-11,24.37,24.47,23.71,23.76
2011-04-12,23.64,23.76,23.18,23.23
2011-04-13,23.36,23.52,23.16,23.48
2011-04-14,23.21,23.79,23.21,23.67
2011-04-15,23.77,23.77,23.47,23.5
2011-04-18,23.23,23.23,22.5,22.77
2011-04-19,22.81,22.9,22.66,22.74
2011-04-20,23.08,23.52,22.95,23.41
2011-04-21,23.48,23.67,23.35,23.64
2011-04-25,23.45,23.57,23.11,23.25
2011-04-26,23.3,23.94,23.3,23.79
2011-04-27,23.74,23.74,23.3,23.4
2011-04-28,23.46,23.55,23.26,23.48
2011-04-29,23.56,23.56,23.03,23.06
2011-05-02,23.14,23.15,22.76,22.89
2011-05-03,22.87,23.09,22.59,23.01
2011-05-04,23.01,23.3,22.82,23.0
2011-05-05,22.0,22.0,19.67,20.1
2011-05-06,20.28,20.44,20.03,20.22
2011-05-09,20.29,20.67,20.01,20.57
2011-05-10,20.64,21.48,20.63,21.26
2011-05-11,21.14,21.37,20.61,20.62
2011-05-12,20.51,20.94,20.21,20.49
2011-05-13,20.59,20.69,19.89,20.02
2011-05-16,19.93,19.93,19.58,19.66
2011-05-17,19.63,19.87,18.87,19.13
2011-05-18,19.14,19.58,18.7,19.56
2011-05-19,19.67,20.14,19.65,19.97
2011-05-20,19.89,19.89,19.49,19.49
2011-05-23,19.08,19.09,18.75,18.77
2011-05-24,18.87,18.94,18.66,18.73
2011-05-25,18.71,19.44,18.71,19.22
2011-05-26,19.19,20.06,19.19,20.06
2011-05-27,20.15,20.17,19.7,19.75
2011-05-31,19.99,20.87,19.95,20.78
2011-06-01,20.74,20.82,19.69,19.83
2011-06-02,19.89,20.24,19.4,19.52
2011-06-03,19.42,20.05,19.03,19.42
2011-06-06,19.67,20.46,19.67,19.95
2011-06-07,20.04,20.46,19.82,19.92
2011-06-08,19.86,20.45,19.67,19.69
2011-06-09,19.8,20.11,19.73,19.85
2011-06-10,19.77,19.89,19.07,19.18
2011-06-13,19.34,19.61,19.08,19.14
2011-06-14,19.43,19.72,19.25,19.54
2011-06-15,19.27,19.43,18.37,18.92
2011-06-16,18.9,19.27,18.5,18.82
2011-06-17,18.95,19.0,18.41,18.45
2011-06-20,18.36,19.02,18.28,18.86
2011-06-21,19.04,19.47,19.04,19.41
2011-06-22,19.33,19.7,18.91,18.96
2011-06-23,18.53,18.66,17.91,18.0
2011-06-24,18.05,18.46,17.68,17.94
2011-06-27,18.02,18.35,17.58,18.28
2011-06-28,18.34,18.7,17.96,18.13
2011-06-29,18.25,18.26,17.85,18.18
2011-06-30,18.24,18.8,18.24,18.55
2011-07-01,18.55,19.07,18.55,18.72
2011-07-05,18.71,18.75,18.56,18.73
2011-07-06,18.62,18.75,18.5,18.53
2011-07-07,18.75,19.0,18.64,18.97
2011-07-08,18.67,18.99,18.67,18.86
2011-07-11,18.53,18.58,18.24,18.52
2011-07-12,18.28,18.53,17.86,18.0
2011-07-13,18.09,18.46,18.06,18.22
2011-07-14,18.19,18.23,17.69,17.76
2011-07-15,17.81,17.89,17.61,17.73
2011-07-18,17.67,17.8,16.79,17.06
2011-07-19,17.26,17.45,17.09,17.42
2011-07-20,17.47,17.68,17.34,17.61
2011-07-21,17.74,18.14,17.65,18.03
2011-07-22,18.02,18.24,17.89,17.94
2011-07-25,17.76,17.87,17.63,17.72
2011-07-26,17.65,17.65,16.93,16.97
2011-07-27,16.92,16.98,15.8,16.04
2011-07-28,16.0,16.48,15.97,16.42
2011-07-29,16.13,16.41,16.08,16.34
2011-08-01,16.62,16.89,15.79,16.07
2011-08-02,15.93,16.28,15.47,15.47
2011-08-03,15.48,15.73,14.89,15.3
2011-08-04,15.01,15.01,14.12,14.13
2011-08-05,14.41,14.5,13.45,14.04
2011-08-08,13.46,13.63,12.2,12.2
2011-08-09,12.73,13.0,11.08,12.96
2011-08-10,12.44,13.41,12.4,12.84
2011-08-11,12.93,13.22,12.18,12.78
2011-08-12,12.92,13.26,12.45,13.18
