Date,Open,High,Low,Close
2012-01-03,7.81,7.98,7.5,7.63
2012-01-04,8.0,8.15,7.65,7.71
2012-01-05,7.69,7.88,7.6,7.83
2012-01-06,7.86,7.95,7.76,7.92
2012-01-09,9.34,9.86,8.66,9.72
2012-01-10,10.07,12.24,9.33,11.9
2012-01-11,11.89,12.51,11.06,11.66
2012-01-12,11.6,12.2,10.85,11.76
2012-01-13,11.39,12.95,11.31,12.37
2012-01-17,12.35,12.5,11.14,11.18
2012-01-18,11.26,11.56,10.66,10.88
2012-01-19,10.95,11.17,10.28,10.62
2012-01-20,10.24,10.33,9.08,9.47
2012-01-23,9.45,9.6,8.92,9.21
2012-01-24,9.33,10.9,9.11,10.75
2012-01-25,10.33,10.73,10.21,10.5
2012-01-26,10.54,10.55,10.01,10.34
2012-01-27,10.16,11.17,10.02,10.56
2012-01-30,10.39,11.2,10.2,11.05
2012-01-31,11.09,11.28,10.8,11.09
2012-02-01,11.2,11.48,10.84,11.09
2012-02-02,11.05,12.46,10.9,12.38
2012-02-03,11.47,12.07,10.9,11.73
2012-02-06,11.5,11.82,11.45,11.57
2012-02-07,10.76,10.77,9.52,10.38
2012-02-08,10.17,10.67,9.77,9.77
2012-02-09,10.0,10.0,9.4,9.47
2012-02-10,9.47,10.2,9.32,9.9
2012-02-13,9.99,10.09,9.55,9.66
2012-02-14,9.56,9.61,9.32,9.33
2012-02-15,9.51,9.58,8.47,8.71
2012-02-16,8.74,9.08,8.7,8.75
2012-02-17,10.6,11.14,10.43,11.04
2012-02-21,10.99,11.05,10.53,10.68
2012-02-22,10.53,10.69,10.3,10.32
2012-02-23,10.3,10.65,10.02,10.5
2012-02-24,10.52,11.05,10.4,10.72
2012-02-27,10.64,10.66,10.36,10.54
2012-02-28,10.51,11.12,10.5,10.9
2012-02-29,10.56,10.9,10.22,10.5
2012-03-01,10.21,10.78,10.21,10.68
2012-03-02,10.67,10.98,10.25,10.27
2012-03-05,10.3,10.3,9.74,10.02
2012-03-06,9.89,10.15,9.36,10.0
2012-03-07,10.01,10.26,9.94,10.23
2012-03-08,10.37,10.89,10.12,10.75
2012-03-09,10.93,11.25,10.72,10.82
2012-03-12,10.82,11.0,10.64,10.74
2012-03-13,10.79,10.95,10.45,10.67
2012-03-14,10.77,10.79,10.49,10.78
2012-03-15,10.71,11.15,10.59,10.8
2012-03-16,10.87,10.96,10.34,10.54
2012-03-19,10.5,10.73,10.38,10.52
2012-03-20,10.49,10.53,9.84,9.94
2012-03-21,10.18,10.5,9.9,10.41
2012-03-22,10.42,10.52,9.86,9.93
2012-03-23,9.96,10.08,9.76,9.92
2012-03-26,10.02,10.44,9.95,10.22
2012-03-27,10.25,10.33,10.08,10.09
2012-03-28,10.21,10.44,9.55,9.73
2012-03-29,9.66,10.03,9.44,9.96
2012-03-30,10.03,10.05,9.56,9.58
2012-04-02,9.63,10.48,9.56,10.17
2012-04-03,10.17,10.49,10.08,10.46
2012-04-04,10.36,10.58,10.15,10.47
2012-04-05,10.59,11.08,10.48,10.93
2012-04-09,10.81,10.84,10.42,10.57
2012-04-10,10.59,10.73,10.29,10.36
2012-04-11,10.57,10.68,10.04,10.15
2012-04-12,10.13,10.21,9.59,9.64
2012-04-13,9.59,9.61,9.01,9.02
2012-04-16,9.12,9.15,8.57,8.77
2012-04-17,8.88,9.44,8.88,9.05
2012-04-18,9.02,9.51,8.91,9.5
2012-04-19,7.63,8.4,7.16,8.3
2012-04-20,8.31,8.4,8.09,8.28
2012-04-23,7.2,7.45,6.63,6.74
2012-04-24,6.77,7.14,6.56,6.97
2012-04-25,7.08,7.19,6.68,6.88
2012-04-26,6.86,6.95,6.6,6.79
2012-04-27,6.83,7.08,6.64,6.9
2012-04-30,6.86,6.86,6.62,6.65
2012-05-01,6.67,6.77,6.59,6.6
2012-05-02,6.52,6.71,6.5,6.59
2012-05-03,6.55,6.58,6.31,6.43
2012-05-04,6.44,6.47,5.96,5.99
2012-05-07,6.07,6.18,5.9,5.99
2012-05-08,5.96,6.06,5.83,6.05
2012-05-09,5.93,6.51,5.78,6.5
2012-05-10,6.49,6.96,6.42,6.8
2012-05-11,6.75,7.32,6.68,7.2
2012-05-14,7.11,7.18,6.88,6.89
2012-05-15,7.31,7.4,6.77,6.82
2012-05-16,6.83,7.0,6.6,6.69
2012-05-17,6.69,6.72,6.5,6.5
2012-05-18,6.51,6.75,6.14,6.5
2012-05-21,6.56,7.29,6.5,7.21
2012-05-22,7.18,7.3,6.85,6.93
2012-05-23,6.89,7.19,6.68,7.1
2012-05-24,7.14,7.37,6.97,7.32
2012-05-25,7.28,7.35,7.12,7.35
2012-05-29,7.46,7.64,7.35,7.57
2012-05-30,7.46,7.57,7.38,7.51
2012-05-31,7.53,7.53,7.02,7.18
2012-06-01,7.08,7.15,6.81,6.89
2012-06-04,6.97,7.11,6.81,6.96
2012-06-05,6.7,6.7,6.03,6.29
2012-06-06,6.37,6.49,6.24,6.47
2012-06-07,6.25,6.29,6.12,6.21
2012-06-08,6.17,6.48,6.05,6.41
