Date,Open,High,Low,Close
2012-01-03,58.06,58.6,57.01,57.39
2012-01-04,57.16,57.22,56.34,56.4
2012-01-05,56.21,57.55,55.21,57.3
2012-01-06,57.25,57.57,56.72,56.94
2012-01-09,56.88,57.87,55.89,56.68
2012-01-10,57.18,57.23,56.58,56.73
2012-01-11,56.63,57.03,56.3,56.83
2012-01-12,56.88,57.56,56.7,57.44
2012-01-13,57.26,57.88,56.7,57.35
2012-01-17,57.08,57.87,56.97,57.23
2012-01-18,57.3,58.91,56.6,58.88
2012-01-19,59.08,60.91,59.04,60.56
2012-01-20,60.6,61.29,60.39,60.81
2012-01-23,61.04,61.4,60.27,60.57
2012-01-24,60.39,61.67,60.39,61.34
2012-01-25,61.22,61.38,60.48,61.26
2012-01-26,61.58,62.45,61.07,61.51
2012-01-27,61.37,61.88,61.15,61.46
2012-01-30,60.89,61.17,60.19,60.46
2012-01-31,59.77,61.0,59.61,60.49
2012-02-01,60.08,63.03,60.08,63.0
2012-02-02,63.17,63.73,62.63,62.88
2012-02-03,63.46,64.1,63.13,63.75
2012-02-06,63.76,63.95,63.23,63.48
2012-02-07,62.86,64.48,62.59,63.76
2012-02-08,63.75,64.46,62.64,63.61
2012-02-09,63.96,64.62,63.27,64.27
2012-02-10,63.69,64.39,63.0,63.65
2012-02-13,64.38,64.52,63.67,64.2
2012-02-14,64.01,64.67,63.76,64.31
2012-02-15,64.24,64.67,63.68,64.05
2012-02-16,64.0,65.26,63.93,65.1
2012-02-17,65.36,65.36,64.58,64.89
2012-02-21,64.93,65.16,64.35,64.99
2012-02-22,64.73,66.21,64.51,66.01
2012-02-23,64.0,64.64,62.68,63.08
2012-02-24,63.16,64.38,62.18,63.83
2012-02-27,63.79,64.37,62.74,63.65
2012-02-28,63.65,64.65,63.26,63.98
2012-02-29,64.38,64.62,63.18,63.18
2012-03-01,63.55,64.04,63.28,63.62
2012-03-02,63.69,64.14,63.14,63.57
2012-03-05,63.57,63.68,62.93,63.28
2012-03-06,62.71,63.13,61.4,61.62
2012-03-07,61.67,62.59,61.67,62.34
2012-03-08,62.71,63.68,62.25,62.67
2012-03-09,62.8,63.53,62.8,63.38
2012-03-12,63.47,63.67,62.96,63.21
2012-03-13,63.54,64.77,63.22,64.77
2012-03-14,64.82,64.95,64.07,64.7
2012-03-15,64.9,65.73,64.45,65.52
2012-03-16,65.41,66.0,65.38,65.55
2012-03-19,65.2,65.87,64.42,65.41
2012-03-20,64.91,65.38,64.35,64.66
2012-03-21,64.67,65.54,64.43,65.14
2012-03-22,64.75,65.01,63.8,64.83
2012-03-23,64.49,64.97,64.08,64.83
2012-03-26,65.26,66.25,65.08,66.03
2012-03-27,65.7,66.56,65.44,66.13
2012-03-28,66.01,66.24,64.77,65.3
2012-03-29,64.92,65.41,64.57,65.21
2012-03-30,64.49,65.75,63.52,65.02
2012-04-02,65.67,66.49,64.01,65.75
2012-04-03,65.32,66.69,65.32,66.26
2012-04-04,65.75,65.84,64.19,64.41
2012-04-05,63.41,64.39,62.88,64.28
2012-04-09,63.43,63.85,62.81,63.57
2012-04-10,63.65,63.9,62.24,62.24
2012-04-11,62.81,63.08,62.02,62.89
2012-04-12,63.0,63.88,62.1,63.54
2012-04-13,63.61,65.15,63.39,64.26
2012-04-16,64.5,64.93,63.61,64.15
2012-04-17,64.71,65.58,64.57,65.08
2012-04-18,64.88,66.41,64.58,66.08
2012-04-19,65.99,67.48,65.44,66.1
2012-04-20,66.31,67.13,65.94,66.12
2012-04-23,65.27,65.27,64.19,65.0
2012-04-24,64.71,65.14,63.59,63.97
2012-04-25,64.69,66.04,64.35,65.62
2012-04-26,65.74,67.16,65.74,67.0
2012-04-27,67.38,67.7,66.66,67.33
