Date,Open,High,Low,Close
2012-01-03,3.45,3.63,3.36,3.57
2012-01-04,3.58,3.62,3.4,3.61
2012-01-05,3.6,3.6,3.41,3.45
2012-01-06,3.55,3.57,3.34,3.35
2012-01-09,3.35,3.44,3.31,3.33
2012-01-10,3.44,3.47,3.4,3.42
2012-01-11,3.45,3.45,3.32,3.33
2012-01-12,3.35,3.41,3.25,3.27
2012-01-13,3.27,3.27,3.13,3.16
2012-01-17,3.24,3.31,3.17,3.21
2012-01-18,3.21,3.26,3.19,3.24
2012-01-19,3.26,3.34,3.25,3.29
2012-01-20,3.29,3.31,3.23,3.29
2012-01-23,3.29,3.53,3.26,3.52
2012-01-24,3.47,3.58,3.45,3.54
2012-01-25,3.56,3.73,3.45,3.73
2012-01-26,3.79,3.84,3.68,3.72
2012-01-27,3.69,3.91,3.64,3.87
2012-01-30,3.8,3.83,3.69,3.77
2012-01-31,3.85,3.87,3.7,3.74
2012-02-01,3.78,3.8,3.69,3.78
2012-02-02,3.78,3.91,3.7,3.79
2012-02-03,3.91,3.94,3.82,3.87
2012-02-06,3.87,4.05,3.84,3.99
2012-02-07,3.99,4.04,3.95,3.99
2012-02-08,4.01,4.03,3.95,3.98
2012-02-09,4.02,4.05,3.85,3.9
2012-02-10,3.82,3.86,3.69,3.72
2012-02-13,3.76,3.91,3.75,3.89
2012-02-14,3.88,3.95,3.8,3.83
2012-02-15,3.86,3.88,3.75,3.77
2012-02-16,3.78,3.9,3.75,3.89
2012-02-17,3.95,4.05,3.89,3.97
2012-02-21,4.03,4.19,4.03,4.12
2012-02-22,4.2,4.22,4.05,4.06
2012-02-23,4.09,4.19,4.0,4.19
2012-02-24,4.24,4.39,4.22,4.34
2012-02-27,4.34,4.35,4.22,4.29
2012-02-28,4.28,4.37,4.16,4.25
2012-02-29,4.29,4.37,4.01,4.02
2012-03-01,4.07,4.19,4.03,4.06
2012-03-02,4.06,4.09,3.87,3.87
2012-03-05,3.84,3.87,3.74,3.77
2012-03-06,3.7,3.7,3.57,3.59
2012-03-07,3.63,3.8,3.59,3.76
2012-03-08,3.8,3.87,3.71,3.74
2012-03-09,3.76,3.9,3.76,3.84
2012-03-12,3.85,3.87,3.71,3.78
2012-03-13,3.78,3.88,3.73,3.83
2012-03-14,3.81,3.85,3.69,3.72
2012-03-15,3.65,3.71,3.41,3.52
2012-03-16,3.49,3.5,3.12,3.27
2012-03-19,3.22,3.32,3.13,3.17
2012-03-20,3.11,3.14,3.03,3.08
2012-03-21,3.11,3.24,3.07,3.2
2012-03-22,3.16,3.18,3.06,3.11
2012-03-23,3.15,3.37,3.08,3.36
2012-03-26,3.41,3.42,3.18,3.27
2012-03-27,3.27,3.35,3.2,3.25
2012-03-28,3.25,3.27,3.11,3.19
2012-03-29,3.15,3.18,3.05,3.12
2012-03-30,3.16,3.2,3.09,3.12
2012-04-02,3.1,3.28,3.1,3.25
2012-04-03,3.24,3.24,3.12,3.13
2012-04-04,3.1,3.19,2.95,2.99
2012-04-05,3.01,3.07,2.98,3.01
2012-04-09,2.89,3.0,2.85,2.93
2012-04-10,2.94,3.01,2.79,2.79
2012-04-11,2.93,3.03,2.86,2.91
2012-04-12,2.93,3.08,2.93,3.05
2012-04-13,3.03,3.03,2.95,2.99
2012-04-16,3.01,3.06,2.88,2.9
2012-04-17,2.94,3.06,2.93,3.01
2012-04-18,2.96,3.0,2.9,2.91
2012-04-19,2.9,2.97,2.83,2.88
2012-04-20,2.95,2.95,2.86,2.89
2012-04-23,2.84,2.88,2.75,2.85
2012-04-24,2.86,2.93,2.8,2.83
2012-04-25,2.91,2.95,2.84,2.95
2012-04-26,2.96,3.03,2.94,3.01
2012-04-27,3.01,3.03,2.93,2.98
2012-04-30,2.94,3.0,2.92,2.98
2012-05-01,2.99,3.15,2.95,3.05
2012-05-02,3.03,3.09,2.95,2.98
2012-05-03,2.96,3.01,2.8,2.81
2012-05-04,2.8,2.95,2.8,2.9
2012-05-07,2.88,2.93,2.78,2.83
2012-05-08,2.8,2.82,2.66,2.77
2012-05-09,2.7,2.77,2.67,2.71
2012-05-10,2.75,2.97,2.7,2.87
2012-05-11,2.82,2.95,2.79,2.83
2012-05-14,2.76,2.79,2.68,2.69
2012-05-15,2.7,2.78,2.58,2.61
2012-05-16,2.63,2.73,2.5,2.51
2012-05-17,2.51,2.66,2.51,2.53
2012-05-18,2.52,2.65,2.5,2.51
2012-05-21,2.51,2.71,2.51,2.71
2012-05-22,2.69,2.8,2.56,2.62
2012-05-23,2.57,2.68,2.5,2.66
2012-05-24,2.68,2.75,2.58,2.63
2012-05-25,2.62,2.69,2.55,2.56
2012-05-29,2.61,2.86,2.61,2.85
2012-05-30,2.76,2.84,2.7,2.79
2012-05-31,2.8,2.83,2.65,2.76
2012-06-01,2.67,2.67,2.54,2.56
2012-06-04,2.57,2.65,2.49,2.59
2012-06-05,2.57,2.71,2.56,2.7
2012-06-06,2.74,2.87,2.71,2.87
2012-06-07,2.93,3.01,2.84,2.88
2012-06-08,2.85,3.05,2.83,3.04
2012-06-11,3.08,3.1,2.73,2.75
2012-06-12,2.77,2.95,2.7,2.95
2012-06-13,2.93,2.95,2.75,2.76
2012-06-14,2.77,2.92,2.71,2.9
2012-06-15,2.89,3.45,2.57,3.16
2012-06-18,3.1,3.2,3.04,3.11
2012-06-19,3.12,3.23,3.05,3.21
2012-06-20,3.19,3.23,3.09,3.17
2012-06-21,3.16,3.16,2.95,3.01
2012-06-22,3.02,3.04,2.92,3.03
2012-06-25,2.94,2.95,2.87,2.92
2012-06-26,2.93,2.95,2.84,2.89
2012-06-27,2.92,3.07,2.92,3.05
2012-06-28,3.02,3.13,2.98,3.12
2012-06-29,3.2,3.2,3.12,3.185
2012-07-02,3.18,3.23,3.08,3.22
2012-07-03,3.26,3.35,3.25,3.35
2012-07-05,3.33,3.35,3.23,3.31
2012-07-06,3.24,3.32,3.18,3.22
2012-07-09,3.22,3.35,3.14,3.33
2012-07-10,3.35,3.38,3.11,3.16
2012-07-11,3.18,3.22,3.04,3.09
2012-07-12,3.05,3.06,2.93,2.95
2012-07-13,2.98,3.07,2.98,3.04
2012-07-16,3.0,3.03,2.89,2.9
2012-07-17,2.94,2.9699,2.73,2.78
2012-07-18,2.81,2.83,2.7,2.74
2012-07-19,2.75,2.8,2.68,2.71
2012-07-20,2.68,2.73,2.64,2.73
2012-07-23,2.62,2.69,2.57,2.64
2012-07-24,2.67,2.69,2.47,2.495
2012-07-25,2.53,2.59,2.4,2.44
2012-07-26,2.5,2.51,2.44,2.48
2012-07-27,2.48,2.61,2.47,2.58
2012-07-30,2.61,2.62,2.56,2.59
2012-07-31,2.56,2.62,2.48,2.51
2012-08-01,2.53,2.57,2.44,2.46
2012-08-02,2.44,2.47,2.33,2.34
2012-08-03,2.41,2.48,2.38,2.45
2012-08-06,2.45,2.51,2.43,2.45
2012-08-07,2.48,2.67,2.48,2.65
2012-08-08,2.62,2.66,2.5,2.56
2012-08-09,2.65,2.65,2.36,2.38
2012-08-10,2.3,2.3,2.07,2.17
2012-08-13,2.19,2.21,2.1,2.12
2012-08-14,2.14,2.14,2.01,2.02
2012-08-15,2.02,2.04,2.0,2.01
2012-08-16,2.02,2.04,2.01,2.02
2012-08-17,2.03,2.04,1.91,1.99
2012-08-20,1.98,2.02,1.95,1.97
2012-08-21,1.98,2.0152,1.96,2.0
2012-08-22,2.0,2.02,1.98,2.0
2012-08-23,2.01,2.1,2.0,2.0
2012-08-24,2.2,2.2,2.02,2.09
2012-08-27,2.11,2.11,2.04,2.05
2012-08-28,2.05,2.0501,2.01,2.02
2012-08-29,2.03,2.03,1.97,2.0
2012-08-30,1.98,2.01,1.98,2.0
2012-08-31,2.02,2.05,1.98,2.03
2012-09-04,2.03,2.04,1.98,1.985
2012-09-05,1.96,1.99,1.92,1.92
2012-09-06,1.95,2.05,1.92,2.005
2012-09-07,2.03,2.08,2.0,2.07
2012-09-10,2.06,2.19,2.06,2.165
2012-09-11,2.16,2.25,2.14,2.23
2012-09-12,2.26,2.28,2.16,2.23
2012-09-13,2.26,2.34,2.22,2.26
2012-09-14,2.32,2.37,2.27,2.36
2012-09-17,2.32,2.35,2.25,2.25
2012-09-18,2.25,2.31,2.22,2.3
2012-09-19,2.37,2.45,2.37,2.38
2012-09-20,2.38,2.47,2.33,2.45
2012-09-21,2.47,2.55,2.46,2.495
2012-09-24,2.5,2.52,2.36,2.38
2012-09-25,2.43,2.53,2.32,2.33
2012-09-26,2.33,2.34,2.25,2.27
2012-09-27,2.3,2.42,2.3,2.33
