Date,Open,High,Low,Close
2012-01-03,3.2,3.48,3.2,3.37
2012-01-04,3.4,3.52,3.36,3.48
2012-01-05,3.43,3.43,3.33,3.33
2012-01-06,3.44,3.49,3.34,3.37
2012-01-09,3.42,3.46,3.22,3.28
2012-01-10,3.31,3.4,3.3,3.35
2012-01-11,3.8,4.46,3.76,4.32
2012-01-12,4.41,4.9,4.35,4.47
2012-01-13,4.42,4.43,4.0,4.18
2012-01-17,4.25,4.58,4.18,4.22
2012-01-18,4.36,4.49,4.08,4.25
2012-01-19,4.3,4.36,4.13,4.17
2012-01-20,4.19,4.66,3.95,4.5
2012-01-23,4.5,4.88,4.49,4.72
2012-01-24,4.67,4.78,4.4,4.68
2012-01-25,4.63,4.81,4.54,4.77
2012-01-26,4.85,4.89,4.42,4.52
2012-01-27,4.47,4.5,4.35,4.43
2012-01-30,4.52,4.83,4.4,4.74
2012-01-31,4.81,4.85,4.5,4.51
2012-02-01,4.57,4.57,4.43,4.52
2012-02-02,4.58,4.58,4.35,4.41
2012-02-03,4.4,4.44,4.36,4.39
2012-02-06,4.36,4.43,4.25,4.31
2012-02-07,4.31,4.33,4.02,4.05
2012-02-08,4.07,4.15,3.65,4.11
2012-02-09,4.1,4.15,3.95,3.97
2012-02-10,3.95,3.97,3.77,3.82
2012-02-13,3.85,3.98,3.8,3.82
2012-02-14,3.8,3.82,3.57,3.6
2012-02-15,3.58,3.65,3.46,3.47
2012-02-16,3.51,3.58,3.41,3.55
2012-02-17,3.62,3.65,3.43,3.49
2012-02-21,3.55,3.58,3.3,3.32
2012-02-22,3.31,3.65,3.3,3.57
2012-02-23,3.64,3.73,3.45,3.51
2012-02-24,3.58,3.58,3.45,3.45
2012-02-27,3.46,3.54,3.33,3.5
2012-02-28,3.5,3.57,3.42,3.47
2012-02-29,3.5,3.53,3.38,3.39
2012-03-01,3.37,3.48,3.37,3.44
2012-03-02,3.44,3.47,3.38,3.4
2012-03-05,3.41,3.44,3.31,3.39
2012-03-06,3.4,3.42,3.31,3.34
2012-03-07,3.42,3.43,3.26,3.28
2012-03-08,3.33,3.34,3.25,3.27
2012-03-09,3.31,3.31,3.1,3.1
2012-03-12,3.13,3.13,2.63,2.94
2012-03-13,2.97,3.04,2.85,2.97
2012-03-14,3.0,3.02,2.87,2.92
2012-03-15,2.96,3.0,2.89,3.0
2012-03-16,3.0,3.06,2.93,2.93
2012-03-19,2.95,3.0,2.94,2.99
2012-03-20,2.94,2.99,2.85,2.88
2012-03-21,2.88,2.91,2.76,2.8
2012-03-22,2.82,2.82,2.73,2.77
2012-03-23,2.8,2.82,2.76,2.79
2012-03-26,2.93,2.95,2.84,2.86
2012-03-27,2.9,2.93,2.88,2.89
2012-03-28,2.94,2.97,2.88,2.91
2012-03-29,2.97,3.01,2.9,2.92
2012-03-30,2.97,3.06,2.92,3.02
2012-04-02,3.05,3.28,2.99,3.14
2012-04-03,3.16,3.2,3.1,3.18
2012-04-04,3.15,3.15,3.03,3.07
2012-04-05,3.05,3.45,3.03,3.21
2012-04-09,3.18,3.2,3.03,3.08
2012-04-10,3.06,3.17,2.8,2.91
2012-04-11,2.91,3.05,2.91,2.96
2012-04-12,3.0,3.12,2.91,3.03
2012-04-13,3.0,3.08,2.95,3.03
2012-04-16,3.02,3.09,3.0,3.01
2012-04-17,3.0,3.16,2.88,3.01
2012-04-18,3.02,3.03,2.98,3.0
2012-04-19,2.97,3.07,2.97,2.99
2012-04-20,3.0,3.04,2.98,3.01
2012-04-23,2.98,3.01,2.98,3.01
2012-04-24,2.99,3.21,2.99,3.12
2012-04-25,3.2,3.2,3.08,3.1
2012-04-26,3.09,3.18,3.08,3.15
2012-04-27,3.15,3.38,3.15,3.23
2012-04-30,3.23,3.23,3.07,3.14
2012-05-01,3.13,3.16,3.07,3.1
2012-05-02,3.08,3.2,3.08,3.08
2012-05-03,3.08,3.08,2.98,3.0
2012-05-04,3.0,3.11,2.97,3.01
2012-05-07,2.95,3.02,2.95,2.97
2012-05-08,2.97,3.03,2.88,2.96
2012-05-09,2.92,2.96,2.85,2.86
2012-05-10,2.88,2.9,2.8,2.82
2012-05-11,2.8,2.89,2.8,2.8
2012-05-14,2.8,2.81,2.54,2.7
2012-05-15,2.67,2.9,2.64,2.83
2012-05-16,3.23,3.23,2.73,2.78
2012-05-17,2.74,2.75,2.72,2.72
2012-05-18,2.74,2.76,2.72,2.73
2012-05-21,2.71,2.76,2.68,2.72
2012-05-22,2.76,2.76,2.69,2.69
2012-05-23,2.7,2.72,2.59,2.71
2012-05-24,2.7,2.81,2.68,2.72
2012-05-25,2.69,2.72,2.62,2.64
2012-05-29,2.63,2.66,2.55,2.55
2012-05-30,2.57,2.57,2.35,2.42
2012-05-31,2.44,2.44,2.27,2.33
2012-06-01,2.27,2.35,2.11,2.15
2012-06-04,2.18,2.24,2.12,2.14
2012-06-05,2.11,2.22,2.03,2.07
2012-06-06,2.07,2.19,2.07,2.15
2012-06-07,2.2,2.36,2.2,2.26
2012-06-08,2.26,2.33,2.15,2.24
2012-06-11,2.3,2.3,2.14,2.19
2012-06-12,2.22,2.3,2.17,2.29
2012-06-13,2.3,2.35,2.2,2.25
2012-06-14,2.22,2.32,2.19,2.27
