Date,Open,High,Low,Close
2012-01-03,8.12,8.22,8.02,8.08
2012-01-04,8.05,8.06,7.75,7.82
2012-01-05,7.75,8.02,7.74,7.93
2012-01-06,7.51,8.02,7.1,7.74
2012-01-09,7.74,8.32,7.22,8.17
2012-01-10,8.28,8.42,8.19,8.38
2012-01-11,8.37,9.18,8.3,9.08
2012-01-12,9.09,9.54,9.09,9.51
2012-01-13,9.44,9.82,9.31,9.56
2012-01-17,9.54,9.7,9.44,9.51
2012-01-18,9.51,9.55,9.17,9.41
2012-01-19,9.46,10.35,9.46,10.08
2012-01-20,10.01,10.49,10.01,10.45
2012-01-23,10.41,10.71,10.19,10.43
2012-01-24,10.42,10.7,10.38,10.53
2012-01-25,10.49,10.84,10.33,10.79
2012-01-26,10.7,10.93,10.24,10.32
2012-01-27,10.03,10.82,9.91,10.66
2012-01-30,10.41,10.62,10.15,10.19
2012-01-31,10.28,10.48,10.0,10.11
2012-02-01,10.26,11.25,10.25,11.12
2012-02-02,11.24,11.38,10.96,11.19
2012-02-03,11.24,11.81,11.24,11.57
2012-02-06,11.65,11.65,11.26,11.52
2012-02-07,11.44,11.59,11.27,11.3
2012-02-08,11.25,11.57,11.21,11.22
2012-02-09,11.16,11.46,11.16,11.4
2012-02-10,11.25,11.43,10.97,11.03
2012-02-13,11.11,11.42,10.83,11.33
2012-02-14,11.3,11.44,10.86,11.05
2012-02-15,11.12,11.37,10.96,11.21
2012-02-16,11.16,11.3,10.89,11.09
2012-02-17,11.14,11.74,11.07,11.62
2012-02-21,11.66,11.92,11.19,11.31
2012-02-22,11.23,11.45,10.94,11.29
2012-02-23,11.22,11.71,11.2,11.52
2012-02-24,11.57,12.41,11.41,11.93
2012-02-27,11.7,11.89,11.14,11.2
2012-02-28,10.5,10.66,9.03,9.1
2012-02-29,9.11,9.13,8.56,8.62
2012-03-01,8.68,8.79,8.6,8.63
2012-03-02,8.63,8.72,8.19,8.2
2012-03-05,8.16,8.19,7.96,8.05
2012-03-06,7.93,8.13,7.85,8.0
2012-03-07,7.91,8.2,7.91,7.99
2012-03-08,8.08,8.17,7.86,7.87
2012-03-09,7.89,8.35,7.87,8.08
2012-03-12,8.03,8.1,7.82,7.88
2012-03-13,7.94,8.39,7.75,8.38
2012-03-14,8.36,8.53,8.04,8.14
2012-03-15,8.15,8.56,8.08,8.44
2012-03-16,8.45,8.58,8.34,8.54
2012-03-19,8.54,8.62,8.41,8.52
2012-03-20,8.5,8.56,8.33,8.46
2012-03-21,8.43,8.69,8.26,8.64
2012-03-22,8.44,8.67,8.44,8.66
2012-03-23,8.6,8.64,8.38,8.54
2012-03-26,8.64,9.03,8.61,9.0
2012-03-27,8.82,8.84,8.38,8.42
2012-03-28,8.42,8.52,8.11,8.2
2012-03-29,8.14,8.22,8.0,8.18
2012-03-30,8.23,8.24,8.01,8.06
2012-04-02,8.12,8.17,8.0,8.15
2012-04-03,8.08,8.16,7.67,7.71
2012-04-04,7.61,7.67,7.22,7.37
2012-04-05,7.23,7.41,7.23,7.29
2012-04-09,7.22,7.27,6.84,7.07
2012-04-10,7.08,7.13,6.8,6.98
2012-04-11,7.11,7.3,7.01,7.13
2012-04-12,7.11,7.49,7.1,7.35
2012-04-13,7.32,7.32,6.95,6.99
2012-04-16,7.05,7.09,6.85,6.94
2012-04-17,7.02,7.28,6.98,7.07
2012-04-18,7.03,7.04,6.81,6.89
2012-04-19,6.86,7.04,6.82,6.87
2012-04-20,6.91,7.03,6.83,6.9
2012-04-23,6.82,6.95,6.74,6.89
2012-04-24,6.88,6.98,6.78,6.89
2012-04-25,6.98,7.07,6.88,7.01
2012-04-26,7.0,7.47,6.99,7.16
2012-04-27,7.19,7.4,6.92,7.36
2012-04-30,7.36,7.36,7.03,7.13
2012-05-01,7.13,7.27,6.93,6.96
2012-05-02,6.94,7.08,6.69,6.75
2012-05-03,6.77,6.86,6.53,6.82
2012-05-04,6.77,6.86,6.4,6.44
2012-05-07,7.01,7.26,6.7,7.0
2012-05-08,6.91,7.01,6.86,6.88
2012-05-09,6.8,7.03,6.68,6.99
2012-05-10,7.05,7.05,6.88,7.0
2012-05-11,6.37,6.74,5.88,6.21
2012-05-14,6.23,6.53,6.14,6.43
2012-05-15,6.42,6.57,6.35,6.46
2012-05-16,6.49,6.59,6.37,6.42
2012-05-17,6.34,6.68,6.3,6.51
2012-05-18,6.55,6.6,6.41,6.45
2012-05-21,6.47,6.67,6.35,6.62
2012-05-22,6.66,6.79,6.3,6.35
2012-05-23,6.29,6.74,6.15,6.66
2012-05-24,6.68,6.75,6.26,6.31
2012-05-25,6.33,7.15,6.27,7.03
2012-05-29,7.1,7.39,7.0,7.18
2012-05-30,7.17,7.21,6.52,6.57
2012-05-31,6.58,6.585,6.27,6.54
2012-06-01,6.38,6.71,6.3,6.54
2012-06-04,6.55,6.56,6.2,6.34
2012-06-05,6.32,6.67,6.25,6.53
2012-06-06,6.65,7.02,6.58,6.97
2012-06-07,7.07,7.15,6.8,6.81
2012-06-08,6.77,6.85,6.52,6.71
2012-06-11,6.8,6.84,6.26,6.29
2012-06-12,6.3,6.34,6.05,6.21
2012-06-13,6.15,6.21,5.62,5.71
2012-06-14,5.73,5.8,5.51,5.55
2012-06-15,5.54,5.7,5.44,5.62
2012-06-18,5.58,5.66,5.32,5.39
2012-06-19,5.43,5.58,5.39,5.5
2012-06-20,5.81,6.05,5.64,5.95
2012-06-21,5.96,6.17,5.89,6.02
2012-06-22,6.08,6.13,5.93,5.96
2012-06-25,5.82,5.98,5.75,5.95
2012-06-26,6.08,6.14,5.92,5.98
2012-06-27,5.99,6.18,5.99,6.16
2012-06-28,6.11,6.48,5.86,6.44
2012-06-29,6.61,6.84,6.51,6.69
2012-07-02,6.93,7.05,6.53,6.67
2012-07-03,6.67,6.67,6.38,6.58
2012-07-05,6.67,6.78,6.48,6.51
2012-07-06,6.46,6.9,6.43,6.87
2012-07-09,6.83,6.9,6.32,6.36
2012-07-10,6.37,6.51,6.0,6.03
2012-07-11,6.05,6.28,5.86,5.93
2012-07-12,5.85,5.98,5.68,5.77
2012-07-13,5.77,5.85,5.48,5.57
2012-07-16,5.52,5.63,5.5,5.53
2012-07-17,5.36,5.41,5.11,5.27
2012-07-18,5.26,5.62,5.26,5.52
2012-07-19,5.51,5.73,5.47,5.66
2012-07-20,5.58,5.62,5.38,5.54
2012-07-23,5.4,5.4,5.22,5.33
2012-07-24,5.1,5.25,4.8,4.8
2012-07-25,4.85,4.97,4.81,4.89
2012-07-26,4.96,4.97,4.61,4.75
2012-07-27,4.77,5.05,4.77,4.99
2012-07-30,5.0,5.08,4.55,4.6
2012-07-31,4.6,4.76,4.52,4.71
2012-08-01,4.02,4.22,3.57,3.69
2012-08-02,3.59,3.62,3.1,3.13
2012-08-03,3.22,3.32,3.05,3.08
2012-08-06,3.1,3.62,3.05,3.46
2012-08-07,3.45,3.55,3.31,3.43
2012-08-08,3.42,3.75,3.38,3.7
2012-08-09,3.68,3.75,3.58,3.66
2012-08-10,3.68,3.68,3.53,3.55
2012-08-13,3.56,3.59,3.45,3.47
2012-08-14,3.52,3.52,3.3,3.33
2012-08-15,3.35,3.43,3.35,3.42
2012-08-16,3.41,3.51,3.39,3.45
2012-08-17,3.45,3.56,3.43,3.52
2012-08-20,3.49,3.61,3.44,3.57
2012-08-21,3.61,3.84,3.58,3.74
2012-08-22,3.61,3.72,3.36,3.49
2012-08-23,3.47,3.53,3.41,3.48
2012-08-24,3.45,3.555,3.43,3.47
2012-08-27,3.46,3.53,3.34,3.37
2012-08-28,3.41,3.47,3.31,3.33
2012-08-29,3.32,3.35,3.14,3.22
2012-08-30,3.23,3.23,3.1699,3.19
2012-08-31,3.18,3.1998,3.11,3.15
2012-09-04,3.19,3.35,3.1,3.305
2012-09-05,3.3,3.4094,3.17,3.34
2012-09-06,3.37,3.8,3.3508,3.61
2012-09-07,3.62,3.7,3.51,3.64
2012-09-10,3.65,3.75,3.47,3.51
2012-09-11,3.5,3.88,3.32,3.85
2012-09-12,3.85,4.02,3.74,3.79
2012-09-13,3.78,3.95,3.72,3.82
2012-09-14,3.85,4.05,3.8,4.04
2012-09-17,4.01,4.02,3.8,3.82
2012-09-18,3.81,4.1825,3.8,4.09
2012-09-19,4.11,4.1201,4.0,4.04
2012-09-20,4.01,4.01,3.86,3.93
2012-09-21,3.99,3.99,3.87,3.97
2012-09-24,3.9,4.02,3.81,3.965
2012-09-25,3.99,3.99,3.67,3.69
2012-09-26,3.7,3.85,3.67,3.79
2012-09-27,3.8,3.98,3.73,3.9
2012-09-28,3.87,3.96,3.76,3.76
2012-10-01,3.76,3.92,3.76,3.85
2012-10-02,3.77,3.88,3.74,3.8
2012-10-03,3.8,3.81,3.62,3.64
2012-10-04,3.68,3.79,3.6399,3.75
2012-10-05,3.76,3.86,3.72,3.73
2012-10-08,3.71,4.17,3.6501,4.05
2012-10-09,4.05,4.23,3.89,4.085
2012-10-10,4.1,4.34,4.01,4.07
2012-10-11,4.1,4.3308,4.0001,4.2
2012-10-12,4.22,4.22,3.88,3.9
2012-10-15,3.9,4.07,3.87,3.88
2012-10-16,3.92,3.94,3.73,3.74
2012-10-17,3.71,3.71,3.54,3.66
2012-10-18,3.7,3.79,3.6206,3.78
2012-10-19,3.74,3.8,3.56,3.6
2012-10-22,3.62,3.74,3.57,3.68
2012-10-23,3.63,3.675,3.46,3.47
2012-10-24,3.48,3.495,3.35,3.39
2012-10-25,3.41,3.5,3.325,3.34
2012-10-26,3.35,3.51,3.27,3.31
2012-10-31,3.31,3.48,3.3,3.4
2012-11-01,3.41,3.7,3.39,3.68
2012-11-02,3.65,3.75,3.61,3.66
2012-11-05,3.67,3.715,3.595,3.67
2012-11-06,3.69,3.95,3.69,3.92
2012-11-07,3.83,3.85,3.48,3.575
2012-11-08,3.56,3.58,3.4,3.41
2012-11-09,3.4,3.4,2.91,2.93
2012-11-12,2.93,2.975,2.73,2.84
2012-11-13,2.86,2.88,2.6,2.62
2012-11-14,2.63,2.63,2.51,2.565
2012-11-15,2.56,2.78,2.56,2.72
2012-11-16,2.69,2.83,2.67,2.8
2012-11-19,2.82,2.85,2.76,2.82
2012-11-20,2.82,2.82,2.66,2.72
2012-11-21,2.73,2.83,2.6217,2.67
2012-11-23,2.67,2.81,2.62,2.74
2012-11-26,2.74,2.98,2.65,2.9
2012-11-27,2.91,2.96,2.8301,2.89
2012-11-28,2.85,2.9299,2.8199,2.835
2012-11-29,2.91,3.14,2.8012,3.05
2012-11-30,3.05,3.13,2.9201,2.99
2012-12-03,3.01,3.05,2.8,2.82
2012-12-04,2.77,3.16,2.725,3.1
2012-12-05,3.1,3.12,2.92,3.07
2012-12-06,3.11,3.11,2.985,3.03
2012-12-07,3.04,3.04,2.84,2.955
2012-12-10,2.96,3.02,2.865,3.02
2012-12-11,3.04,3.3,3.04,3.21
2012-12-12,3.22,3.52,3.21,3.41
2012-12-13,3.41,3.53,3.33,3.37
2012-12-14,3.31,3.63,3.31,3.43
2012-12-17,3.44,3.51,3.29,3.33
2012-12-18,3.33,3.59,3.24,3.52
2012-12-19,3.6,3.72,3.33,3.38
2012-12-20,3.35,3.41,3.17,3.33
2012-12-21,3.28,3.33,3.09,3.33
2012-12-24,3.32,3.47,3.18,3.27
2012-12-26,3.27,3.35,3.255,3.3
2012-12-27,3.29,3.33,3.145,3.25
2012-12-28,3.23,3.36,3.23,3.31
2012-12-31,3.3,3.55,3.26,3.5129
