Date,Open,High,Low,Close
2012-01-03,8.684,9.0665,8.684,9.0665
2012-01-04,8.8944,8.8944,8.6361,8.7127
2012-01-05,8.7127,8.7127,8.7032,8.7127
2012-01-06,8.7127,8.7127,8.617,8.7127
2012-01-09,8.7127,8.7127,8.7127,8.7127
2012-01-10,8.6075,8.7127,8.5597,8.5597
2012-01-11,8.7032,8.7032,8.6075,8.7032
2012-01-12,8.7032,8.7032,8.6458,8.7032
2012-01-13,8.7032,8.7032,8.6934,8.6934
2012-01-17,8.5597,8.6075,8.5597,8.6075
2012-01-18,8.5692,8.6075,8.5597,8.5978
2012-01-19,8.5597,8.6361,8.5597,8.5597
2012-01-20,8.6075,8.6075,8.6075,8.6075
2012-01-24,8.7414,8.8944,8.7414,8.8944
2012-01-25,8.8944,9.2195,8.8944,9.2195
2012-01-26,9.689,9.689,9.21,9.3439
2012-01-27,9.2769,9.3248,8.904,9.3248
2012-01-31,8.9613,9.0665,8.9136,9.0475
2012-02-01,9.2291,9.515,9.2195,9.515
2012-02-02,9.515,9.593,9.3724,9.593
2012-02-03,9.593,9.593,9.554,9.554
2012-02-06,9.544,9.593,9.4207,9.564
2012-02-07,9.4685,9.4685,9.1717,9.4484
2012-02-08,9.1812,9.2577,9.1812,9.2577
2012-02-09,9.515,9.583,9.515,9.583
2012-02-10,9.2865,9.3056,9.2865,9.3056
2012-02-14,9.525,9.535,9.0665,9.4685
2012-02-15,9.2004,9.2865,9.2004,9.2865
2012-02-16,9.0379,9.0951,9.0379,9.0762
2012-02-21,9.4484,9.4484,9.1526,9.1526
2012-02-22,9.2865,9.3724,9.2291,9.2577
2012-02-24,9.0857,9.0857,9.0857,9.0857
2012-02-27,8.8465,9.0857,8.8274,8.8274
2012-02-28,9.0762,9.0762,8.8274,8.8274
2012-02-29,9.1048,9.2483,8.617,8.9613
2012-03-01,8.8562,8.8848,8.8083,8.8753
2012-03-02,9.0665,9.0665,9.0665,9.0665
2012-03-05,8.8944,9.057,8.8944,9.057
2012-03-06,8.8656,8.8848,8.8656,8.8848
2012-03-07,8.8944,8.8944,8.8944,8.8944
2012-03-08,8.8848,8.8944,8.8848,8.8944
2012-03-12,8.8753,8.8753,8.7988,8.8753
2012-03-13,8.8944,8.8944,8.8753,8.8944
2012-03-14,9.0187,9.0187,8.837,8.8656
2012-03-15,8.837,8.8562,8.8274,8.8465
2012-03-16,8.8944,8.8944,8.8944,8.8944
2012-03-19,9.0857,9.0857,9.0665,9.0665
2012-03-20,8.8465,9.0665,8.8465,9.0665
2012-03-21,8.7796,8.837,8.5117,8.7032
2012-03-23,8.7988,8.9422,8.7988,8.9422
2012-03-28,8.7222,8.7222,8.5117,8.6552
2012-03-29,8.6458,8.6552,8.6266,8.6552
2012-03-30,8.7508,8.7508,8.6552,8.6552
2012-04-02,8.6266,8.6266,8.6266,8.6266
2012-04-03,8.6075,8.6744,8.6075,8.6744
2012-04-04,8.6552,8.6552,8.617,8.617
2012-04-05,8.6075,8.6075,8.6075,8.6075
2012-04-09,8.6934,8.6934,8.6934,8.6934
2012-04-10,8.6934,8.7032,8.684,8.684
2012-04-11,8.6744,8.6744,8.6361,8.6552
2012-04-12,8.6075,8.617,8.5788,8.6075
2012-04-16,8.6552,8.6552,8.6552,8.6552
2012-04-19,8.684,8.8274,8.5883,8.5883
2012-04-20,8.6458,9.1335,8.6458,8.7127
2012-04-23,8.6934,9.1144,8.6934,8.8465
2012-04-24,9.1239,9.1239,8.7414,8.7414
2012-04-25,8.684,8.684,8.6361,8.6361
2012-04-26,8.9422,9.1048,8.7414,8.7508
2012-04-27,8.7414,8.9901,8.7414,8.8944
2012-04-30,8.8083,8.8178,8.7508,8.7508
2012-05-01,8.9136,8.9136,8.7508,8.7508
2012-05-02,9.0092,9.0092,8.8656,8.8944
2012-05-03,8.6266,8.6266,8.6266,8.6266
2012-05-04,8.904,8.904,8.7701,8.7988
2012-05-07,8.7032,8.8944,8.7032,8.8656
2012-05-08,8.7796,8.8562,8.6266,8.6266
2012-05-09,8.6458,8.7604,8.6266,8.7604
2012-05-10,8.6647,8.6647,8.6647,8.6647
2012-05-11,8.7127,8.7127,8.6266,8.6266
2012-05-14,8.6458,9.1239,8.6458,8.904
2012-05-15,8.7988,8.9901,8.7508,8.8178
2012-05-16,8.6361,8.9136,8.5117,8.6744
2012-05-17,8.6075,8.7317,8.5692,8.6075
2012-05-18,8.6934,8.6934,8.6934,8.6934
2012-05-21,8.5117,8.5309,8.5117,8.5309
2012-05-22,8.5117,8.5978,8.5117,8.5788
2012-05-24,8.5978,8.6552,8.5978,8.6552
2012-05-25,8.5597,8.5597,8.5597,8.5597
2012-05-29,8.6361,8.6361,8.617,8.617
2012-05-30,8.5692,8.5692,8.5597,8.5597
2012-05-31,8.6552,8.6647,8.4736,8.4736
2012-06-01,8.4642,8.5692,8.4642,8.5692
2012-06-04,8.4642,8.5117,8.4642,8.4642
2012-06-05,8.4642,8.5883,8.4642,8.5883
2012-06-06,8.5023,8.5692,8.4831,8.4831
2012-06-11,8.6361,8.6361,8.6361,8.6361
2012-06-12,8.4927,8.5883,8.4736,8.5597
2012-06-13,8.4831,8.4831,8.4642,8.4736
2012-06-14,8.4642,8.5117,8.4642,8.5117
2012-06-15,8.5692,8.5692,8.5692,8.5692
2012-06-20,8.4736,8.4736,8.4642,8.4642
2012-06-21,8.5406,8.5978,8.5406,8.5406
2012-06-22,8.5978,8.6075,8.4927,8.6075
2012-06-25,8.5883,8.5978,8.5883,8.5978
2012-06-26,8.4736,8.4736,8.4736,8.4736
2012-07-03,8.4736,8.5978,8.4642,8.5978
2012-07-05,8.6744,8.8465,8.6552,8.8178
