Date,Open,High,Low,Close
2012-01-03,4.7759,4.7888,4.75,4.7627
2012-01-04,4.7957,4.8015,4.7236,4.7759
2012-01-05,4.7627,4.8015,4.75,4.8015
2012-01-06,4.8043,4.8373,4.7588,4.8299
2012-01-09,4.8215,4.8275,4.7696,4.8145
2012-01-10,4.8275,4.8344,4.7826,4.8145
2012-01-11,4.8242,4.8242,4.7780000000000005,4.7780000000000005
2012-01-12,4.7719,4.8173,4.765,4.8113
2012-01-13,4.8242,4.8565,4.7978,4.8373
2012-01-17,4.8529,4.8660000000000005,4.8268,4.8529
2012-01-18,4.8565,4.8696,4.8373,4.8373
2012-01-19,4.8502,4.8696,4.8299,4.8696
2012-01-20,4.8631,4.8958,4.843,4.8958
2012-01-23,4.8761,4.8958,4.8631,4.8761
2012-01-24,4.8631,4.8761,4.843,4.843
2012-01-25,4.8565,4.9022,4.8502,4.9022
2012-01-26,4.9282,4.9868,4.9022,4.961
2012-01-27,4.9671,5.0065,4.9344,4.9937
2012-01-30,4.961,4.9998,4.888999999999999,4.8958
2012-01-31,4.9248,4.9643,4.9184,4.9248
2012-02-01,4.9477,4.9868,4.9477,4.9671
2012-02-02,4.9868,4.9998,4.9413,4.9739
2012-02-03,4.9772,5.0036,4.9247,4.9638
2012-02-06,4.9541,4.9805,4.9344,4.9805
2012-02-07,4.9772,4.9772,4.9447,4.9575
2012-02-08,4.9575,4.9706,4.9118,4.9184
2012-02-09,4.9377,4.9638,4.9052,4.9575
2012-02-10,4.9447,4.9638,4.9118,4.9118
2012-02-13,4.9216,4.9344,4.8958,4.8958
2012-02-14,4.9022,4.9477,4.888999999999999,4.9216
2012-02-15,4.9247,4.9377,4.8988,4.9313
2012-02-16,4.9216,4.9541,4.8502,4.9022
2012-02-17,4.9313,4.9377,4.8789,4.9377
2012-02-21,4.9638,4.9836,4.9052,4.9052
2012-02-22,4.9184,4.9247,4.8857,4.9184
2012-02-23,4.9247,4.9247,4.8857,4.9184
2012-02-24,4.9313,4.9706,4.9118,4.9638
2012-02-27,4.9313,5.0095,4.9313,4.9966
2012-02-28,4.9903,5.0229,4.9706,5.0036
2012-02-29,4.9973,5.0244,4.9577,4.9641
2012-03-01,4.9772,5.0229,4.9706,5.0095
2012-03-02,5.0009,5.0338,4.9747,5.0271
2012-03-05,5.0229,5.0229,4.9706,5.0095
2012-03-06,4.9747,4.9946,4.8825,4.8825
2012-03-07,4.9156,4.9615,4.9156,4.9615
2012-03-08,4.9747,5.0209,4.9348,5.0077
2012-03-09,5.0009,5.0077,4.9615,4.9747
2012-03-12,4.9836,4.9903,4.9447,4.9447
2012-03-13,4.9575,4.9903,4.9447,4.9772
2012-03-14,4.9638,4.9772,4.9118,4.9247
2012-03-15,4.9247,4.9638,4.9118,4.9638
2012-03-16,4.955,4.9946,4.955,4.9946
2012-03-19,5.0036,5.1082,4.9772,5.0095
2012-03-20,4.9946,4.9946,4.9419,4.9484
2012-03-21,4.9484,4.9747,4.9286,4.9419
2012-03-22,4.9219,4.9219,4.8497,4.8561
2012-03-23,4.8427,4.8694,4.6918,4.7576
2012-03-26,4.777,4.8104,4.7509,4.7901
2012-03-27,4.8033,4.8237,4.7576,4.8237
2012-03-28,4.8237,4.8295,4.7839,4.8104
2012-03-29,4.7839,4.8295,4.7445,4.8164
2012-03-30,4.8418,4.8551,4.7959,4.7959
2012-04-02,4.7901,4.8694,4.7901,4.8694
2012-04-03,4.8584,4.8584,4.7991,4.7991
2012-04-04,4.7729,4.8059,4.7595,4.7729
2012-04-05,4.7926,4.8059,4.7462,4.7462
2012-04-09,4.7376,4.7968,4.7376,4.7901
2012-04-10,4.7839,4.8033,4.7641,4.7641
2012-04-11,4.7641,4.8033,4.7641,4.777
2012-04-12,4.777,4.8368,4.7707,4.8033
2012-04-13,4.8188,4.8391,4.8123,4.8188
2012-04-16,4.8497,4.8561,4.8104,4.8368
2012-04-17,4.8418,4.8751,4.8224,4.8618
2012-04-18,4.8653,4.9314,4.8653,4.9248
2012-04-19,4.9184,4.938,4.8784,4.9314
2012-04-20,4.958,4.9643,4.9248,4.9509
2012-04-23,4.9118,4.9509,4.9118,4.9509
2012-04-24,4.9643,4.9841,4.9509,4.9712
2012-04-25,4.9777,5.0373,4.9712,5.0307
2012-04-26,5.024,5.0505,4.958,4.958
2012-04-27,4.9777,5.0373,4.958,5.0373
2012-04-30,5.0212,5.0346,4.9881,4.9947
2012-05-01,5.0082,5.0278,4.9748,5.0014
2012-05-02,4.9971,5.0373,4.9841,5.0373
2012-05-03,5.0346,5.0548,4.9881,4.9881
2012-05-04,4.9841,5.0104,4.8653,4.8986
2012-05-07,4.8986,4.9643,4.8916,4.9449
2012-05-08,4.9449,4.958,4.9049,4.9509
2012-05-09,4.9284,4.9483,4.9018,4.9284
2012-05-10,4.9417,4.9748,4.9417,4.9615
2012-05-11,4.9615,5.0014,4.9417,4.9681
2012-05-14,4.9643,4.9643,4.9049,4.9049
2012-05-15,4.9049,4.9248,4.8916,4.8916
2012-05-16,4.9118,4.958,4.8916,4.8916
2012-05-17,4.8986,4.9184,4.8853,4.8916
2012-05-18,4.9018,4.9084,4.8684,4.8951
2012-05-21,4.9084,4.9215,4.8751,4.8886
2012-05-22,4.9018,4.9151,4.8951,4.9018
2012-05-23,4.8886,4.9215,4.8817,4.9215
2012-05-24,4.9417,4.9417,4.8886,4.9018
2012-05-25,4.9018,4.9215,4.8951,4.8951
2012-05-29,4.9084,4.9084,4.8886,4.9018
2012-05-30,4.8951,4.9018,4.8817,4.8817
2012-05-31,4.8817,4.8951,4.8751,4.8751
2012-06-01,4.8418,4.8886,4.8418,4.8817
2012-06-04,4.8951,4.8951,4.7557,4.809
2012-06-05,4.8112,4.843999999999999,4.8112,4.843999999999999
2012-06-06,4.871,4.9312,4.871,4.9041
2012-06-07,4.9312,4.9508,4.9178,4.9312
2012-06-08,4.9445,4.9577,4.9178,4.9577
2012-06-11,4.9681,4.9814,4.9284,4.9284
2012-06-12,4.9483,4.9814,4.9417,4.9814
2012-06-13,5.0278,5.0278,4.9417,4.9814
2012-06-14,4.9814,5.0212,4.9417,4.9681
2012-06-15,4.9973,5.0511,4.9911,4.9973
2012-06-18,5.0683,5.074,5.0014,5.0478
2012-06-19,5.071000000000001,5.078,5.0311,5.0577
2012-06-20,5.0644,5.078,5.0378,5.0644
2012-06-21,5.071000000000001,5.078,4.9911,5.0048
