Date,Open,High,Low,Close
2012-01-03,8.5081,8.6611,8.4318,8.4996
2012-01-04,8.44,8.5504,8.3208,8.5081
2012-01-05,8.4572,8.8061,8.3038,8.7385
2012-01-06,8.7212,8.7475,8.4741,8.6365
2012-01-09,8.6783,8.7544,8.525,8.713
2012-01-10,8.7967,8.9849,8.7302,8.9161
2012-01-11,8.9077,8.9596,8.7885,8.9596
2012-01-12,8.9849,9.0541,8.8235,9.0541
2012-01-13,8.9161,9.0372,8.7967,9.02
2012-01-17,9.0541,9.1563,8.8992,8.9765
2012-01-18,8.5168,8.7385,8.2696,8.3208
2012-01-19,8.2356,8.2614,8.014,8.0737
2012-01-20,8.0653,8.0992,8.014,8.0824
2012-01-23,8.0397,8.1847,8.0315,8.0824
2012-01-24,8.0058,8.0315,7.9458,7.9803
2012-01-25,7.9885,8.1847,7.9206,8.158999999999999
2012-01-26,8.2186,8.277999999999999,7.895,7.9885
2012-01-27,7.9288,8.1164,7.9035,8.0653
2012-01-30,7.9632,8.0653,7.9035,7.9632
2012-01-31,7.9644,8.0586,7.8786,7.912999999999999
2012-02-01,7.9632,8.014,7.8182,7.9458
2012-02-02,7.9545,8.1334,7.8693,8.0737
2012-02-03,8.158999999999999,8.3464,8.1334,8.3208
2012-02-06,8.2951,8.4741,8.1164,8.1675
2012-02-07,8.142000000000001,8.2016,8.0737,8.176
2012-02-08,8.176,8.3464,8.1334,8.3125
2012-02-09,8.3208,8.3294,8.1675,8.2442
2012-02-10,8.1504,8.158999999999999,8.0737,8.0992
2012-02-13,8.0568,8.2868,7.997000000000001,8.2356
2012-02-14,8.1675,8.1932,8.0483,8.142000000000001
2012-02-15,8.1675,8.2099,8.0653,8.142000000000001
2012-02-16,8.1247,8.3804,8.0824,8.3125
2012-02-17,8.2696,8.4146,8.2016,8.3974
2012-02-21,8.3974,8.4146,8.2016,8.2696
2012-02-22,8.2186,8.2951,8.0824,8.1081
2012-02-23,8.1334,8.3038,8.0653,8.2525
2012-02-24,8.2696,8.277999999999999,8.1334,8.1675
2012-02-27,8.2696,8.4654,8.1504,8.4146
2012-02-28,8.3804,8.4741,8.3208,8.389
2012-02-29,8.3321,8.5135,8.246,8.3495
2012-03-01,8.3464,8.5168,8.3038,8.3974
2012-03-02,8.3845,8.4358,8.2301,8.2475
