Date,Open,High,Low,Close
2012-01-03,3.45,3.45,3.19,3.2
2012-01-04,3.2,3.24,3.06,3.08
2012-01-05,3.1,3.22,3.08,3.11
2012-01-06,3.13,3.35,3.13,3.19
2012-01-09,3.19,3.19,3.03,3.03
2012-01-10,3.11,3.24,3.07,3.1
2012-01-11,3.1,3.4,3.06,3.22
2012-01-12,3.3,3.62,3.25,3.57
2012-01-13,3.56,3.57,3.25,3.27
2012-01-17,3.34,3.45,3.18,3.25
2012-01-18,3.27,3.27,3.16,3.23
2012-01-19,3.22,3.71,3.22,3.59
2012-01-20,3.49,3.86,3.49,3.75
2012-01-23,3.68,3.72,3.57,3.6
2012-01-24,3.58,3.62,3.54,3.6
2012-01-25,3.63,3.63,3.52,3.6
2012-01-26,3.59,3.59,3.45,3.45
2012-01-27,3.51,3.54,3.47,3.53
2012-01-30,3.41,3.65,3.32,3.55
2012-01-31,3.48,3.6,3.48,3.58
2012-02-01,3.38,3.58,3.38,3.5
2012-02-02,3.5,3.52,3.37,3.5
2012-02-03,3.55,3.66,3.5,3.64
2012-02-06,3.59,3.64,3.57,3.6
2012-02-07,3.5,3.5,3.4,3.43
2012-02-08,3.45,3.56,3.37,3.5
2012-02-09,3.52,3.59,3.39,3.49
2012-02-10,3.46,3.64,3.37,3.64
2012-02-13,3.59,3.85,3.42,3.7
2012-02-14,3.69,3.92,3.54,3.76
2012-02-15,3.65,3.74,3.4,3.64
2012-02-16,3.41,3.69,3.39,3.49
2012-02-17,3.5,3.69,3.25,3.31
2012-02-21,3.36,3.47,3.31,3.46
2012-02-22,3.39,3.63,3.37,3.44
2012-02-23,3.44,3.63,3.44,3.51
2012-02-24,3.65,3.65,3.41,3.46
2012-02-27,3.49,3.6,3.4,3.47
2012-02-28,3.51,3.6,3.36,3.53
2012-02-29,3.45,3.62,3.4,3.62
2012-03-01,3.61,3.61,3.38,3.55
2012-03-02,3.58,3.6,3.27,3.38
2012-03-05,3.31,3.61,3.3,3.45
2012-03-06,3.47,3.62,3.31,3.62
2012-03-07,3.49,3.67,3.35,3.56
2012-03-08,3.57,3.71,3.45,3.7
2012-03-09,3.68,3.68,3.5,3.56
2012-03-12,3.63,3.67,3.5,3.63
2012-03-13,3.63,3.7,3.57,3.6
2012-03-14,3.64,3.7,3.55,3.59
2012-03-15,3.64,3.7,3.55,3.59
2012-03-16,3.53,3.7,3.5,3.59
2012-03-19,3.59,3.68,3.49,3.61
2012-03-20,3.63,3.8,3.5,3.74
2012-03-21,3.7,3.95,3.66,3.9
2012-03-22,3.97,4.17,3.91,4.13
2012-03-23,4.13,4.19,4.0,4.14
2012-03-26,4.18,4.2,4.01,4.1
2012-03-27,4.03,4.19,3.98,4.11
2012-03-28,4.1,4.28,4.1,4.28
2012-03-29,4.16,4.22,4.1,4.19
2012-03-30,4.1,4.2589999999999995,3.98,3.98
2012-04-02,4.0,4.14,4.0,4.1
2012-04-03,4.11,4.14,4.1,4.1
2012-04-04,4.11,4.11,3.9,4.05
2012-04-05,4.0,4.06,3.95,3.95
2012-04-09,3.9,4.12,3.81,4.01
2012-04-10,3.95,4.07,3.95,4.07
2012-04-11,4.08,4.14,4.04,4.09
2012-04-12,4.04,4.12,3.99,4.09
2012-04-13,4.03,4.04,3.99,3.99
2012-04-16,4.0,4.15,4.0,4.1
2012-04-17,4.1,4.16,4.09,4.09
2012-04-18,4.09,4.2,4.07,4.18
2012-04-19,4.19,4.23,4.06,4.06
2012-04-20,4.04,4.14,4.04,4.1
2012-04-23,4.1,4.22,3.95,4.03
2012-04-24,4.0,4.15,3.95,4.1
2012-04-25,4.07,4.11,3.93,3.98
2012-04-26,3.97,4.0,3.97,3.99
2012-04-27,4.02,4.02,3.88,3.88
2012-04-30,3.92,4.04,3.9,3.95
2012-05-01,3.97,4.0,3.95,3.99
2012-05-02,3.93,4.0,3.89,3.94
2012-05-03,3.93,3.93,3.82,3.82
2012-05-04,3.81,3.84,3.65,3.68
2012-05-07,3.71,3.87,3.71,3.84
2012-05-08,3.84,3.88,3.74,3.86
2012-05-09,3.87,3.98,3.87,3.89
2012-05-10,3.75,4.24,3.75,3.98
2012-05-11,3.98,4.19,3.87,4.01
2012-05-14,4.04,4.21,3.86,4.09
2012-05-15,4.05,4.06,3.92,3.94
2012-05-16,4.0,4.11,3.92,4.05
2012-05-17,4.04,4.05,3.95,3.96
2012-05-18,4.0,4.18,3.99,4.06
2012-05-21,4.09,4.2,4.09,4.14
2012-05-22,4.18,4.18,4.0,4.09
2012-05-23,4.06,4.16,3.94,4.02
2012-05-24,4.15,4.17,4.0,4.11
2012-05-25,4.11,4.11,3.82,3.93
2012-05-29,3.92,4.07,3.85,3.96
2012-05-30,3.91,3.96,3.82,3.87
2012-05-31,3.84,3.99,3.81,3.99
2012-06-01,3.92,4.0,3.78,3.97
2012-06-04,3.96,3.96,3.71,3.92
2012-06-05,3.89,3.95,3.81,3.95
2012-06-06,3.9,4.09,3.76,4.0
2012-06-07,3.97,3.97,3.83,3.88
2012-06-08,3.87,4.02,3.86,3.99
2012-06-11,4.0,4.06,3.99,4.06
2012-06-12,4.01,4.11,3.98,4.0
2012-06-13,4.01,4.13,3.99,3.99
2012-06-14,4.02,4.02,3.99,3.99
2012-06-15,4.0,4.12,4.0,4.07
2012-06-18,4.05,4.28,4.05,4.19
2012-06-19,4.03,4.2,3.9,4.1
2012-06-20,4.1,4.15,3.89,4.0
2012-06-21,4.2,4.24,3.92,3.94
2012-06-22,3.92,3.99,3.87,3.95
2012-06-25,3.86,3.96,3.82,3.85
2012-06-26,3.87,4.0,3.81,3.86
2012-06-27,4.0,4.0,3.82,3.82
2012-06-28,3.95,3.99,3.83,3.84
2012-06-29,3.89,3.99,3.82,3.9
2012-07-02,3.88,3.96,3.83,3.87
2012-07-03,3.87,3.9,3.82,3.87
2012-07-05,3.87,3.9,3.76,3.81
2012-07-06,3.82,3.85,3.77,3.8
2012-07-09,3.78,3.89,3.76,3.77
2012-07-10,3.82,3.85,3.72,3.72
2012-07-11,3.83,3.83,3.7,3.73
2012-07-12,3.7,3.74,3.7,3.71
2012-07-13,3.75,3.79,3.72,3.76
2012-07-16,3.92,3.99,3.76,3.78
2012-07-17,3.78,3.85,3.76,3.79
2012-07-18,3.79,3.87,3.73,3.73
2012-07-19,3.76,3.85,3.66,3.79
2012-07-20,3.84,3.84,3.64,3.7
2012-07-23,3.51,3.81,3.5,3.58
2012-07-24,3.59,3.78,3.41,3.55
2012-07-25,3.52,3.64,3.42,3.51
2012-07-26,3.46,3.69,3.44,3.51
2012-07-27,3.49,3.74,3.42,3.67
2012-07-30,3.69,3.72,3.41,3.43
2012-07-31,3.54,3.5501,3.43,3.43
2012-08-01,3.47,3.64,3.41,3.59
2012-08-02,3.6,3.65,3.42,3.56
2012-08-03,3.56,3.56,3.42,3.47
2012-08-06,3.38,3.46,3.33,3.44
2012-08-07,3.42,3.56,3.37,3.46
2012-08-08,3.45,3.65,3.45,3.51
2012-08-09,3.55,3.55,3.45,3.46
2012-08-10,3.52,4.02,3.48,3.65
2012-08-13,3.7,3.97,3.63,3.72
2012-08-14,3.67,3.85,3.52,3.56
2012-08-15,3.61,3.74,3.51,3.65
2012-08-16,3.59,3.74,3.48,3.64
2012-08-17,3.77,3.77,3.54,3.7
2012-08-20,3.64,3.94,3.63,3.75
2012-08-21,3.81,3.9499,3.6601,3.75
2012-08-22,3.88,3.88,3.62,3.63
2012-08-23,3.66,3.71,3.55,3.65
2012-08-24,3.62,3.72,3.5,3.59
2012-08-27,3.55,3.72,3.4501,3.64
2012-08-28,3.53,3.68,3.53,3.68
2012-08-29,3.56,3.68,3.56,3.58
2012-08-30,3.5,3.63,3.48,3.53
2012-08-31,3.48,3.65,3.45,3.47
2012-09-04,3.48,3.6,3.3328,3.4
2012-09-05,3.48,3.48,3.36,3.36
2012-09-06,3.32,3.4235,3.26,3.3
2012-09-07,3.28,3.44,3.2701,3.33
2012-09-10,3.29,3.39,3.29,3.35
2012-09-11,3.31,3.5536,3.31,3.46
2012-09-12,3.5,3.5708,3.4,3.57
2012-09-13,3.55,3.69,3.46,3.53
2012-09-14,3.52,3.66,3.52,3.64
2012-09-17,3.65,3.65,3.57,3.61
2012-09-18,3.64,3.69,3.5,3.54
2012-09-19,3.5,3.6,3.45,3.6
2012-09-20,3.51,3.67,3.45,3.47
2012-09-21,3.49,3.55,3.39,3.45
2012-09-24,3.44,3.55,3.4,3.46
2012-09-25,3.46,3.46,3.301,3.33
2012-09-26,3.33,3.55,3.28,3.45
2012-09-27,3.45,3.5,3.4,3.42
2012-09-28,3.45,3.5,3.365,3.49
2012-10-01,3.34,3.5,3.32,3.36
2012-10-02,3.4,3.49,3.4,3.45
2012-10-03,3.5,3.5,3.4,3.4
2012-10-04,3.4,3.5,3.4,3.4244
2012-10-05,3.43,3.49,3.4,3.4
2012-10-08,3.43,3.49,3.38,3.38
2012-10-09,3.35,3.4,3.35,3.4
2012-10-10,3.35,3.47,3.35,3.45
2012-10-11,3.47,3.48,3.36,3.41
2012-10-12,3.44,3.44,3.35,3.36
2012-10-15,3.39,3.4,3.35,3.37
2012-10-16,3.39,3.4,3.3,3.4
2012-10-17,3.43,3.44,3.35,3.4
2012-10-18,3.45,3.45,3.35,3.4
2012-10-19,3.35,3.4,3.34,3.38
2012-10-22,3.28,3.39,3.28,3.3
2012-10-23,3.29,3.3989,3.28,3.33
2012-10-24,3.27,3.39,3.27,3.35
2012-10-25,3.28,3.38,3.27,3.29
2012-10-26,3.27,3.39,3.2,3.37
2012-10-31,3.34,3.35,3.12,3.29
2012-11-01,3.22,3.27,3.16,3.21
2012-11-02,3.18,3.22,3.1,3.16
2012-11-05,3.22,3.22,3.11,3.1999
2012-11-06,3.15,3.15,3.0,3.03
2012-11-07,3.05,3.2,2.83,2.94
2012-11-08,2.97,3.0,2.7868,2.9
2012-11-09,2.9,3.2,2.79,3.04
2012-11-12,3.0,3.2089999999999996,3.0,3.03
2012-11-13,3.04,3.13,2.86,3.06
2012-11-14,3.03,3.11,2.89,2.99
2012-11-15,2.84,3.0,2.82,2.91
2012-11-16,2.85,2.87,2.23,2.7
2012-11-19,2.87,2.89,2.736,2.79
2012-11-20,2.82,2.85,2.338,2.81
2012-11-21,2.81,2.82,2.6,2.64
2012-11-23,2.61,2.75,2.6,2.61
2012-11-26,2.6,2.8,2.6,2.68
2012-11-27,2.74,2.74,2.63,2.63
2012-11-28,2.63,2.73,2.61,2.65
2012-11-29,2.7,2.7,2.45,2.68
2012-11-30,2.66,2.85,2.66,2.78
2012-12-03,2.75,2.8,2.7001,2.76
2012-12-04,2.79,2.8,2.58,2.74
2012-12-05,2.73,2.73,2.57,2.73
2012-12-06,2.76,2.78,2.55,2.6
2012-12-07,2.59,2.69,2.5,2.59
2012-12-10,2.59,2.61,2.48,2.48
2012-12-11,2.53,2.69,2.47,2.6
2012-12-12,2.59,2.67,2.41,2.56
2012-12-13,2.55,2.67,2.55,2.58
2012-12-14,2.55,2.575,2.54,2.56
2012-12-17,2.55,2.75,2.55,2.69
2012-12-18,2.73,2.8901,2.61,2.78
2012-12-19,2.75,2.85,2.56,2.73
2012-12-20,2.8,3.07,2.7734,3.03
2012-12-21,3.03,3.12,3.0,3.11
2012-12-24,2.99,3.11,2.9,3.08
2012-12-26,3.08,3.18,3.08,3.14
2012-12-27,3.19,3.24,2.8710000000000004,3.18
2012-12-28,3.12,3.16,3.0,3.13
2012-12-31,3.07,3.19,3.0,3.16
