Date,Open,High,Low,Close
2012-01-03,4.1911,4.2866,4.1724,4.2769
2012-01-04,4.2389,4.3438,4.2009,4.3246
2012-01-05,4.3056,4.4102,4.2293,4.3914
2012-01-06,4.3816,4.4771,4.3056,4.4006
2012-01-09,4.4102,4.5247,4.2484,4.458
2012-01-10,4.5722,4.5818,4.5055,4.5437
2012-01-11,4.5247,4.5437,4.4006,4.4006
2012-01-12,4.658,4.6675,4.5532,4.6484
2012-01-13,4.5437,4.5818,4.4484,4.4484
2012-01-17,4.5341,4.6484,4.4674,4.5055
2012-01-18,4.5055,4.6484,4.4771,4.6198
2012-01-19,4.6675,4.6675,4.5914,4.6105
2012-01-20,4.5818,4.6675,4.5818,4.6105
2012-01-23,4.6105,4.6484,4.5722,4.6105
2012-01-24,4.5818,4.7818,4.5532,4.7723
2012-01-25,4.7532,4.7818,4.6105,4.7627
2012-01-26,4.7627,4.9342,4.7342,4.8007
2012-01-27,4.7723,4.8580000000000005,4.7246,4.8580000000000005
2012-01-30,4.7627,4.8866,4.7438,4.7532
2012-01-31,4.7723,4.8199,4.6484,4.7723
2012-02-01,4.8389,4.9248,4.7723,4.8105
2012-02-02,4.8485,4.9342,4.8105,4.8485
2012-02-03,4.9818,4.9913,4.8580000000000005,4.8771
2012-02-06,4.8675,4.9532,4.8199,4.8580000000000005
2012-02-07,4.8580000000000005,4.9248,4.8007,4.8105
2012-02-08,4.8485,4.8961,4.8105,4.8389
2012-02-09,4.8580000000000005,4.9151,4.7914,4.9056
2012-02-10,4.8485,4.9056,4.8293,4.8485
2012-02-13,4.9248,4.9913,4.8580000000000005,4.8580000000000005
2012-02-14,4.8199,4.9342,4.8105,4.9248
2012-02-15,4.9532,5.001,4.9056,5.001
2012-02-16,5.001,5.2011,4.9818,5.1724
2012-02-17,5.2103,5.2103,5.0962,5.1342
2012-02-21,5.1629,5.1817,5.0198,5.0296
2012-02-22,5.1247,5.1342,4.9818,4.9913
2012-02-23,5.1914,5.2391,4.9056,5.2391
2012-02-24,5.2391,5.2487,5.1342,5.1342
2012-02-27,5.0579,5.2103,4.9532,5.1817
2012-02-28,5.1817,5.2487,5.0771,5.1247
2012-02-29,5.1724,5.2391,4.9913,5.0296
2012-03-01,5.0675,5.2103,5.0389,5.1533
2012-03-02,5.1533,5.1724,5.0389,5.0962
2012-03-05,5.0579,5.1629,5.0486,5.0579
2012-03-06,4.9724,5.0675,4.8771,5.001
