Date,Open,High,Low,Close
2012-01-03,16.9,16.9,16.24,16.48
2012-01-04,17.11,18.38,16.45,17.19
2012-01-05,17.05,18.22,17.05,17.83
2012-01-06,17.82,17.82,17.22,17.7
2012-01-09,17.61,17.63,17.44,17.6
2012-01-10,17.8,19.31,17.74,18.77
2012-01-11,18.54,19.81,18.45,19.3
2012-01-12,19.0,20.43,19.0,20.13
2012-01-13,19.61,20.0,19.53,19.95
2012-01-17,19.89,20.97,19.89,20.55
2012-01-18,20.45,20.9,20.2,20.86
2012-01-19,20.49,21.19,19.94,20.12
2012-01-20,20.08,20.58,19.44,20.17
2012-01-23,20.62,20.88,19.85,20.21
2012-01-24,19.76,20.63,19.76,20.58
2012-01-25,20.75,21.16,20.21,21.12
2012-01-26,20.58,21.31,20.58,21.29
2012-01-27,21.26,21.46,20.94,21.45
2012-01-30,21.6,21.9,20.57,21.47
2012-01-31,20.5,21.11,20.5,20.93
2012-02-01,20.95,21.15,20.5,20.5
2012-02-02,20.55,21.01,20.51,20.82
2012-02-03,20.95,21.19,20.73,21.04
2012-02-06,21.23,21.24,21.0,21.09
2012-02-07,21.08,21.3,20.75,20.75
2012-02-08,20.75,20.98,20.53,20.63
2012-02-09,20.9,21.19,20.5,20.74
2012-02-10,20.5,20.96,20.5,20.5
2012-02-13,20.73,20.9,20.46,20.9
2012-02-14,20.6,20.83,20.52,20.52
2012-02-15,20.82,20.82,20.0,20.0
2012-02-16,20.2,20.54,20.2,20.3
2012-02-17,20.28,20.44,20.0,20.22
2012-02-21,20.1,20.38,19.83,20.25
2012-02-22,20.49,20.49,20.03,20.06
2012-02-23,19.44,20.24,19.44,19.99
2012-02-24,21.36,22.01,20.78,20.89
2012-02-27,20.68,22.25,20.32,21.78
2012-02-28,21.81,22.49,21.49,22.45
2012-02-29,22.4,22.64,22.11,22.11
2012-03-01,22.3,22.3,20.73,20.88
2012-03-02,20.41,21.08,18.26,18.47
2012-03-05,18.88,20.02,18.7,20.02
2012-03-06,19.87,20.04,19.11,19.45
2012-03-07,19.51,19.51,19.22,19.49
2012-03-08,19.52,19.52,18.8,18.97
2012-03-09,19.28,21.74,18.97,20.96
2012-03-12,21.01,21.52,21.01,21.34
2012-03-13,21.48,21.5,20.97,21.38
2012-03-14,21.35,21.35,20.68,20.79
2012-03-15,20.91,21.28,20.88,21.06
2012-03-16,20.55,21.04,20.39,20.57
2012-03-19,20.02,20.9,20.0,20.37
2012-03-20,20.01,21.63,19.7,20.78
2012-03-21,20.96,20.97,20.1,20.72
2012-03-22,20.5,20.5,19.6,20.12
2012-03-23,20.15,20.8,19.63,20.8
2012-03-26,20.95,21.0,20.72,20.93
2012-03-27,20.66,20.87,19.57,20.23
2012-03-28,20.2,20.47,20.0,20.23
2012-03-29,20.09,20.23,19.98,20.05
2012-03-30,20.16,20.32,19.56,19.95
2012-04-02,19.99,20.4,19.93,20.4
2012-04-03,20.47,21.99,20.23,21.54
2012-04-04,21.25,21.25,20.67,21.02
2012-04-05,20.91,21.5,20.25,21.05
2012-04-09,20.57,21.49,20.57,21.3
2012-04-10,21.36,21.66,20.91,21.17
2012-04-11,20.96,22.0,20.96,21.92
2012-04-12,22.0,22.25,21.56,22.17
2012-04-13,21.96,22.13,21.48,21.72
2012-04-16,21.3,21.4,20.47,20.74
2012-04-17,20.15,20.28,18.9,19.2
2012-04-18,19.14,19.14,18.45,19.02
2012-04-19,18.95,21.48,18.95,21.34
2012-04-20,21.9,21.9,19.92,20.25
2012-04-23,20.01,20.73,19.32,19.9
2012-04-24,19.97,20.5,19.39,20.4
2012-04-25,20.88,20.88,20.39,20.59
2012-04-26,20.49,21.37,20.44,21.17
2012-04-27,20.94,21.33,20.62,21.28
2012-04-30,21.49,21.5,20.8,21.15
2012-05-01,21.14,21.36,20.17,20.27
2012-05-02,20.75,20.75,19.85,20.55
2012-05-03,20.5,20.5,20.25,20.31
2012-05-04,20.5,20.92,20.14,20.56
2012-05-07,20.42,21.15,20.02,20.85
2012-05-08,20.79,21.11,20.51,21.01
2012-05-09,20.73,20.97,20.26,20.43
2012-05-10,20.28,20.33,18.85,19.23
2012-05-11,19.12,19.63,19.08,19.33
2012-05-14,19.15,19.36,18.27,18.35
2012-05-15,18.07,18.83,17.71,18.76
2012-05-16,18.77,19.12,18.53,18.76
2012-05-17,18.76,18.76,17.67,17.87
2012-05-18,17.7,18.32,17.7,17.99
2012-05-21,18.08,18.95,17.99,18.84
2012-05-22,18.84,19.49,18.52,19.26
2012-05-23,19.11,19.11,18.18,18.89
2012-05-24,18.82,18.82,17.85,18.25
2012-05-25,18.28,18.48,18.01,18.36
2012-05-29,18.33,18.92,18.33,18.8
2012-05-30,18.67,19.19,18.59,19.07
2012-05-31,19.07,19.58,19.045,19.56
2012-06-01,19.19,19.35,18.55,18.8
2012-06-04,18.8,18.86,17.43,17.61
2012-06-05,17.56,17.91,17.2,17.91
2012-06-06,17.84,18.18,17.04,17.09
2012-06-07,17.2,17.2,16.14,16.17
2012-06-08,16.27,17.47,16.15,17.12
2012-06-11,17.23,17.74,16.89,17.41
2012-06-12,17.55,17.56,17.33,17.5
2012-06-13,17.54,17.57,17.41,17.53
2012-06-14,17.57,17.8,17.51,17.76
2012-06-15,17.75,18.86,17.75,18.49
2012-06-18,18.3,18.54,18.04,18.27
2012-06-19,18.26,18.53,18.13,18.35
2012-06-20,18.25,18.38,17.64,18.04
2012-06-21,17.97,18.14,17.72,17.83
2012-06-22,18.01,18.02,17.22,17.49
2012-06-25,17.49,17.59,17.0,17.32
2012-06-26,17.4,17.54,17.06,17.19
2012-06-27,17.29,17.62,17.1,17.3
2012-06-28,17.11,17.27,16.51,16.6
2012-06-29,16.86,16.86,16.13,16.35
2012-07-02,16.4,17.59,16.26,17.57
2012-07-03,17.5,18.03,17.49,17.98
2012-07-05,18.01,18.23,17.44,17.49
2012-07-06,17.28,17.79,16.91,17.57
2012-07-09,17.5,17.79,17.33,17.6
2012-07-10,17.67,18.07,17.67,17.76
2012-07-11,17.71,18.05,17.5,17.78
2012-07-12,17.71,18.07,17.58,18.01
2012-07-13,18.0,18.38,17.93,18.35
2012-07-16,18.37,18.37,18.07,18.11
2012-07-17,18.22,18.85,18.01,18.79
2012-07-18,18.75,18.76,17.91,18.39
2012-07-19,18.52,18.73,17.82,17.82
2012-07-20,17.71,17.86,16.5,16.6
2012-07-23,16.43,16.43,16.2,16.23
2012-07-24,16.34,16.37,15.84,15.97
2012-07-25,16.1,16.23,15.87,15.99
2012-07-26,16.05,16.28,15.08,15.81
2012-07-27,15.91,16.81,15.595,16.66
2012-07-30,16.63,17.06,16.46,17.0
2012-07-31,16.81,17.65,16.81,17.48
2012-08-01,17.47,17.54,16.94,17.13
2012-08-02,17.04,17.435,16.98,17.24
2012-08-03,17.41,17.69,16.87,17.02
2012-08-06,17.0,17.6,17.0,17.33
2012-08-07,17.44,18.34,17.24,18.07
2012-08-08,17.77,18.36,17.77,18.13
2012-08-09,18.07,18.38,18.07,18.28
2012-08-10,18.32,18.42,18.06,18.31
2012-08-13,18.22,18.47,18.07,18.28
2012-08-14,18.42,18.42,17.88,17.93
2012-08-15,18.01,18.4,17.88,18.39
2012-08-16,18.43,19.09,18.328,19.09
2012-08-17,19.12,19.4,19.12,19.36
2012-08-20,19.24,19.707,19.03,19.63
2012-08-21,19.71,19.77,19.03,19.285
2012-08-22,19.34,19.51,19.05,19.23
2012-08-23,19.24,19.45,19.12,19.3
2012-08-24,19.35,19.595,19.18,19.46
2012-08-27,19.555,19.66,19.04,19.38
2012-08-28,19.45,19.85,19.19,19.4
2012-08-29,19.46,19.49,18.93,19.0
2012-08-30,18.85,18.85,17.9,18.1
2012-08-31,18.32,18.33,17.9,17.99
2012-09-04,18.05,18.37,17.16,18.32
2012-09-05,18.25,19.007,18.02,18.63
2012-09-06,18.67,18.98,18.62,18.72
2012-09-07,18.77,19.36,18.602,19.26
2012-09-10,19.36,19.7,19.21,19.5
2012-09-11,19.59,19.95,19.1,19.81
2012-09-12,20.0,20.3,19.63,19.89
2012-09-13,20.0,20.67,19.838,20.06
2012-09-14,20.21,20.87,20.0,20.3
2012-09-17,20.34,20.34,19.33,19.55
2012-09-18,19.61,20.02,19.4,19.5
2012-09-19,19.47,19.47,19.03,19.27
2012-09-20,19.26,19.38,18.94,19.19
2012-09-21,19.55,20.5,19.28,20.29
2012-09-24,20.31,20.89,17.5,20.29
2012-09-25,20.43,20.43,20.09,20.11
2012-09-26,20.26,20.44,19.54,20.09
2012-09-27,20.28,20.28,19.48,20.07
2012-09-28,19.9,20.03,19.5,19.85
2012-10-01,19.98,20.01,19.66,19.94
2012-10-02,19.95,20.06,19.39,19.79
2012-10-03,19.81,20.15,19.65,19.88
2012-10-04,19.99,20.0,19.52,19.98
2012-10-05,20.09,20.09,19.67,19.75
2012-10-08,19.67,19.77,19.0,19.15
2012-10-09,19.2,19.23,18.43,18.48
2012-10-10,18.6,18.854,18.13,18.18
2012-10-11,18.32,18.38,18.05,18.29
2012-10-12,18.35,18.48,17.76,17.78
2012-10-15,17.93,18.215,17.57,18.06
2012-10-16,18.35,18.417,17.74,18.2
2012-10-17,18.3,18.3,17.15,17.27
2012-10-18,17.05,17.668,16.955,17.48
2012-10-19,17.34,17.42,17.1,17.11
2012-10-22,17.16,17.308,17.08,17.1
2012-10-23,17.01,17.48,16.44,17.23
2012-10-24,17.38,17.42,17.14,17.22
2012-10-25,17.36,17.36,17.14,17.22
2012-10-26,17.29,17.66,17.12,17.56
2012-10-31,17.73,17.89,17.62,17.7
2012-11-01,17.85,17.85,17.25,17.42
2012-11-02,17.53,17.63,16.5,16.5
2012-11-05,16.58,16.69,16.5,16.63
2012-11-06,16.73,16.94,16.73,16.89
2012-11-07,16.84,17.0,16.15,16.2
2012-11-08,16.17,16.59,15.75,15.76
2012-11-09,15.82,16.14,15.75,15.79
2012-11-12,15.91,15.91,15.75,15.76
2012-11-13,16.048,16.048,15.520999999999999,15.64
2012-11-14,15.72,15.72,14.67,14.97
2012-11-15,15.05,15.05,14.5,14.55
2012-11-16,14.81,14.82,14.6,14.64
2012-11-19,14.79,15.49,14.79,15.06
2012-11-20,14.97,15.19,14.84,14.96
2012-11-21,15.0,15.18,14.8,14.96
2012-11-23,14.98,15.32,14.8,15.29
2012-11-26,14.98,15.14,14.91,14.97
2012-11-27,14.96,14.97,14.74,14.91
2012-11-28,14.89,14.98,14.85,14.9
2012-11-29,15.0,15.0,14.86,14.95
2012-11-30,15.45,15.45,14.720999999999998,14.98
2012-12-03,15.02,15.17,14.73,14.97
2012-12-04,15.23,15.23,14.6,14.97
2012-12-05,15.11,15.5,14.89,15.07
2012-12-06,15.15,15.46,14.6,15.08
2012-12-07,14.97,15.2,14.96,15.05
2012-12-10,15.03,15.13,14.78,15.05
2012-12-11,14.92,15.055,14.89,14.99
2012-12-12,15.09,15.18,14.9,14.93
2012-12-13,15.0,15.01,14.94,15.0
2012-12-14,14.98,15.15,14.98,15.15
2012-12-17,15.15,15.15,15.0,15.08
2012-12-18,14.87,15.1,14.73,14.95
2012-12-19,15.01,15.12,14.83,15.0
2012-12-20,14.87,15.05,14.78,14.92
2012-12-21,14.94,14.94,14.65,14.82
2012-12-24,14.94,14.98,14.81,14.84
2012-12-26,14.88,15.74,14.75,15.03
2012-12-27,15.11,15.23,14.85,15.07
2012-12-28,14.89,15.05,14.83,14.9
2012-12-31,14.85,15.07,14.66,15.01
