Date,Open,High,Low,Close
2012-01-03,19.625999999999998,19.625999999999998,19.319000000000003,19.363
2012-01-04,19.116,19.338,19.107,19.156
2012-01-05,19.037,19.389,18.814,19.225
2012-01-06,19.191,19.371,18.952,19.191
2012-01-09,19.285,19.285,18.89,19.124000000000002
2012-01-10,19.398,19.406,19.165,19.243
2012-01-11,19.2,19.319000000000003,19.088,19.191
2012-01-12,19.26,19.371,19.019000000000002,19.363
2012-01-13,19.088,19.269000000000002,19.028,19.165
2012-01-17,19.294,19.468,19.192,19.245
2012-01-18,19.26,19.465,19.174,19.465
2012-01-19,19.474,19.578,19.234,19.465
2012-01-20,19.415,20.143,19.363,20.108
2012-01-23,20.108,20.143,19.808,20.047
2012-01-24,19.893,20.117,19.717,20.055
2012-01-25,20.023,20.219,19.782,20.185
2012-01-26,20.219,20.339000000000002,20.1,20.227999999999998
2012-01-27,20.117,20.298,20.074,20.135
2012-01-30,19.988,20.152,19.625999999999998,19.893
2012-01-31,20.04,20.324,20.016,20.102999999999998
2012-02-01,20.185,20.581,20.038,20.484
2012-02-02,20.339000000000002,20.519000000000002,19.724,20.108
2012-02-03,20.426,20.725,20.339000000000002,20.418
2012-02-06,20.219,20.339000000000002,19.68,19.902
2012-02-07,19.883,20.247,19.752,20.185
2012-02-08,20.238,20.47,20.054000000000002,20.316
2012-02-09,20.384,20.504,20.299,20.316
2012-02-10,20.273,20.339000000000002,20.108,20.192
2012-02-13,20.355,20.444000000000003,20.201,20.246
2012-02-14,20.273,20.307000000000002,20.006,20.152
2012-02-15,20.246,20.288,19.808,19.852999999999998
2012-02-16,19.998,20.426,19.91,20.418
2012-02-17,20.493000000000002,20.519000000000002,20.21,20.307000000000002
2012-02-21,20.298,20.409000000000002,19.893,19.918
2012-02-22,19.902,19.963,19.662,19.68
2012-02-23,19.791,19.902,19.584,19.893
2012-02-24,20.022000000000002,20.152,19.833,19.987000000000002
2012-02-27,19.835,20.185,19.602,20.108
2012-02-28,20.092,20.169,19.835,19.98
2012-02-29,19.997,20.066,19.692,19.692
2012-03-01,19.843,19.954,19.708,19.738
2012-03-02,19.735,19.735,19.459,19.511
2012-03-05,19.438,19.808,19.2,19.738
2012-03-06,19.52,19.752,19.449,19.529
2012-03-07,19.502,19.65,19.459,19.575
2012-03-08,19.722,19.875,19.502,19.840999999999998
2012-03-09,19.858,20.169,19.805,19.875
2012-03-12,19.883,20.169,19.823,20.029
2012-03-13,20.176,20.438,20.064,20.438
2012-03-14,20.402,20.496,19.908,19.979
2012-03-15,19.962,20.169,19.735,20.107
2012-03-16,20.134,20.134,19.858,19.858
2012-03-19,19.85,20.152,19.761,19.891
2012-03-20,19.875,20.046,19.666,19.867
2012-03-21,19.952,20.046,19.796,19.891
2012-03-22,19.729,19.883,19.565,19.867
2012-03-23,19.840999999999998,19.867,19.65,19.814
2012-03-26,19.944000000000003,19.962,19.587,19.962
2012-03-27,19.987000000000002,19.987000000000002,19.769000000000002,19.85
2012-03-28,19.9,20.082,19.805,19.891
2012-03-29,19.769000000000002,20.022000000000002,19.703,19.987000000000002
2012-03-30,20.121,20.121,19.831,19.831
2012-04-02,19.752,19.952,19.529,19.908
2012-04-03,19.85,19.908,19.64,19.778
2012-04-04,19.587,19.623,19.294,19.441
2012-04-05,19.373,19.373,19.21,19.226
2012-04-09,18.933,19.009,18.734,18.812
2012-04-10,18.795,18.803,18.257,18.311
2012-04-11,18.467,18.587,18.311,18.578
2012-04-12,18.587,18.881,18.55,18.761
2012-04-13,18.724,18.724,18.476,18.484
2012-04-16,18.534000000000002,18.820999999999998,18.492,18.734
2012-04-17,18.915,19.226,18.863,19.009
2012-04-18,18.915,18.915,18.64,18.761
2012-04-19,18.734,18.854,18.467,18.587
2012-04-20,18.803,18.838,18.311,18.449
2012-04-23,18.215,18.266,17.980999999999998,18.137
2012-04-24,18.156,18.249000000000002,17.998,18.086
2012-04-25,18.275,18.389,18.11,18.172
2012-04-26,18.137,18.32,18.137,18.249000000000002
2012-04-27,18.283,18.338,18.137,18.225
2012-04-30,18.171,18.225,18.022000000000002,18.094
2012-05-01,18.086,18.346,17.915,17.915
2012-05-02,17.748,18.035999999999998,17.687,17.921
2012-05-03,17.885,17.885,17.551,17.78
2012-05-04,17.715,17.732,17.213,17.393
2012-05-07,17.393,17.559,17.221,17.384
2012-05-08,17.213,18.035999999999998,17.108,17.645
2012-05-09,17.412,17.482,17.132,17.186
2012-05-10,17.236,17.334,17.088,17.245
2012-05-11,17.082,17.213,16.859,17.015
2012-05-14,16.849,17.041,16.772000000000002,16.849
2012-05-15,16.79,17.066,16.747,16.756
2012-05-16,16.84,16.928,16.618,16.627
2012-05-17,16.676,16.676,16.333,16.333
2012-05-18,16.29,16.644000000000002,16.194000000000003,16.262
2012-05-21,16.28,16.52,16.169,16.209
2012-05-22,16.244,16.418,15.985,16.055999999999997
2012-05-23,15.875,16.08,15.753,16.022000000000002
2012-05-24,16.055999999999997,16.363,15.890999999999998,16.363
2012-05-25,16.313,16.38,15.962,16.277
