Date,Open,High,Low,Close
2012-01-03,35.87,36.19,35.23,35.48
2012-01-04,35.1,35.27,34.8,34.84
2012-01-05,34.53,34.94,34.19,34.67
2012-01-06,34.56,34.87,34.24,34.33
2012-01-09,34.47,34.58,34.02,34.28
2012-01-10,34.75,36.0,34.74,35.58
2012-01-11,35.5,36.26,35.43,36.23
2012-01-12,36.13,38.48,36.02,38.3
2012-01-13,37.76,38.49,37.76,38.15
2012-01-17,38.53,38.67,38.16,38.41
2012-01-18,38.67,39.95,38.23,39.94
2012-01-19,39.99,40.21,39.18,40.01
2012-01-20,39.99,40.03,39.31,39.76
2012-01-23,39.92,40.02,39.25,39.46
2012-01-24,39.71,39.88,39.23,39.67
2012-01-25,39.58,40.16,39.34,39.99
2012-01-26,39.72,39.99,39.62,39.8
2012-01-27,39.72,40.25,39.7,40.1
2012-01-30,39.8,40.02,39.71,39.85
2012-01-31,40.28,40.53,39.92,40.15
2012-02-01,40.25,40.83,40.15,40.7
2012-02-02,40.6,40.75,40.26,40.65
2012-02-03,40.82,41.33,40.35,41.25
2012-02-06,40.85,41.24,40.57,41.06
2012-02-07,41.0,42.81,41.0,42.46
2012-02-08,42.42,42.42,41.91,42.29
2012-02-09,42.22,42.38,41.72,41.92
2012-02-10,40.43,41.36,40.43,40.97
2012-02-13,41.15,41.55,40.9,41.51
2012-02-14,41.14,41.34,40.94,41.28
2012-02-15,41.48,42.47,40.96,41.37
2012-02-16,41.47,43.05,41.47,42.92
2012-02-17,43.06,43.16,42.41,42.61
2012-02-21,42.62,42.62,40.77,42.4
2012-02-22,42.36,42.5,40.01,41.35
2012-02-23,42.0,42.39,40.97,42.06
2012-02-24,42.11,42.11,40.94,41.68
2012-02-27,41.28,41.45,40.78,41.03
2012-02-28,40.95,41.03,40.06,40.5
2012-02-29,40.3,40.66,39.2,39.21
2012-03-01,39.91,40.12,38.49,38.56
2012-03-02,38.55,38.68,37.53,38.21
2012-03-05,38.44,38.74,37.71,38.68
