Date,Open,High,Low,Close
2012-01-03,36.75,38.43,36.27,36.46
2012-01-04,36.34,36.9,35.91,36.6
2012-01-05,36.9,37.65,36.67,36.99
2012-01-06,36.85,37.25,36.56,36.8
2012-01-09,37.11,38.0,36.18,37.23
2012-01-10,37.71,37.8,36.72,36.81
2012-01-11,37.12,37.68,36.85,37.44
2012-01-12,37.72,37.98,36.82,37.36
2012-01-13,37.0,37.67,36.97,37.59
2012-01-17,37.91,38.66,37.74,38.12
2012-01-18,38.17,39.84,37.95,39.18
2012-01-19,39.36,40.61,39.35,40.1
2012-01-20,40.04,40.25,39.66,40.02
2012-01-23,40.11,40.52,38.79,39.2
2012-01-24,39.03,39.55,38.5,39.22
2012-01-25,39.32,40.41,38.9,40.33
2012-01-26,40.58,40.98,39.5,39.65
2012-01-27,39.35,40.03,39.26,39.88
2012-01-30,39.52,39.59,38.8,39.41
2012-01-31,40.32,43.35,40.31,42.7
2012-02-01,42.9,44.25,42.7,44.14
2012-02-02,44.36,45.35,44.35,45.11
2012-02-03,45.36,46.39,45.16,46.25
2012-02-06,45.95,46.68,45.55,46.3
2012-02-07,46.11,47.08,46.06,46.5
2012-02-08,46.64,46.96,46.23,46.91
2012-02-09,47.1,47.11,46.38,46.94
2012-02-10,46.32,46.58,45.36,45.67
2012-02-13,46.23,46.47,45.48,46.0
2012-02-14,45.8,46.2,45.51,46.03
2012-02-15,46.32,46.5,45.21,45.39
2012-02-16,45.48,46.85,45.28,46.62
2012-02-17,46.93,46.96,45.81,45.86
2012-02-21,46.35,46.35,45.16,45.6
2012-02-22,45.23,45.88,45.16,45.57
2012-02-23,45.59,46.06,45.35,45.95
2012-02-24,46.36,47.51,46.21,47.0
2012-02-27,46.28,48.21,46.21,48.01
2012-02-28,48.0,49.2,47.99,48.72
2012-02-29,48.95,49.71,47.75,47.89
2012-03-01,48.08,48.79,47.69,47.9
2012-03-02,48.02,49.0,47.43,47.7
2012-03-05,48.3,48.41,46.06,46.55
2012-03-06,48.45,50.33,47.41,50.24
2012-03-07,50.08,51.52,49.87,51.33
2012-03-08,51.58,51.68,50.66,51.19
2012-03-09,50.49,50.98,50.48,50.72
2012-03-12,50.34,50.67,49.72,50.15
2012-03-13,50.5,51.2,49.84,51.0
2012-03-14,51.01,51.19,50.19,50.66
2012-03-15,50.79,51.05,50.19,50.57
2012-03-16,50.3,50.31,49.26,49.47
2012-03-19,49.3,50.77,49.19,50.32
2012-03-20,49.85,49.97,49.28,49.76
2012-03-21,49.86,50.99,49.5,50.63
