Date,Open,High,Low,Close
2013-01-02,52.661,52.668,51.992,52.483999999999995
2013-01-03,52.54,52.888000000000005,52.111000000000004,52.243
2013-01-04,52.492,53.153999999999996,52.129,53.032
2013-01-07,52.678000000000004,53.203,52.492,52.872
2013-01-08,52.833,53.011,52.09,52.218999999999994
2013-01-09,52.178000000000004,52.744,52.104,52.678000000000004
2013-01-10,52.727,52.798,52.159,52.63
2013-01-11,52.744,52.806000000000004,52.272,52.718
2013-01-14,52.773,52.848,52.297,52.516000000000005
2013-01-15,52.435,52.84,52.111000000000004,52.591
2013-01-16,52.581,52.678999999999995,51.71,51.791000000000004
2013-01-17,52.016999999999996,52.63,51.588,52.4
2013-01-18,52.011,52.321000000000005,51.685,52.255
2013-01-22,52.19,52.842,51.826,52.645
2013-01-23,52.76,52.76,52.078,52.086999999999996
2013-01-24,52.043,52.792,51.93,52.419
2013-01-25,52.76,52.76,52.129,52.548
2013-01-28,52.703,52.718999999999994,52.086999999999996,52.232
2013-01-29,52.078,53.043,51.986999999999995,52.842
2013-01-30,52.89,52.89,52.06,52.24
2013-01-31,52.199,52.887,52.035,52.746
2013-02-01,53.035,53.657,52.792,53.297
2013-02-04,52.964,53.32,52.827,52.873000000000005
2013-02-05,53.231,53.231,52.661,53.035
2013-02-06,52.858000000000004,53.678000000000004,52.753,53.501000000000005
2013-02-07,53.542,53.668,53.067,53.476000000000006
2013-02-08,53.55,53.657,53.266999999999996,53.55
2013-02-11,53.556000000000004,53.64,53.19,53.312
2013-02-12,53.411,53.418,53.02,53.19
2013-02-13,53.027,53.175,52.507,53.175
2013-02-14,53.02,53.277,52.964,53.158
2013-02-15,53.728,55.607,53.702,54.28
2013-02-19,54.428000000000004,54.852,53.501000000000005,54.305
2013-02-20,54.29,54.47,53.606,53.623000000000005
2013-02-21,53.763000000000005,54.346000000000004,53.573,53.997
2013-02-22,54.372,54.802,53.941,54.794
2013-02-25,54.948,55.486000000000004,54.297,54.475
2013-02-26,58.505,61.393,57.675,59.196999999999996
2013-02-27,59.196999999999996,61.897,58.619,61.41
2013-02-28,61.56399999999999,62.645,61.23,61.254
2013-03-01,61.417,61.986000000000004,60.58,61.888000000000005
2013-03-04,61.75899999999999,62.662,61.67,62.613
2013-03-05,63.215,63.613,62.003,62.888999999999996
2013-03-06,62.875,63.458999999999996,62.67,62.973
2013-03-07,63.086000000000006,63.477,62.531000000000006,63.435
2013-03-08,64.063,64.063,62.888000000000005,63.769
2013-03-11,63.623999999999995,64.32300000000001,63.352,63.86600000000001
2013-03-12,63.931000000000004,64.306,63.101000000000006,63.273
2013-03-13,63.361999999999995,64.533,63.299,64.014
2013-03-14,63.973,64.803,63.826,64.583
2013-03-15,64.52600000000001,65.268,64.2,65.226
2013-03-18,64.843,65.617,64.361,65.071
2013-03-19,63.29,64.744,62.67,64.5
2013-03-20,64.583,65.161,64.233,64.795
2013-03-21,64.551,64.883,64.17699999999999,64.57600000000001
2013-03-22,64.57600000000001,65.96600000000001,64.5,65.574
2013-03-25,65.706,66.252,64.892,65.111
2013-03-26,65.419,65.535,65.039,65.419
2013-03-27,65.429,65.834,64.973,65.74
2013-03-28,65.91,66.372,65.592,65.788
2013-04-01,65.706,66.39699999999999,65.111,65.365
2013-04-02,65.999,65.999,65.217,65.778
2013-04-03,65.91,66.283,64.90100000000001,65.048
2013-04-04,64.925,66.218,64.768,66.21
2013-04-05,65.25,65.657,65.071,65.65
2013-04-08,66.016,66.087,65.095,65.509
2013-04-09,65.74600000000001,65.804,65.087,65.128
2013-04-10,65.47800000000001,66.625,65.47800000000001,66.577
2013-04-11,66.47800000000001,66.895,65.992,66.324
2013-04-12,66.193,68.008,66.14699999999999,67.357
2013-04-15,67.374,67.39,65.02199999999999,65.446
2013-04-16,65.843,66.332,65.137,66.268
2013-04-17,65.669,66.268,64.60600000000001,66.095
2013-04-18,66.252,66.252,65.04,65.882
2013-04-19,65.794,66.699,65.465,66.031
2013-04-22,66.217,66.258,65.444,66.112
2013-04-23,66.268,66.79899999999999,65.751,66.415
2013-04-24,66.324,66.98899999999999,66.077,66.678
2013-04-25,67.133,67.852,66.937,67.315
2013-04-26,67.054,67.51100000000001,66.669,66.816
2013-04-29,67.012,67.535,66.726,67.266
2013-04-30,67.332,68.274,67.133,67.742
2013-05-01,67.438,68.101,66.539,67.142
2013-05-02,67.217,68.172,67.125,67.725
2013-05-03,68.382,69.107,68.167,68.486
2013-05-06,68.765,69.083,67.971,68.977
2013-05-07,68.977,69.043,68.35300000000001,69.043
2013-05-08,69.03399999999999,69.419,68.625,68.993
2013-05-09,68.765,69.06,68.307,68.47800000000001
2013-05-10,68.765,69.723,68.723,69.59100000000001
2013-05-13,69.673,70.164,69.37,69.796
2013-05-14,69.821,70.673,69.821,70.638
2013-05-15,70.688,71.408,70.149,71.263
2013-05-16,71.294,71.294,70.067,70.46
2013-05-17,70.77,71.212,70.172,70.893
2013-05-20,70.719,71.703,70.53399999999999,71.195
2013-05-21,71.417,71.417,70.515,71.35300000000001
2013-05-22,71.62899999999999,71.892,70.24600000000001,70.442
2013-05-23,70.141,71.16199999999999,69.372,71.16199999999999
2013-05-24,70.60600000000001,71.24600000000001,70.42699999999999,71.204
2013-05-28,72.186,72.818,71.4,72.35
2013-05-29,71.933,72.367,71.056,71.795
2013-05-30,72.67,73.596,72.555,73.252
2013-05-31,73.109,74.205,72.935,73.241
2013-06-03,76.385,79.613,75.684,78.007
2013-06-04,77.867,78.77600000000001,77.082,78.564
2013-06-05,78.54899999999999,78.892,78.033,78.105
2013-06-06,77.89399999999999,78.92399999999999,77.596,78.876
2013-06-07,79.398,80.63600000000001,78.98100000000001,80.17699999999999
2013-06-10,80.806,81.88,80.16199999999999,80.169
2013-06-11,79.82600000000001,80.194,79.334,79.78399999999999
2013-06-12,80.358,80.358,78.843,79.041
2013-06-13,79.032,79.155,78.22,78.868
2013-06-14,78.809,79.579,78.195,78.54899999999999
2013-06-17,78.743,79.203,75.773,76.222
2013-06-18,76.028,78.165,75.764,78.138
2013-06-19,78.18,78.737,77.206,77.41
2013-06-20,76.75399999999999,76.95100000000001,75.428,75.658
2013-06-21,75.887,76.509,73.85,74.968
2013-06-24,74.35600000000001,75.938,73.242,75.618
2013-06-25,76.142,76.649,74.7,75.329
2013-06-26,75.994,77.014,75.699,76.369
2013-06-27,76.977,78.063,76.977,77.712
2013-06-28,77.933,78.851,77.298,77.5
2013-07-01,78.12899999999999,79.27,78.072,79.251
2013-07-02,79.007,79.837,78.597,79.744
2013-07-03,79.654,80.449,79.089,80.187
2013-07-05,81.10300000000001,81.535,80.53,81.32300000000001
2013-07-08,81.666,81.873,80.988,81.85600000000001
2013-07-09,82.323,82.59200000000001,81.718,82.137
2013-07-10,82.38,82.67,81.233,81.569
2013-07-11,82.527,83.133,81.641,82.73899999999999
2013-07-12,83.009,83.834,82.65799999999999,83.33200000000001
2013-07-15,83.624,83.946,83.29,83.64
2013-07-16,84.12899999999999,84.28299999999999,82.561,83.514
2013-07-17,83.624,84.33200000000001,82.098,82.43700000000001
2013-07-18,82.85,84.24,82.439,83.927
2013-07-19,82.355,83.015,81.051,81.721
2013-07-22,81.266,82.29700000000001,79.517,81.44800000000001
2013-07-23,81.85300000000001,82.065,79.798,80.408
2013-07-24,80.878,81.39,79.112,79.263
2013-07-25,79.032,79.649,78.23,79.617
2013-07-26,79.12,80.169,79.071,79.773
2013-07-29,79.914,80.256,78.907,80.187
2013-07-30,80.375,80.64699999999999,79.683,80.128
2013-07-31,80.482,81.25,80.094,80.747
2013-08-01,81.11,82.322,81.11,82.133
2013-08-02,82.446,83.391,82.065,83.265
2013-08-05,83.441,83.71,82.709,83.624
2013-08-06,83.624,83.633,81.597,81.694
2013-08-07,81.694,81.943,80.598,81.232
