Date,Open,High,Low,Close
2013-01-02,3.25,3.25,2.875,3.225
2013-01-03,3.0625,3.125,2.95,3.0
2013-01-04,3.0,3.6969,3.0,3.5
2013-01-07,3.55,3.725,3.5,3.6219
2013-01-08,3.6219,3.6875,3.25,3.625
2013-01-09,3.625,3.625,2.625,3.1
2013-01-10,3.175,3.175,2.875,3.0
2013-01-11,3.0,3.15,2.875,3.05
2013-01-14,3.05,3.125,2.875,3.1
2013-01-15,3.0,3.075,2.875,3.0
2013-01-16,3.0,3.0,2.875,3.0
2013-01-17,2.9,2.975,2.85,2.975
2013-01-18,2.975,3.025,2.85,3.025
2013-01-22,3.025,3.025,2.925,3.0
2013-01-23,2.85,3.025,2.85,3.0
2013-01-24,2.85,3.025,2.85,3.025
2013-01-25,3.025,3.05,2.825,3.05
2013-01-28,2.875,2.9875,2.775,2.975
2013-01-29,2.75,2.975,2.75,2.825
2013-01-30,3.0,3.0,2.625,2.625
2013-01-31,2.9125,2.9125,2.575,2.575
2013-02-01,2.575,2.875,2.575,2.75
2013-02-04,2.975,2.975,2.575,2.625
2013-02-05,2.7125,2.75,2.5656,2.75
2013-02-06,2.6281,2.75,2.575,2.7
2013-02-07,2.5781,2.725,2.55,2.725
2013-02-08,2.725,2.875,2.625,2.75
2013-02-11,2.6875,2.975,2.625,2.975
2013-02-12,2.7375,2.8,2.7375,2.7375
2013-02-13,2.725,2.75,2.625,2.625
2013-02-14,2.75,2.75,2.575,2.675
2013-02-15,2.7,2.7219,2.55,2.7
2013-02-19,2.6969,2.725,2.5,2.625
2013-02-20,2.625,2.625,2.5,2.525
2013-02-21,2.6094,2.6094,2.525,2.6
2013-02-22,2.6,2.675,2.5078,2.5969
2013-02-25,2.6,2.675,2.5078,2.55
2013-02-26,2.525,2.575,2.3031,2.475
2013-02-27,2.475,2.475,2.3031,2.425
2013-02-28,2.45,2.675,2.35,2.675
2013-03-01,2.4,2.6719,2.4,2.6375
2013-03-04,2.5,2.7,2.4,2.45
2013-03-05,2.5,2.7,2.4969,2.6969
2013-03-06,2.675,2.675,2.4,2.675
2013-03-07,2.6625,2.6625,2.5,2.6219
2013-03-08,2.625,2.625,2.6125,2.6125
2013-03-11,2.5125,2.5125,2.5,2.5125
2013-03-12,2.5,2.6625,2.4031,2.5
2013-03-13,2.525,2.55,2.5031,2.5031
2013-03-14,2.5,2.625,2.5,2.625
2013-03-15,2.7,2.7,2.55,2.675
2013-03-18,2.525,2.625,2.5,2.5953
2013-03-19,2.5953,2.5953,2.5,2.575
2013-03-20,2.55,2.625,2.5,2.625
2013-03-21,2.625,2.625,2.4781,2.625
2013-03-22,2.4781,2.7,2.4781,2.625
2013-03-25,2.6,2.7,2.5,2.7
2013-03-26,2.725,2.95,2.7,2.95
2013-03-27,2.95,2.95,2.775,2.875
2013-03-28,2.775,2.9375,2.575,2.9375
2013-04-01,2.9375,2.9375,2.75,2.75
2013-04-02,2.75,2.775,2.675,2.775
2013-04-03,3.0,3.0,2.75,2.9
2013-04-04,2.925,2.9953,2.825,2.9953
2013-04-05,3.025,3.1219,2.95,3.1
2013-04-08,3.1,3.625,3.1,3.275
2013-04-09,3.2594,3.375,3.0,3.25
2013-04-10,3.0031,3.225,3.0,3.025
2013-04-11,3.125,3.225,3.025,3.225
2013-04-12,3.225,3.275,3.075,3.125
2013-04-15,3.225,3.375,3.225,3.25
2013-04-16,3.25,3.3,3.25,3.3
2013-04-17,3.3,3.3,3.0625,3.125
2013-04-18,3.0922,3.25,3.025,3.0922
2013-04-19,3.1,3.225,3.1,3.2
2013-04-22,3.2125,3.225,3.1,3.1
2013-04-23,3.225,3.225,3.1,3.175
2013-04-24,3.2,3.2,3.025,3.1
2013-04-25,3.05,3.0875,2.95,3.0125
2013-04-26,3.0,3.1,2.9453,2.975
2013-04-29,3.0,3.0,2.65,2.75
2013-04-30,2.8125,2.8797,2.7125,2.875
2013-05-01,3.0,3.0,2.75,3.0
2013-05-02,3.0,3.0,2.875,2.95
2013-05-03,2.95,2.95,2.75,2.75
2013-05-06,2.95,2.95,2.9,2.95
2013-05-07,2.95,3.125,2.95,3.125
2013-05-08,3.125,3.25,3.0,3.125
2013-05-09,3.125,3.25,3.05,3.125
