Date,Open,High,Low,Close
2013-01-02,41.74,41.93,37.9,38.44
2013-01-03,39.25,41.35,39.06,39.24
2013-01-04,39.2,40.35,39.05,39.79
2013-01-07,39.55,39.72,38.58,38.98
2013-01-08,37.95,38.39,36.82,37.45
2013-01-09,37.32,37.6,35.72,36.12
2013-01-10,36.41,37.47,35.7,37.02
2013-01-11,37.48,38.18,36.45,36.64
2013-01-14,36.45,38.21,36.4,38.15
2013-01-15,37.81,41.0,37.75,40.81
2013-01-16,40.6,40.66,38.42,38.56
2013-01-17,38.56,39.35,36.86,37.12
2013-01-18,37.31,37.46,36.46,37.32
2013-01-22,37.4,38.37,36.85,38.17
2013-01-23,38.0,38.23,37.44,37.77
2013-01-24,37.8,39.86,37.75,38.91
2013-01-25,39.47,42.53,39.2,41.83
2013-01-28,41.61,41.89,40.52,41.65
2013-01-29,41.51,41.97,40.06,40.38
2013-01-30,40.55,40.86,39.34,39.42
2013-01-31,39.33,40.86,39.04,39.95
2013-02-01,40.18,40.61,39.41,39.92
2013-02-04,40.99,42.79,40.9,41.39
2013-02-05,41.76,42.2,40.13,40.57
2013-02-06,40.52,41.9,40.44,41.38
2013-02-07,41.38,43.85,41.38,43.56
2013-02-08,43.6,44.39,42.43,43.56
2013-02-11,44.52,44.75,43.05,44.4
2013-02-12,44.72,45.2,44.0,44.5
2013-02-13,44.46,44.57,43.28,43.58
2013-02-14,43.44,44.25,43.1,43.7
2013-02-15,43.64,44.29,42.52,42.83
2013-02-19,43.02,44.96,42.55,44.72
2013-02-20,43.88,44.7,42.61,42.99
2013-02-21,42.6,43.47,40.21,40.84
2013-02-22,41.62,42.18,40.15,40.56
2013-02-25,40.97,42.12,40.6,40.7
2013-02-26,40.8,41.65,39.6,40.35
2013-02-27,40.34,40.98,40.14,40.4
2013-02-28,40.5,41.36,39.9,40.41
2013-03-01,44.23,47.0,43.63,46.62
2013-03-04,46.17,48.03,46.13,47.35
2013-03-05,47.61,48.5,47.153,47.99
2013-03-06,48.0,49.38,48.0,48.7
2013-03-07,48.75,50.1,48.55,49.07
2013-03-08,49.15,49.52,47.99,48.81
2013-03-11,48.37,49.12,48.08,48.63
2013-03-12,48.49,49.64,48.12,48.87
2013-03-13,48.78,49.59,48.5,49.08
2013-03-14,49.29,50.05,48.66,49.7
2013-03-15,49.75,50.76,49.47,49.99
2013-03-18,49.35,49.83,48.56,49.11
2013-03-19,49.14,49.71,47.92,48.77
2013-03-20,49.11,51.16,48.67,50.32
2013-03-21,50.18,50.69,49.1,50.4
2013-03-22,50.7,50.84,49.17,50.11
2013-03-25,50.52,50.57,49.15,49.61
2013-03-26,49.63,50.6,49.51,50.21
2013-03-27,49.84,52.85,49.52,52.52
2013-03-28,56.0,56.67,54.3,55.69
2013-04-01,55.75,55.78,53.67,53.99
2013-04-02,54.3,55.9,54.01,55.33
2013-04-03,55.11,55.6,54.1,54.71
2013-04-04,54.44,55.86,54.26,55.78
2013-04-05,54.64,55.72,54.25,55.5
2013-04-08,55.88,56.4,55.34,56.24
2013-04-09,56.29,56.5,55.53,56.08
2013-04-10,56.53,58.9,56.36,58.52
2013-04-11,58.41,59.5,57.53,59.08
2013-04-12,58.41,59.35,57.55,58.89
2013-04-15,58.65,58.88,56.28,56.73
2013-04-16,57.4,58.92,56.93,58.66
2013-04-17,58.32,58.8,57.08,58.21
2013-04-18,58.16,58.26,56.58,56.98
2013-04-19,56.98,58.23,55.79,57.98
2013-04-22,58.08,58.84,56.76,58.62
2013-04-23,59.2,60.23,58.67,59.69
2013-04-24,59.99,60.25,58.95,59.07
2013-04-25,59.5,60.06,58.44,59.4
2013-04-26,58.17,58.17,53.5,54.31
2013-04-29,54.32,55.16,53.58,54.11
2013-04-30,53.38,55.29,52.7,55.12
2013-05-01,55.38,55.73,53.87,54.07
2013-05-02,54.31,54.4,53.29,54.19
2013-05-03,54.98,55.23,53.95,54.0
2013-05-06,53.95,54.8,53.35,53.69
2013-05-07,53.98,54.5,53.42,54.25
2013-05-08,54.25,55.72,54.16,55.55
2013-05-09,55.51,56.19,54.37,54.49
2013-05-10,54.64,56.47,54.39,56.42
2013-05-13,56.28,57.24,55.27,55.3
2013-05-14,55.46,55.92,55.35,55.84
2013-05-15,55.78,56.04,54.15,54.26
2013-05-16,54.08,54.27,52.14,52.48
2013-05-17,52.95,53.29,51.53,52.49
2013-05-20,52.59,52.96,51.85,52.75
2013-05-21,52.7,54.72,52.6,54.48
2013-05-22,54.41,56.21,54.24,54.85
2013-05-23,53.99,54.0,53.02,53.71
2013-05-24,53.09,53.54,52.22,53.47
2013-05-28,54.08,54.85,53.37,53.42
2013-05-29,53.03,54.67,52.685,53.93
2013-05-30,53.96,55.2,53.59,54.68
2013-05-31,54.31,55.39,53.39,53.68
2013-06-03,53.73,54.53,52.76,54.42
2013-06-04,54.3,55.71,53.735,54.44
2013-06-05,54.11,54.41,52.31,53.11
2013-06-06,52.74,53.98,52.47,53.72
2013-06-07,54.06,54.2,53.35,53.42
2013-06-10,53.54,54.33,53.022,53.36
2013-06-11,52.72,53.74,51.77,52.82
2013-06-12,53.27,53.48,51.589,52.09
2013-06-13,52.08,54.36,51.57,53.83
2013-06-14,53.79,55.16,53.35,55.04
2013-06-17,55.5,56.22,54.27,54.52
