Date,Open,High,Low,Close
2013-01-02,5.1216,5.1597,5.1065,5.1444
2013-01-03,5.152,5.2088,5.1444,5.152
2013-01-04,5.1444,5.1976,5.1372,5.1901
2013-01-07,5.1901,5.1976,5.1292,5.1901
2013-01-08,5.1822,5.2202,5.1597,5.1901
2013-01-09,5.228,5.2583,5.1976,5.212999999999999
2013-01-10,5.2659,5.2734,5.2357,5.2734
2013-01-11,5.2964,5.2964,5.2506,5.2734
2013-01-14,5.2582,5.2888,5.2506,5.2734
2013-01-15,5.2812,5.2812,5.2432,5.2812
2013-01-16,5.2506,5.2888,5.1976,5.2357
2013-01-17,5.2812,5.3419,5.2734,5.3265
2013-01-18,5.2888,5.3265,5.2888,5.3265
2013-01-22,5.3494,5.3569,5.3419,5.3494
2013-01-23,5.3798,5.395,5.3349,5.3645
2013-01-24,5.3722,5.3874,5.3265,5.3722
2013-01-25,5.3722,5.3798,5.3494,5.3722
2013-01-28,5.3798,5.4023,5.3569,5.3714
2013-01-29,5.3569,5.395,5.3569,5.395
2013-01-30,5.3798,5.4252,5.3341,5.3645
2013-01-31,5.3645,5.395,5.3265,5.3798
2013-02-01,5.3874,5.41,5.3874,5.4023
2013-02-04,5.3798,5.4025,5.3645,5.3722
2013-02-05,5.4252,5.4331,5.3798,5.4331
2013-02-06,5.4177,5.4406,5.3722,5.4252
2013-02-07,5.4252,5.4406,5.3722,5.4023
2013-02-08,5.4177,5.4633,5.41,5.4406
2013-02-11,5.395,5.4481,5.395,5.4443
2013-02-12,5.4481,5.4685,5.4177,5.4406
2013-02-13,5.4633,5.4783,5.4332,5.4783
2013-02-14,5.4708,5.5164,5.4252,5.5164
2013-02-15,5.5392,5.5689,5.4783,5.5467
2013-02-19,5.5241,5.5768,5.4936,5.5693
2013-02-20,5.5768,5.5768,5.4554,5.4554
2013-02-21,5.4252,5.4406,5.3341,5.3569
2013-02-22,5.3569,5.395,5.3494,5.3874
2013-02-25,5.3874,5.3874,5.3265,5.3341
2013-02-26,5.3722,5.3722,5.2743,5.3036
2013-02-27,5.3037,5.3569,5.2432,5.3114
2013-02-28,5.2964,5.3341,5.2506,5.2659
2013-03-01,5.2583,5.3114,5.2357,5.2734
