Date,Open,High,Low,Close
2013-01-02,166.93,168.86,166.66,168.86
2013-01-03,168.27,168.8,167.23,167.96
2013-01-04,167.0,167.25,165.79,166.83
2013-01-07,166.33,166.64,165.42,166.11
2013-01-08,165.93,166.25,164.79,165.88
2013-01-09,166.4,166.41,164.83,165.4
2013-01-10,165.66,165.96,164.51,165.89
2013-01-11,166.58,167.7,165.91,167.24
2013-01-14,165.83,166.24,164.92,165.63
2013-01-15,164.54,165.74,163.73,165.55
2013-01-16,165.13,166.14,164.57,165.61
2013-01-17,166.71,167.25,166.2,166.55
2013-01-18,166.87,167.69,166.67,167.25
2013-01-22,167.15,168.62,166.85,168.62
2013-01-23,175.01,179.4,174.89,176.06
2013-01-24,175.38,176.37,174.66,175.81
2013-01-25,175.83,176.47,175.57,176.28
2013-01-28,176.23,177.37,175.69,176.24
2013-01-29,175.72,176.94,175.14,175.37
2013-01-30,175.22,176.19,174.75,175.03
2013-01-31,174.86,175.85,174.56,174.65
2013-02-01,176.0,176.59,175.31,176.47
2013-02-04,175.62,176.33,175.07,175.26
2013-02-05,175.7,176.09,174.16,174.41
2013-02-06,173.51,173.84,172.36,173.61
2013-02-07,173.26,173.52,171.58,172.51
2013-02-08,172.71,174.54,172.46,174.18
2013-02-11,174.01,174.41,172.52,172.87
2013-02-12,172.74,173.38,171.89,172.77
2013-02-13,173.29,173.56,172.37,172.81
2013-02-14,172.51,172.99,172.08,172.43
2013-02-15,172.71,173.82,172.58,173.58
2013-02-19,173.24,174.37,172.9,172.99
2013-02-20,173.26,174.21,171.75,172.12
2013-02-21,171.54,171.94,171.09,171.28
2013-02-22,172.06,173.67,171.73,173.67
2013-02-25,174.17,174.87,170.58,170.58
2013-02-26,171.54,172.65,170.88,171.99
2013-02-27,171.77,175.1,171.52,174.74
2013-02-28,174.61,175.43,173.42,173.46
2013-03-01,173.29,175.26,172.17,175.24
2013-03-04,174.96,177.23,174.93,177.23
2013-03-05,177.77,179.39,177.62,178.4
2013-03-06,178.79,180.05,178.5,179.96
2013-03-07,179.88,181.02,179.85,180.87
2013-03-08,181.22,182.01,180.88,181.71
2013-03-11,181.4,181.55,180.53,181.43
2013-03-12,180.85,182.0,180.58,181.84
2013-03-13,181.55,183.4,181.16,183.15
2013-03-14,183.22,186.42,183.22,186.36
2013-03-15,186.01,186.46,184.31,185.62
2013-03-18,183.87,185.24,183.64,184.14
2013-03-19,184.94,185.79,182.96,184.34
2013-03-20,185.48,186.38,185.06,185.73
2013-03-21,183.92,183.95,181.46,183.32
2013-03-22,183.27,184.11,182.78,183.16
2013-03-25,183.56,183.78,181.41,182.01
2013-03-26,182.91,183.52,182.66,183.4
2013-03-27,182.19,183.23,181.45,182.12
2013-03-28,181.21,184.34,181.13,184.21
2013-04-01,183.77,184.38,182.43,183.42
2013-04-02,183.89,185.43,182.73,185.11
2013-04-03,185.08,185.59,183.63,183.66
2013-04-04,183.77,183.89,181.4,182.49
2013-04-05,180.58,181.21,178.22,180.86
2013-04-08,180.43,180.79,179.05,180.79
2013-04-09,180.99,181.36,180.17,180.69
2013-04-10,182.98,183.53,181.77,183.09
2013-04-11,182.66,184.04,182.08,183.89
2013-04-12,182.04,182.65,181.17,182.55
2013-04-15,181.74,182.83,180.73,180.73
2013-04-16,182.07,183.09,180.67,183.09
2013-04-17,181.82,182.3,180.94,181.08
2013-04-18,181.46,181.59,178.03,178.89
2013-04-19,169.44,169.71,163.88,164.09
2013-04-22,165.1,165.28,162.08,162.2
2013-04-23,163.48,166.3,162.9,165.49
2013-04-24,165.97,166.25,165.04,165.57
2013-04-25,166.42,168.56,166.1,167.5
2013-04-26,167.65,168.17,166.9,167.82
2013-04-29,168.22,172.46,168.12,172.0
2013-04-30,171.98,174.96,170.44,174.92
2013-05-01,174.35,174.6,172.03,172.42
2013-05-02,172.84,174.83,172.52,174.79
2013-05-03,176.12,177.33,175.97,176.61
2013-05-06,176.0,176.17,174.02,175.13
2013-05-07,175.16,175.95,174.15,175.87
2013-05-08,176.09,177.73,175.7,177.71
2013-05-09,177.59,177.86,175.9,176.36
2013-05-10,176.47,177.47,175.98,177.42
2013-05-13,177.19,177.42,175.48,175.68
2013-05-14,175.36,176.71,175.35,176.33
2013-05-15,175.5,176.72,175.31,176.43
2013-05-16,177.02,179.26,177.02,177.59
2013-05-17,178.09,181.78,177.85,180.87
2013-05-20,180.49,181.48,179.98,180.13
2013-05-21,179.84,181.76,179.61,181.04
2013-05-22,180.93,182.34,178.84,179.6
2013-05-23,178.32,181.01,177.98,178.87
2013-05-24,177.59,179.1,177.38,178.52
2013-05-28,179.99,181.0,179.77,180.29
2013-05-29,178.92,180.85,178.78,180.41
2013-05-30,179.58,183.07,179.58,181.68
2013-05-31,181.0,183.93,180.49,180.49
2013-06-03,180.69,182.26,179.89,181.3
2013-06-04,181.01,181.34,177.93,178.9
2013-06-05,178.01,178.98,175.63,175.92
2013-06-06,176.14,177.21,174.81,176.83
2013-06-07,177.73,179.03,177.12,179.03
2013-06-10,179.58,179.59,177.77,177.88
2013-06-11,176.29,178.71,175.7,177.0
2013-06-12,177.52,178.07,173.97,174.58
2013-06-13,174.42,177.36,173.84,176.8
2013-06-14,176.99,177.64,175.1,175.46
2013-06-17,176.53,178.02,175.74,176.18
2013-06-18,176.16,178.81,176.02,177.75
2013-06-19,177.4,177.88,175.2,175.21
2013-06-20,174.11,175.01,171.18,171.22
2013-06-21,172.24,172.26,167.95,169.59
2013-06-24,168.31,169.13,166.03,167.95
2013-06-25,169.49,169.71,167.58,169.18
2013-06-26,170.04,170.26,168.76,169.08
2013-06-27,170.09,170.86,169.47,169.77
2013-06-28,167.27,168.09,164.36,166.71
2013-07-01,166.73,168.17,165.83,165.99
2013-07-02,165.54,167.65,165.1,166.17
2013-07-03,165.43,168.52,165.3,167.67
2013-07-05,168.75,169.34,166.9,169.15
2013-07-08,169.72,169.89,168.86,169.18
2013-07-09,166.5,167.29,165.54,165.99
2013-07-10,166.18,167.85,165.98,166.8
2013-07-11,168.16,168.43,167.13,167.29
2013-07-12,167.52,168.09,166.25,166.65
2013-07-15,166.96,169.11,166.32,168.32
2013-07-16,168.36,168.83,167.2,168.21
2013-07-17,168.97,169.11,167.49,168.8
2013-07-18,172.03,174.36,170.05,171.79
2013-07-19,171.73,171.79,167.66,167.95
2013-07-22,167.82,169.89,167.7,168.41
2013-07-23,168.51,170.44,168.42,169.18
2013-07-24,170.02,171.19,169.95,170.6
2013-07-25,170.32,171.65,169.78,171.13
2013-07-26,170.58,171.24,169.2,171.22
2013-07-29,170.8,171.1,169.66,170.24
2013-07-30,170.95,171.65,169.91,170.07
2013-07-31,168.75,170.87,168.75,169.23
2013-08-01,170.64,171.08,169.56,169.91
2013-08-02,169.63,169.63,167.65,169.34
2013-08-05,169.34,169.96,168.62,169.63
2013-08-06,166.81,167.04,165.11,165.7
2013-08-07,165.34,165.61,163.98,164.43
2013-08-08,165.2,165.57,162.89,163.88
2013-08-09,163.94,164.97,163.07,163.78
2013-08-12,163.05,165.3,162.98,164.9
2013-08-13,165.28,165.65,163.57,164.32
2013-08-14,164.45,164.75,163.33,163.54
2013-08-15,162.4,163.07,161.73,162.01
2013-08-16,161.81,162.59,161.64,161.64
2013-08-19,161.61,162.62,160.46,160.67
2013-08-20,160.76,161.87,159.72,160.93
2013-08-21,161.01,162.69,160.71,161.2
2013-08-22,161.82,162.42,160.68,161.51
2013-08-23,161.64,161.97,160.94,161.7
2013-08-26,161.58,163.07,161.02,161.08
2013-08-27,160.13,160.87,159.2,159.35
2013-08-28,159.52,159.99,157.91,158.85
2013-08-29,158.67,160.19,158.22,159.26
2013-08-30,160.22,160.45,159.13,159.79
2013-09-03,160.13,160.72,159.15,160.44
2013-09-04,160.08,160.64,158.98,159.69
2013-09-05,159.89,161.33,159.64,160.61
2013-09-06,161.0,161.32,159.26,159.61
2013-09-09,160.17,161.77,159.85,161.31
2013-09-10,163.23,163.63,162.53,162.72
2013-09-11,162.92,166.45,162.92,166.3
2013-09-12,166.53,166.83,165.55,166.33
2013-09-13,166.74,168.38,166.56,167.57
2013-09-16,168.91,169.89,167.98,168.43
2013-09-17,168.66,169.3,167.29,167.56
2013-09-18,167.97,169.95,167.42,169.55
2013-09-19,169.33,169.95,168.49,168.63
2013-09-20,169.15,169.56,165.68,165.68
2013-09-23,165.73,167.79,165.11,166.55
2013-09-24,166.5,167.05,165.4,165.64
2013-09-25,165.8,166.24,164.37,165.22
2013-09-26,165.76,167.23,165.21,165.88
2013-09-27,164.69,164.76,162.58,163.0
2013-09-30,162.68,163.71,161.63,162.34
2013-10-01,161.64,162.77,161.0,162.54
2013-10-02,161.81,162.47,160.78,161.29
2013-10-03,161.04,161.29,159.58,160.34
2013-10-04,160.63,161.45,160.08,160.57
2013-10-07,158.58,159.85,158.58,158.72
2013-10-08,158.62,158.7,155.85,155.86
2013-10-09,156.42,158.42,156.18,158.11
2013-10-10,159.72,161.11,159.03,161.11
2013-10-11,161.57,162.4,160.58,162.33
2013-10-14,161.69,163.07,160.79,163.05
2013-10-15,161.97,162.13,160.66,161.01
2013-10-16,161.7,162.84,161.32,162.84
2013-10-17,151.57,154.36,150.47,152.46
2013-10-18,152.43,152.62,151.09,151.55
2013-10-21,152.1,152.39,150.53,150.75
2013-10-22,151.17,153.09,150.82,152.59
2013-10-23,152.7,153.47,152.08,153.28
2013-10-24,153.86,155.14,153.69,155.06
2013-10-25,155.58,156.18,153.7,154.22
2013-10-28,154.38,155.14,153.64,154.64
2013-10-29,154.89,158.99,154.77,158.82
2013-10-30,158.44,158.87,156.83,157.1
2013-10-31,157.49,159.26,156.96,157.12
2013-11-01,156.78,157.28,155.99,156.31
2013-11-04,156.87,157.66,156.39,157.21
2013-11-05,156.53,156.78,154.97,155.1
2013-11-06,155.98,157.6,155.87,157.1
2013-11-07,157.47,159.03,157.47,157.8
2013-11-08,156.77,157.88,155.47,157.79
2013-11-11,157.96,160.76,157.84,160.34
2013-11-12,160.02,161.37,159.78,160.52
2013-11-13,159.79,160.91,159.2,160.91
2013-11-14,158.23,160.63,157.53,159.74
2013-11-15,159.9,160.69,158.83,160.63
2013-11-18,160.88,162.17,160.68,161.74
2013-11-19,161.86,163.23,161.46,162.41
2013-11-20,162.38,163.27,161.88,162.35
2013-11-21,162.66,162.86,160.77,161.44
2013-11-22,160.86,162.17,157.72,158.95
2013-11-25,157.96,158.47,155.91,156.87
2013-11-26,156.63,156.87,155.45,155.45
2013-11-27,155.92,157.96,155.91,156.9
2013-11-29,157.12,158.48,156.93,157.55
