Date,Open,High,Low,Close
2013-01-02,23.32,23.91,23.14,23.5
2013-01-03,23.57,23.59,22.9,22.92
2013-01-04,22.92,23.0,22.6,22.79
2013-01-07,22.64,23.3,22.62,23.25
2013-01-08,23.17,23.5,23.08,23.28
2013-01-09,23.3,23.66,23.25,23.53
2013-01-10,23.7,23.73,23.36,23.72
2013-01-11,23.72,23.77,23.36,23.51
2013-01-14,23.5,23.54,23.36,23.52
2013-01-15,23.47,23.6,23.08,23.54
2013-01-16,23.5,23.52,23.34,23.5
2013-01-17,23.49,24.0,23.41,23.74
2013-01-18,23.75,24.04,23.67,24.01
2013-01-22,23.94,24.14,23.74,23.96
2013-01-23,23.95,24.44,23.93,24.38
2013-01-24,24.39,24.4,24.12,24.26
2013-01-25,24.23,24.27,23.86,24.23
2013-01-28,24.25,24.4,23.7,24.15
2013-01-29,23.75,24.02,23.47,23.98
2013-01-30,23.95,24.05,23.41,23.6
2013-01-31,23.7,23.9,23.42,23.5
2013-02-01,23.68,23.94,23.22,23.93
2013-02-04,23.73,23.86,23.32,23.43
2013-02-05,23.56,23.73,23.36,23.55
2013-02-06,23.39,23.5,22.93,23.17
2013-02-07,23.23,23.25,22.86,23.01
2013-02-08,23.11,23.32,22.76,22.92
2013-02-11,22.92,23.14,22.67,22.87
2013-02-12,22.9,23.36,22.83,23.29
2013-02-13,23.3,23.43,23.05,23.26
2013-02-14,23.2,23.3,23.0,23.01
2013-02-15,23.01,23.19,22.76,23.06
2013-02-19,23.03,23.42,22.86,23.42
2013-02-20,23.35,23.46,22.83,22.84
2013-02-21,22.81,22.87,22.21,22.4
2013-02-22,22.47,22.71,22.33,22.55
2013-02-25,22.58,22.72,21.77,21.89
2013-02-26,21.97,21.99,21.67,21.86
2013-02-27,21.89,22.17,21.88,22.06
2013-02-28,22.09,22.59,21.98,22.3
2013-03-01,21.3,22.08,20.64,21.58
2013-03-04,21.53,21.55,21.17,21.36
2013-03-05,21.44,21.54,21.19,21.27
2013-03-06,21.29,21.32,21.03,21.13
2013-03-07,21.14,21.47,21.0,21.11
2013-03-08,21.16,21.48,21.15,21.33
2013-03-11,21.28,21.36,21.1,21.2
