Date,Open,High,Low,Close
2013-01-02,2.9169,2.9348,2.8902,2.9348
2013-01-03,2.8991,2.9081,2.8633,2.8723
2013-01-04,2.8633,2.9081,2.8544,2.9081
2013-01-07,2.9169,2.9348,2.9081,2.9348
2013-01-08,2.9348,2.9795,2.9259,2.9795
2013-01-09,3.096,3.1138,3.0602,3.069
2013-01-10,3.0779,3.1138,3.0602,3.096
2013-01-11,3.1316,3.1407,3.0869999999999997,3.1316
2013-01-14,3.1675,3.2123,3.1497,3.2034
2013-01-15,3.1407,3.1675,3.1228,3.1407
2013-01-16,3.0065,3.0602,2.9975,3.0512
2013-01-17,3.0512,3.0869999999999997,3.0422,3.0602
2013-01-18,3.069,3.0779,3.0333,3.0602
2013-01-22,3.0153,3.0333,2.9975,3.0243
2013-01-23,2.9707,2.9795,2.9527,2.9707
2013-01-24,2.9975,3.0512,2.9886,3.0333
2013-01-25,3.0422,3.0602,3.0065,3.0422
2013-01-28,3.0243,3.0333,2.9795,2.9886
2013-01-29,2.9259,2.9438,2.9081,2.9348
2013-01-30,2.8723,2.9169,2.8544,2.9081
2013-01-31,2.9169,2.9527,2.9081,2.9438
2013-02-01,2.9259,2.9348,2.8991,2.9259
2013-02-04,2.8723,2.8813,2.8364,2.8544
2013-02-05,2.8991,2.9169,2.8723,2.8991
2013-02-06,2.8813,2.9348,2.8813,2.9169
2013-02-07,2.9259,2.9527,2.8902,2.9169
2013-02-08,2.9795,3.0065,2.9707,2.9975
2013-02-11,2.9617,2.9707,2.9348,2.9438
2013-02-12,3.069,3.1138,3.0602,3.1138
2013-02-13,3.069,3.1138,3.0602,3.069
2013-02-14,3.0333,3.0602,3.0153,3.0512
2013-02-15,3.0422,3.0602,2.9975,3.0065
2013-02-19,3.0512,3.0869999999999997,3.0422,3.069
2013-02-20,3.0602,3.069,2.9975,2.9975
2013-02-21,2.9527,2.9617,2.9081,2.9259
2013-02-22,2.9886,3.0153,2.9617,3.0065
2013-02-25,2.9886,3.0065,2.8633,2.8723
2013-02-26,2.8902,2.8991,2.8454,2.8902
2013-02-27,2.8454,2.9438,2.8364,2.9438
2013-02-28,2.9438,2.9975,2.9348,2.9527
2013-03-01,2.738,2.8633,2.7201,2.8275
2013-03-04,2.7648,2.8005,2.7469,2.8005
2013-03-05,2.8005,2.8364,2.7917,2.8095
2013-03-06,2.8005,2.8005,2.738,2.7648
2013-03-07,2.7022,2.7112,2.6843,2.7022
2013-03-08,2.7022,2.7112,2.6665,2.6933
2013-03-11,2.6575,2.7112,2.6484,2.7022
2013-03-12,2.7112,2.7201,2.6754,2.7022
2013-03-13,2.7112,2.7559,2.6933,2.7291
2013-03-14,2.7201,2.7559,2.7201,2.738
2013-03-15,2.738,2.738,2.7112,2.7112
2013-03-18,2.6754,2.7112,2.6575,2.6843
2013-03-19,2.7022,2.7201,2.6484,2.6575
2013-03-20,2.6933,2.7022,2.6665,2.6933
2013-03-21,2.6575,2.6754,2.6217,2.6217
2013-03-22,2.6754,2.6843,2.6397,2.6575
2013-03-25,2.6754,2.6754,2.5771,2.5949
2013-03-26,2.5591,2.6038,2.5591,2.5859
2013-03-27,2.6128,2.6484,2.5949,2.6217
2013-03-28,2.6484,2.6843,2.6397,2.6843
2013-04-01,2.6843,2.6843,2.6038,2.6217
2013-04-02,2.6575,2.6754,2.6307,2.6484
2013-04-03,2.6754,2.6843,2.6128,2.6217
2013-04-04,2.6217,2.6397,2.5949,2.6217
2013-04-05,2.5591,2.6038,2.5411,2.6038
2013-04-08,2.5321,2.5591,2.5232,2.5591
2013-04-09,2.5949,2.6038,2.5591,2.5949
2013-04-10,2.6397,2.6665,2.6307,2.6575
2013-04-11,2.6665,2.6933,2.6575,2.6665
2013-04-12,2.6754,2.6933,2.6575,2.6665
2013-04-15,2.6575,2.6665,2.5859,2.5949
2013-04-16,2.6484,2.6665,2.6307,2.6665
2013-04-17,2.6484,2.6484,2.5859,2.6217
2013-04-18,2.5859,2.5949,2.5321,2.5411
2013-04-19,2.5681,2.5771,2.55,2.5771
2013-04-22,2.6484,2.7022,2.6397,2.7022
2013-04-23,2.7469,2.8005,2.7469,2.7828
2013-04-24,2.8005,2.8454,2.8005,2.8454
2013-04-25,2.8991,2.9527,2.8991,2.9527
2013-04-26,2.9348,2.9438,2.9081,2.9348
2013-04-29,2.9795,2.9975,2.9707,2.9975
2013-04-30,3.0512,3.069,3.0065,3.069
2013-05-01,3.0512,3.0602,2.9975,3.0153
2013-05-02,2.9975,3.0333,2.9886,3.0243
2013-05-03,3.0333,3.0512,3.0065,3.0333
2013-05-06,3.0333,3.069,3.0153,3.0602
2013-05-07,3.0602,3.0869999999999997,3.0512,3.0602
2013-05-08,3.1049,3.1407,3.096,3.1407
2013-05-09,3.2123,3.2212,3.1675,3.1943
2013-05-10,3.2212,3.2659,3.2123,3.248
2013-05-13,3.1855,3.2123,3.1587,3.2034
2013-05-14,3.1943,3.239,3.1943,3.23
2013-05-15,3.248,3.2659,3.23,3.2569999999999997
2013-05-16,3.2927,3.3554,3.2838,3.3285
2013-05-17,3.427,3.4449,3.409,3.4449
2013-05-20,3.3912,3.427,3.3912,3.4181
2013-05-21,3.3734,3.3822,3.3196,3.3375
2013-05-22,3.3912,3.4359,3.3285,3.3375
2013-05-23,3.3018,3.3196,3.2749,3.3107
2013-05-24,3.2569999999999997,3.3107,3.248,3.3107
2013-05-28,3.3285,3.3464,3.3018,3.3285
2013-05-29,3.3018,3.3196,3.2838,3.3196
2013-05-30,3.3644,3.3912,3.3554,3.3644
2013-05-31,3.3822,3.409,3.3375,3.3375
2013-06-03,3.3822,3.4181,3.3554,3.4181
2013-06-04,3.409,3.4359,3.3734,3.3822
2013-06-05,3.3912,3.4181,3.3822,3.3912
2013-06-06,3.3822,3.4002,3.3464,3.4002
2013-06-07,3.4002,3.4807,3.3734,3.4807
2013-06-10,3.4449,3.4539,3.409,3.4539
2013-06-11,3.3644,3.4359,3.3554,3.409
2013-06-12,3.427,3.427,3.3464,3.3464
2013-06-13,3.427,3.4718,3.409,3.4628
2013-06-14,3.5074,3.5165,3.4002,3.4449
2013-06-17,3.4718,3.4985,3.427,3.4359
2013-06-18,3.5074,3.5165,3.4718,3.4985
2013-06-19,3.4628,3.4807,3.3734,3.4002
2013-06-20,3.4359,3.4449,3.3375,3.3464
2013-06-21,3.409,3.427,3.3285,3.3822
2013-06-24,3.3375,3.3822,3.3107,3.3375
2013-06-25,3.3912,3.4181,3.3554,3.409
2013-06-26,3.427,3.4539,3.409,3.4359
