Date,Open,High,Low,Close
2013-01-02,61.78,62.5,60.42,61.19
2013-01-03,50.33,53.74,49.11,50.7
2013-01-04,50.45,53.35,50.4,52.31
2013-01-07,51.63,52.22,49.88,50.07
2013-01-08,49.55,49.71,46.92,47.76
2013-01-09,47.46,50.24,47.46,50.04
2013-01-10,50.99,51.89,50.0,50.08
2013-01-11,50.13,51.15,49.06,50.99
2013-01-14,51.22,51.51,50.36,50.51
2013-01-15,52.5,53.59,51.07,51.12
2013-01-16,51.51,53.05,51.3,52.74
2013-01-17,52.73,52.9,51.251999999999995,51.81
2013-01-18,50.74,51.85,49.46,50.17
2013-01-22,49.25,49.75,46.98,48.08
2013-01-23,48.5,52.0,47.5,51.69
2013-01-24,41.85,55.11,41.75,51.01
2013-01-25,50.35,53.56,49.82,50.13
2013-01-28,50.17,50.17,47.82,48.36
2013-01-29,48.12,48.52,46.95,48.5
2013-01-30,48.05,50.86,48.05,50.13
2013-01-31,50.6,53.9,50.23,53.22
2013-02-01,54.25,54.5,52.4,54.23
2013-02-04,51.14,56.4,50.67,53.0
2013-02-05,53.25,53.4,51.51,52.23
2013-02-06,51.8,52.89,51.25,52.73
2013-02-07,52.37,54.72,52.06,54.48
2013-02-08,54.4,54.95,52.84,52.97
2013-02-11,52.7,53.85,52.25,53.32
2013-02-12,52.86,53.2,51.44,51.88
2013-02-13,51.7,54.95,51.5,54.17
2013-02-14,53.69,54.29,52.72,53.28
2013-02-15,53.52,53.69,52.5,52.9
2013-02-19,53.09,54.69,52.14,54.54
2013-02-20,54.18,55.67,52.23,52.61
2013-02-21,52.44,52.8,51.21,51.64
2013-02-22,52.54,53.59,52.04,52.85
2013-02-25,53.6,53.6,51.07899999999999,51.56
2013-02-26,52.5,52.5,51.42,51.68
2013-02-27,51.56,52.15,51.42,51.64
2013-02-28,51.56,53.45,51.08,52.73
2013-03-01,51.5,51.95,50.05,51.19
2013-03-04,51.29,51.5,49.84,50.3
2013-03-05,51.01,51.39,50.1,51.05
2013-03-06,51.21,51.7,50.23,50.87
2013-03-07,53.3,54.95,52.5,54.53
2013-03-08,54.5,56.37,54.12,55.72
2013-03-11,55.58,57.93,54.771,57.59
2013-03-12,58.75,65.77,58.75,65.55
2013-03-13,63.75,63.75,59.02,59.78
2013-03-14,60.29,60.88,58.1,58.92
2013-03-15,58.77,59.58,57.28,57.52
2013-03-18,56.01,57.2,55.36,56.38
2013-03-19,56.2,56.27,53.16,53.86
2013-03-20,53.92,56.47,53.92,55.2
2013-03-21,53.49,55.0,52.8,54.66
2013-03-22,54.66,55.15,52.42,52.81
2013-03-25,53.05,53.72,52.38,53.54
2013-03-26,54.25,54.56,51.5,51.84
2013-03-27,52.01,56.45,51.91,55.22
2013-03-28,54.89,55.88,53.16,55.51
2013-04-01,55.51,56.11,54.06,54.47
2013-04-02,55.68,58.78,55.67,56.55
2013-04-03,56.75,57.39,54.91,55.6
2013-04-04,56.04,58.42,55.78,58.24
2013-04-05,56.52,57.4,55.9,56.84
2013-04-08,56.84,58.35,56.57,58.21
2013-04-09,58.25,59.04,57.55,58.27
2013-04-10,58.22,59.49,58.22,58.76
2013-04-11,59.35,61.27,57.67,59.45
2013-04-12,59.0,62.73,59.0,60.87
2013-04-15,60.54,63.09,59.84,60.53
2013-04-16,60.75,62.44,60.75,61.59
2013-04-17,61.45,61.45,59.38,60.06
2013-04-18,59.5,59.82,57.31,57.87
2013-04-19,58.37,59.915,57.46,59.56
2013-04-22,59.75,60.34,57.26,59.25
2013-04-23,59.48,62.25,58.87,61.28
2013-04-24,60.22,62.57,60.1,61.83
2013-04-25,55.55,57.35,53.33,54.12
2013-04-26,53.85,54.5,51.87,52.08
2013-04-29,51.8,52.15,50.84,51.44
2013-04-30,51.24,51.89,50.5,50.98
2013-05-01,50.75,52.59,50.64,51.31100000000001
2013-05-02,51.19,52.33,51.0,51.44
2013-05-03,52.2,52.72,51.64,51.69
2013-05-06,51.57,51.69,50.52,51.06
2013-05-07,51.32,51.8,50.7,51.25
2013-05-08,51.59,52.24,51.44,51.85
2013-05-09,52.29,53.8,52.15,53.26
2013-05-10,53.59,54.47,52.57,53.79
2013-05-13,52.45,53.98,51.5,52.76
2013-05-14,52.64,53.75,52.51,53.18
2013-05-15,53.02,56.052,52.8,55.0
2013-05-16,55.61,57.0,55.3,56.38
2013-05-17,56.95,57.25,56.42,57.02
2013-05-20,56.43,58.98,56.43,57.89
2013-05-21,57.72,58.59,56.5,56.74
2013-05-22,56.28,56.61,53.61,53.97
2013-05-23,53.0,54.44,52.55,54.15
2013-05-24,53.9,54.29,53.21,53.49
2013-05-28,54.05,55.19,54.05,54.56
2013-05-29,54.59,55.88,54.59,55.48
2013-05-30,55.74,56.39,55.62,55.93
2013-05-31,53.76,54.9,51.66,51.87
2013-06-03,50.99,51.15,49.23,49.78
2013-06-04,49.36,50.98,49.36,49.58
2013-06-05,49.99,50.44,49.58,49.89
2013-06-06,50.84,50.97,50.14,50.82
2013-06-07,51.85,51.85,50.47,50.73
2013-06-10,50.64,50.82,49.68,49.97
2013-06-11,48.75,48.75,45.47,47.11
2013-06-12,47.21,50.98,46.15,47.8
2013-06-13,48.65,50.89,48.1,50.86
2013-06-14,51.0,51.55,50.21,50.32
2013-06-17,50.92,51.25,48.8,49.72
2013-06-18,49.66,50.4,49.51,49.73
2013-06-19,49.58,49.67,48.08,48.15
2013-06-20,46.88,47.44,44.82,45.669
2013-06-21,47.15,47.15,44.55,45.19
2013-06-24,44.32,44.56,42.58,44.12
2013-06-25,46.09,49.16,45.31,48.97
2013-06-26,50.56,51.48,49.24,49.51
2013-06-27,49.63,49.83,48.72,49.12
2013-06-28,48.91,50.7,48.25,49.5
2013-07-01,49.7,50.8,49.7,49.92
2013-07-02,50.04,50.14,47.96,48.74
2013-07-03,48.34,49.902,48.21,49.02
2013-07-05,49.49,49.92,48.66,49.27
2013-07-08,49.29,49.89,47.15,47.8
2013-07-09,47.3,49.16,46.61,48.27
2013-07-10,48.33,49.82,47.9,49.23
2013-07-11,49.82,51.67,49.52,51.33
2013-07-12,51.83,53.21,51.51,51.66
2013-07-15,51.34,51.596000000000004,50.33,50.45
2013-07-16,50.86,51.34,50.13,50.25
2013-07-17,49.8,50.45,48.87,50.4
2013-07-18,49.98,52.166000000000004,49.794,51.48
