Date,Open,High,Low,Close
2014-01-02,19.0,19.45,18.5,18.8
2014-01-03,18.85,18.85,17.648,18.15
2014-01-06,18.0,18.65,17.95,18.6
2014-01-07,19.15,19.6,18.65,19.1
2014-01-08,20.5,20.5,19.05,19.85
2014-01-09,20.0,20.1,19.75,19.9
2014-01-10,20.05,20.1,19.5,19.7
2014-01-13,20.45,20.45,19.1,19.4
2014-01-14,19.3,19.75,18.8,19.05
2014-01-15,19.25,19.8,19.0,19.6
2014-01-16,19.65,19.65,19.05,19.35
2014-01-17,19.7,19.7,18.75,18.95
2014-01-21,19.1,19.65,18.05,18.35
2014-01-22,18.45,21.0,18.45,20.35
2014-01-23,20.05,20.6,19.65,20.05
2014-01-24,19.8,20.0,18.5,19.4
2014-01-27,19.35,19.75,18.55,19.2
2014-01-28,19.25,20.6,19.25,19.9
2014-01-29,19.7,20.2,19.2,19.55
2014-01-30,19.7,20.0,19.3,19.6
2014-01-31,19.55,21.4,19.5,21.2
2014-02-03,21.5,21.95,19.65,20.45
2014-02-04,20.5,21.5,20.1,20.65
2014-02-05,20.7,21.0,19.95,20.95
2014-02-06,21.05,21.15,20.429000000000002,20.75
2014-02-07,21.0,21.45,20.5,21.3
2014-02-10,21.25,22.45,21.1,22.3
2014-02-11,22.5,23.45,21.5,21.9
2014-02-12,7.55,8.9,7.35,8.1
2014-02-13,8.25,8.45,7.9,8.15
2014-02-14,8.1,8.15,7.7,7.9
2014-02-18,8.0,8.0,7.55,7.65
2014-02-19,7.65,7.85,7.65,7.8
2014-02-20,7.75,7.8,7.55,7.6
2014-02-21,7.65,7.8,7.55,7.6
2014-02-24,7.6,7.85,7.55,7.65
2014-02-25,7.65,7.75,7.25,7.3005
2014-02-26,7.4,7.4,6.9,6.95
2014-02-27,6.95,7.15,6.9,7.05
2014-02-28,7.0,7.1,6.8,6.8
2014-03-03,6.95,7.2,6.8,6.85
2014-03-04,7.0,7.4,6.8,7.35
2014-03-05,7.25,7.5,6.95,6.95
2014-03-06,7.0,7.2,6.95,7.0
2014-03-07,7.0,7.15,6.95,7.1
2014-03-10,7.0,7.4,7.0,7.3
2014-03-11,7.2,7.3,7.1,7.2
2014-03-12,7.15,7.25,6.95,6.975
2014-03-13,7.0,7.05,6.95,6.95
2014-03-14,6.95,7.0,6.8,6.9
2014-03-17,6.9,7.15,6.85,7.1
2014-03-18,7.1,7.1,6.9,7.05
2014-03-19,7.05,7.1,6.9,6.95
2014-03-20,6.95,7.0,6.8,6.9
2014-03-21,6.85,6.95,6.8,6.95
2014-03-24,6.95,7.35,6.85,6.9
2014-03-25,6.95,7.1,6.9,6.9
2014-03-26,7.0,7.1,6.55,6.65
2014-03-27,6.7,6.85,6.1,6.3
2014-03-28,6.4,6.4,6.15,6.2
2014-03-31,6.2,6.45,6.15,6.375
2014-04-01,6.25,6.4,5.85,5.95
2014-04-02,6.0,6.2,5.65,6.15
2014-04-03,6.05,6.25,5.9,6.2
2014-04-04,6.5,6.55,5.9,6.2
2014-04-07,6.15,6.15,5.75,5.9
2014-04-08,5.95,6.05,5.75,6.05
2014-04-09,5.95,6.1,5.95,6.05
2014-04-10,6.15,6.25,6.05,6.15
2014-04-11,6.15,6.15,5.75,5.8
2014-04-14,5.95,6.05,5.25,5.4
2014-04-15,5.547999999999999,5.65,5.0505,5.25
2014-04-16,5.2,5.45,5.2,5.35
2014-04-17,5.45,5.5,5.35,5.4
2014-04-21,5.5,5.65,5.45,5.65
2014-04-22,5.65,5.95,5.6,5.775
2014-04-23,5.7,5.7505,5.45,5.55
2014-04-24,5.55,5.7995,5.55,5.7
2014-04-25,5.505,5.8495,5.45,5.475
2014-04-28,5.4,5.5,5.2,5.35
2014-04-29,5.3,5.45,5.25,5.3
2014-04-30,5.3,5.5,5.15,5.35
2014-05-01,5.4,5.45,5.3,5.35
2014-05-02,5.4,5.55,5.2,5.35
2014-05-05,5.15,5.35,5.0,5.25
2014-05-06,5.3,5.3,5.05,5.15
2014-05-07,5.1045,5.1045,5.0,5.05
2014-05-08,5.05,5.15,5.0,5.1
2014-05-09,5.0,5.25,4.55,4.8
2014-05-12,4.85,4.945,4.7365,4.91
2014-05-13,4.9,5.25,4.815,5.15
2014-05-14,5.25,5.45,5.15,5.35
2014-05-15,5.35,5.4,5.05,5.25
2014-05-16,5.3,5.4,5.25,5.3
2014-05-19,5.5,5.6,4.25,4.4
2014-05-20,4.5,4.5,4.25,4.35
2014-05-21,4.45,4.9,4.2575,4.3
