Date,Open,High,Low,Close
2014-01-02,0.34,0.37,0.34,0.36
2014-01-03,0.36,0.36,0.35,0.35
2014-01-06,0.36,0.36,0.35,0.36
2014-01-07,0.35,0.36,0.35,0.36
2014-01-08,0.36,0.38,0.35,0.38
2014-01-09,0.38,0.39,0.36,0.37
2014-01-10,0.37,0.42,0.37,0.41
2014-01-13,0.42,0.43,0.39,0.42
2014-01-14,0.47,0.8,0.45,0.54
2014-01-15,0.54,0.63,0.47,0.56
2014-01-16,0.5,0.6,0.48,0.48
2014-01-17,0.48,0.52,0.42,0.5
2014-01-21,0.51,0.53,0.45,0.48
2014-01-22,0.47,0.51,0.47,0.49
2014-01-23,0.53,0.53,0.48,0.51
2014-01-24,0.51,0.53,0.48,0.5
2014-01-27,0.5,0.51,0.46,0.46
2014-01-28,0.46,0.5,0.45,0.47
2014-01-29,0.48,0.48,0.43,0.45
2014-01-30,0.45,0.46,0.4,0.43
2014-01-31,0.41,0.45,0.41,0.44
2014-02-03,0.44,0.46,0.43,0.44
2014-02-04,0.44,0.46,0.43,0.44
2014-02-05,0.46,0.46,0.43,0.45
2014-02-06,0.46,0.47,0.44,0.47
2014-02-07,0.47,0.48,0.47,0.47
2014-02-10,0.48,0.52,0.48,0.49
2014-02-11,0.52,0.53,0.49,0.51
2014-02-12,0.51,0.53,0.49,0.51
2014-02-13,0.51,0.52,0.48,0.51
2014-02-14,0.52,0.53,0.5,0.51
2014-02-18,0.52,0.57,0.51,0.57
2014-02-19,0.57,0.69,0.57,0.68
2014-02-20,0.7,0.71,0.57,0.68
2014-02-21,0.7,0.7,0.61,0.65
2014-02-24,0.67,0.67,0.61,0.65
2014-02-25,0.65,0.65,0.61,0.62
2014-02-26,0.62,0.65,0.62,0.63
2014-02-27,0.62,0.68,0.62,0.68
2014-02-28,0.67,0.72,0.63,0.63
2014-03-03,0.65,0.7,0.63,0.67
2014-03-04,0.68,0.84,0.66,0.77
2014-03-05,0.76,0.81,0.71,0.72
2014-03-06,0.73,0.8,0.73,0.76
2014-03-07,0.8,0.8,0.75,0.79
2014-03-10,0.79,0.79,0.7,0.75
2014-03-11,0.75,0.78,0.71,0.71
2014-03-12,0.71,0.73,0.66,0.72
2014-03-13,0.73,0.73,0.69,0.7
2014-03-14,0.71,0.73,0.69,0.69
2014-03-17,0.7,0.77,0.7,0.77
2014-03-18,0.77,0.77,0.72,0.74
2014-03-19,0.75,0.77,0.7,0.7
2014-03-20,0.71,0.8,0.71,0.76
2014-03-21,0.73,0.73,0.5,0.52
2014-03-24,0.52,0.58,0.52,0.52
2014-03-25,0.55,0.55,0.52,0.53
2014-03-26,0.53,0.53,0.47,0.47
2014-03-27,0.45,0.5,0.45,0.5
2014-03-28,0.49,0.53,0.49,0.5
2014-03-31,0.5,0.52,0.5,0.5
2014-04-01,0.52,0.52,0.5,0.52
2014-04-02,0.52,0.52,0.48,0.51
2014-04-03,0.5,0.5,0.48,0.49
2014-04-04,0.49,0.49,0.45,0.47
2014-04-07,0.46,0.46,0.4,0.43
2014-04-08,0.43,0.43,0.41,0.42
2014-04-09,0.45,0.47,0.43,0.47
2014-04-10,0.48,0.48,0.41,0.42
2014-04-11,0.4,0.45,0.4,0.44
2014-04-14,0.43,0.46,0.42,0.44
2014-04-15,0.45,0.46,0.43,0.43
2014-04-16,0.42,0.45,0.4,0.44
2014-04-17,0.41,0.42,0.41,0.41
2014-04-21,0.43,0.44,0.43,0.44
2014-04-22,0.42,0.46,0.41,0.44
2014-04-23,0.45,0.45,0.44,0.45
2014-04-24,0.45,0.45,0.41,0.41
2014-04-25,0.41,0.47,0.41,0.47
2014-04-28,0.47,0.48,0.44,0.46
2014-04-29,0.45,0.47,0.42,0.45
2014-04-30,0.45,0.46,0.42,0.42
2014-05-01,0.42,0.44,0.42,0.43
2014-05-02,0.46,0.46,0.43,0.44
2014-05-05,0.43,0.44,0.4,0.42
2014-05-06,0.43,0.43,0.4,0.41
2014-05-07,0.41,0.42,0.4,0.42
2014-05-08,0.42,0.42,0.4,0.42
2014-05-09,0.41,0.41,0.39,0.4
2014-05-12,0.41,0.42,0.38,0.4
2014-05-13,0.39,0.43,0.38,0.41
2014-05-14,0.38,0.42,0.38,0.41
2014-05-15,0.4,0.43,0.38,0.42
2014-05-16,0.42,0.42,0.38,0.4
