Date,Open,High,Low,Close
2014-01-02,9.1199,9.1276,8.9662,9.1117
2014-01-03,9.0689,9.1657,9.0248,9.1589
2014-01-06,9.1371,9.2995,9.1371,9.2925
2014-01-07,9.3457,9.3885,9.2856,9.2856
2014-01-08,9.3149,9.3698,9.2553,9.3222
2014-01-09,9.3311,9.4056,9.3222,9.3532
2014-01-10,9.3532,9.4688,9.3532,9.4688
2014-01-13,9.504,9.504,9.4056,9.4056
2014-01-14,9.4322,9.4688,9.3457,9.3798
2014-01-15,9.4401,9.4401,9.3609,9.4056
2014-01-16,9.4401,9.52,9.3885,9.52
2014-01-17,9.4847,9.652000000000001,9.4778,9.6
2014-01-21,9.636000000000001,9.697000000000001,9.591000000000001,9.6
2014-01-22,9.64,9.64,9.584,9.631
2014-01-23,9.631,9.727,9.609,9.631
2014-01-24,9.65,9.65,9.602,9.602
2014-01-27,9.602,9.631,9.4808,9.547
2014-01-28,9.529,9.571,9.456,9.4877
2014-01-29,9.555,9.564,9.4977,9.529
2014-01-30,9.507,9.616,9.507,9.616
2014-01-31,9.609,9.64,9.579,9.603
2014-02-03,9.631,9.656,9.609,9.631
2014-02-04,9.616,9.665,9.564,9.571
2014-02-05,9.555,9.594,9.522,9.594
2014-02-06,9.584,9.631,9.539,9.584
2014-02-07,9.564,9.65,9.547,9.65
2014-02-10,9.631,9.674,9.609,9.674
2014-02-11,9.631,9.665,9.625,9.631
2014-02-12,9.656,9.711,9.616,9.701
2014-02-13,9.682,9.682,9.616,9.65
2014-02-14,9.64,9.656,9.609,9.616
2014-02-18,9.682,9.682,9.631,9.665
2014-02-19,9.642999999999999,9.738,9.642999999999999,9.738
2014-02-20,9.714,9.714,9.668,9.714
2014-02-21,9.686,9.714,9.634,9.642999999999999
2014-02-24,9.642999999999999,9.651,9.574,9.597999999999999
2014-02-25,9.613,9.613,9.574,9.597999999999999
2014-02-26,9.606,9.634,9.597999999999999,9.613
2014-02-27,9.627,9.668,9.606,9.668
2014-02-28,9.705,9.705,9.642999999999999,9.696
2014-03-03,9.696,9.729,9.668,9.705
2014-03-04,9.696,9.729,9.677,9.696
2014-03-05,9.705,9.756,9.696,9.738
2014-03-06,9.746,9.746,9.634,9.668
2014-03-07,9.62,9.62,9.517000000000001,9.517000000000001
2014-03-10,9.509,9.597999999999999,9.509,9.588
2014-03-11,9.565,9.613,9.565,9.606
2014-03-12,9.588,9.686,9.588,9.668
2014-03-13,9.642999999999999,9.738,9.642999999999999,9.738
2014-03-14,9.729,9.738,9.696,9.729
2014-03-17,9.713,9.78,9.705,9.78
2014-03-18,9.772,9.78,9.705,9.722999999999999
2014-03-19,9.713,9.738,9.628,9.677
2014-03-20,9.63,9.63,9.577,9.591000000000001
2014-03-21,9.582,9.652999999999999,9.582,9.637
2014-03-24,9.652999999999999,9.718,9.637,9.718
2014-03-25,9.699,9.718,9.647,9.681000000000001
2014-03-26,9.727,9.742,9.672,9.727
2014-03-27,9.727,9.791,9.727,9.783999999999999
2014-03-28,9.8,9.812000000000001,9.759,9.812000000000001
2014-03-31,9.821,9.821,9.742,9.775
2014-04-01,9.791,9.791,9.709,9.759
2014-04-02,9.783999999999999,9.783999999999999,9.652999999999999,9.652999999999999
2014-04-03,9.699,9.727,9.652999999999999,9.69
2014-04-04,9.783999999999999,9.783999999999999,9.718,9.759
2014-04-07,9.783999999999999,9.783999999999999,9.742,9.775
2014-04-08,9.804,9.804,9.75,9.767999999999999
2014-04-09,9.791,9.804,9.75,9.791
2014-04-10,9.804,9.851,9.8,9.827
2014-04-11,9.843,9.868,9.812000000000001,9.868
2014-04-14,9.887,9.894,9.8,9.827
2014-04-15,9.827,9.913,9.827,9.913
2014-04-16,9.894,9.933,9.877,9.894
2014-04-17,9.933,9.964,9.877,9.933
2014-04-21,9.898,10.005,9.898,10.005
2014-04-22,10.023,10.07,10.005,10.07
2014-04-23,10.07,10.156,10.07,10.156
2014-04-24,10.162,10.238999999999999,10.132,10.238999999999999
2014-04-25,10.254000000000001,10.254000000000001,10.213,10.254000000000001
2014-04-28,10.247,10.270999999999999,10.169,10.238999999999999
2014-04-29,10.196,10.196,10.162,10.196
2014-04-30,10.196,10.231,10.187999999999999,10.231
2014-05-01,10.261,10.323,10.238999999999999,10.323
2014-05-02,10.307,10.332,10.221,10.332
2014-05-05,10.314,10.344000000000001,10.288,10.323
2014-05-06,10.332,10.350999999999999,10.314,10.350999999999999
2014-05-07,10.384,10.384,10.337,10.376
2014-05-08,10.384,10.412,10.368,10.412
2014-05-09,10.446,10.446,10.394,10.439
2014-05-12,10.439,10.439,10.394,10.439
2014-05-13,10.439,10.470999999999998,10.402000000000001,10.446
2014-05-14,10.48,10.495999999999999,10.439,10.454
2014-05-15,10.485999999999999,10.495999999999999,10.421,10.454
2014-05-16,10.446,10.463,10.43,10.463
2014-05-19,10.470999999999998,10.48,10.421,10.439
2014-05-20,10.43,10.454,10.421,10.454
2014-05-21,10.465,10.474,10.434000000000001,10.474
2014-05-22,10.474,10.474,10.424000000000001,10.442
2014-05-23,10.465,10.474,10.424000000000001,10.474
2014-05-27,10.458,10.458,10.415,10.424000000000001
2014-05-28,10.434000000000001,10.458,10.434000000000001,10.45
2014-05-29,10.465,10.482999999999999,10.434000000000001,10.45
2014-05-30,10.482999999999999,10.482999999999999,10.424000000000001,10.424000000000001
2014-06-02,10.45,10.458,10.415,10.434000000000001
2014-06-03,10.434000000000001,10.434000000000001,10.31,10.31
2014-06-04,10.334000000000001,10.334000000000001,10.198,10.198
2014-06-05,10.171,10.283,10.158,10.283
2014-06-06,10.274000000000001,10.315999999999999,10.264000000000001,10.29
2014-06-09,10.3,10.360999999999999,10.283,10.315999999999999
2014-06-10,10.315999999999999,10.339,10.274000000000001,10.3
2014-06-11,10.31,10.31,10.264000000000001,10.31
2014-06-12,10.283,10.339,10.283,10.339
2014-06-13,10.339,10.339,10.25,10.25
2014-06-16,10.232000000000001,10.274000000000001,10.222999999999999,10.232000000000001
2014-06-17,10.207,10.222999999999999,10.198,10.207
2014-06-18,10.207,10.274000000000001,10.18,10.264000000000001
