Date,Open,High,Low,Close
2014-01-02,4.16,4.4,3.92,4.4
2014-01-03,4.4,4.4,3.92,4.0
2014-01-06,4.08,4.16,3.68,3.84
2014-01-07,3.84,5.36,3.68,4.48
2014-01-08,4.64,4.64,3.92,4.0
2014-01-09,3.6,3.76,3.44,3.6
2014-01-10,3.68,3.76,3.6,3.6
2014-01-13,3.76,4.16,3.68,4.0
2014-01-14,4.0,4.24,3.76,4.08
2014-01-15,4.24,4.4,4.0,4.24
2014-01-16,4.4,4.4,4.0,4.08
2014-01-17,4.16,4.32,4.0,4.08
2014-01-21,4.32,4.32,4.08,4.08
2014-01-22,4.24,4.32,4.08,4.16
2014-01-23,4.16,4.24,3.92,4.08
2014-01-24,4.08,4.08,3.68,3.92
2014-01-27,3.76,3.92,3.6,3.6
2014-01-28,3.68,4.24,3.6,4.08
2014-01-29,4.0,4.24,3.84,3.84
2014-01-30,3.84,4.0,3.76,3.76
2014-01-31,3.84,3.92,3.6,3.84
2014-02-03,4.08,4.08,3.36,3.52
2014-02-04,3.36,3.84,3.36,3.44
2014-02-05,3.6,3.68,3.36,3.44
2014-02-06,3.44,3.68,3.44,3.52
2014-02-07,3.6,4.08,3.6,4.08
2014-02-10,4.32,5.6,4.32,5.44
2014-02-11,6.0,6.4,5.04,5.12
2014-02-12,4.88,5.6,4.48,5.36
2014-02-13,4.96,5.6,4.96,5.2
2014-02-14,5.2,6.0,5.2,5.76
2014-02-18,6.0,6.0,5.2,5.36
2014-02-19,5.76,5.76,5.28,5.44
2014-02-20,5.36,5.76,5.28,5.28
2014-02-21,5.52,7.04,4.88,6.4
2014-02-24,6.8,8.08,5.6,6.08
2014-02-25,6.24,6.8,5.84,6.24
2014-02-26,6.16,6.48,5.68,6.08
2014-02-27,6.0,6.0,5.76,5.84
2014-02-28,6.24,6.32,5.76,6.08
2014-03-03,6.4,6.4,5.68,5.76
2014-03-04,6.16,6.8,6.0,6.48
2014-03-05,6.72,7.52,6.64,7.52
2014-03-06,7.84,8.64,7.6,8.4
2014-03-07,8.64,8.96,7.2,8.08
2014-03-10,8.4,8.88,8.0,8.32
2014-03-11,8.0,8.48,7.84,8.32
2014-03-12,8.4,8.4,7.28,7.6
2014-03-13,7.6,7.6,6.96,7.44
2014-03-14,7.2,7.6,6.88,7.36
2014-03-17,7.36,8.32,7.04,8.0
2014-03-18,8.24,9.04,8.0,8.16
2014-03-19,8.72,9.84,8.24,9.68
2014-03-20,9.6,9.6,8.64,8.8
2014-03-21,8.8,9.84,8.8,9.04
2014-03-24,10.08,14.32,9.68,13.04
2014-03-25,9.44,10.88,8.48,8.8
2014-03-26,8.72,8.96,7.2,7.44
2014-03-27,7.44,7.68,7.04,7.12
2014-03-28,7.28,7.52,7.12,7.2
2014-03-31,7.92,7.92,6.4,7.36
2014-04-01,8.32,8.32,7.52,7.76
2014-04-02,7.84,8.08,7.12,7.28
2014-04-03,7.2,7.28,6.64,6.64
2014-04-04,6.4,6.4,6.0,6.24
2014-04-07,6.4,6.64,6.16,6.32
2014-04-08,6.56,6.56,6.16,6.24
2014-04-09,6.4,6.48,6.24,6.4
2014-04-10,6.4,6.72,6.0,6.0
2014-04-11,6.0,6.32,5.92,5.92
2014-04-14,6.08,6.08,5.6,5.6
2014-04-15,5.6,5.76,5.04,5.36
2014-04-16,5.36,5.76,5.36,5.68
2014-04-17,5.84,5.84,5.2,5.28
2014-04-21,5.28,5.68,5.28,5.6
2014-04-22,5.6,6.24,5.6,6.08
2014-04-23,6.08,6.24,5.6,5.76
2014-04-24,5.84,6.32,5.52,5.92
2014-04-25,5.76,6.08,5.52,5.6
2014-04-28,5.6,5.84,5.28,5.52
2014-04-29,5.28,5.6,5.28,5.44
2014-04-30,5.36,5.6,5.2,5.44
2014-05-01,5.2,5.52,5.2,5.44
2014-05-02,5.52,5.52,5.2,5.28
2014-05-05,5.2,5.28,4.88,5.12
2014-05-06,5.12,5.12,4.88,5.04
2014-05-07,5.04,5.12,4.88,4.96
