Date,Open,High,Low,Close
2014-01-02,5.5,5.5,5.36,5.4
2014-01-03,5.4,5.47,5.38,5.4
2014-01-06,5.4,5.49,5.38,5.38
2014-01-07,5.38,5.46,5.37,5.39
2014-01-08,5.4,5.45,5.3,5.36
2014-01-09,5.4,5.44,5.31,5.44
2014-01-10,5.46,5.75,5.45,5.65
2014-01-13,5.66,5.78,5.5,5.55
2014-01-14,5.59,5.98,5.58,5.8
2014-01-15,5.84,5.9,5.8,5.83
2014-01-16,5.82,5.89,5.79,5.79
2014-01-17,5.7,5.89,5.69,5.86
2014-01-21,5.9,5.9,5.78,5.87
2014-01-22,5.85,6.065,5.85,6.02
2014-01-23,5.99,6.05,5.95,6.02
2014-01-24,6.03,6.03,5.86,5.95
2014-01-27,5.96,5.96,5.77,5.86
2014-01-28,5.84,5.91,5.76,5.89
2014-01-29,5.83,5.97,5.75,5.85
2014-01-30,5.89,5.91,5.71,5.85
2014-01-31,5.73,5.9,5.73,5.78
2014-02-03,5.73,5.82,5.59,5.64
2014-02-04,5.67,5.67,5.57,5.6
2014-02-05,5.6,5.67,5.52,5.58
2014-02-06,5.62,6.06,5.55,5.94
2014-02-07,6.45,6.81,5.91,6.81
2014-02-10,6.81,6.92,6.625,6.87
2014-02-11,6.83,7.18,6.8,7.1
2014-02-12,7.0,7.2,6.93,7.18
2014-02-13,7.15,7.7,7.12,7.37
2014-02-14,7.36,7.73,7.28,7.73
2014-02-18,7.73,7.78,7.52,7.73
2014-02-19,7.7,7.8,7.66,7.77
2014-02-20,7.79,7.85,7.68,7.85
2014-02-21,7.85,7.86,7.66,7.69
2014-02-24,7.71,7.77,7.66,7.7
2014-02-25,7.71,7.75,7.62,7.69
2014-02-26,7.72,7.75,7.65,7.69
2014-02-27,7.67,7.72,7.64,7.7
2014-02-28,7.72,7.75,7.55,7.57
2014-03-03,7.55,7.74,7.5,7.68
2014-03-04,7.77,8.0,7.75,7.9
2014-03-05,7.89,7.98,7.81,7.87
2014-03-06,7.87,7.8999,7.76,7.8
2014-03-07,7.85,7.86,7.75,7.79
2014-03-10,7.8,7.83,7.66,7.68
2014-03-11,7.67,7.685,7.5,7.54
2014-03-12,7.57,7.8,7.53,7.73
2014-03-13,7.76,7.81,7.49,7.58
2014-03-14,7.56,7.74,7.56,7.62
2014-03-17,7.63,7.705,7.56,7.59
2014-03-18,7.62,7.73,7.6,7.71
2014-03-19,7.73,7.87,7.62,7.7
2014-03-20,7.67,7.93,7.65,7.88
2014-03-21,7.92,7.95,7.43,7.54
2014-03-24,7.55,7.69,7.4,7.65
2014-03-25,7.66,7.85,7.54,7.68
2014-03-26,7.72,7.74,7.45,7.45
2014-03-27,7.43,7.67,7.4,7.64
2014-03-28,7.62,7.77,7.51,7.55
2014-03-31,7.58,8.09,7.53,7.84
2014-04-01,7.89,8.35,7.89,8.26
2014-04-02,8.51,8.52,8.055,8.25
2014-04-03,8.37,8.47,8.15,8.19
2014-04-04,8.27,8.27,7.49,7.61
2014-04-07,7.6,7.8,7.37,7.67
2014-04-08,7.67,7.895,7.67,7.87
2014-04-09,7.9,8.165,7.84,8.15
2014-04-10,8.17,8.19,7.87,8.11
2014-04-11,8.02,8.09,7.77,7.84
2014-04-14,7.9,7.98,7.665,7.79
2014-04-15,7.83,7.93,7.62,7.86
2014-04-16,7.93,7.93,7.58,7.82
2014-04-17,7.78,8.07,7.73,8.0
2014-04-21,8.0,8.05,7.79,8.04
2014-04-22,8.05,8.34,7.94,8.2
2014-04-23,8.19,8.25,8.07,8.11
2014-04-24,8.18,8.23,7.84,8.11
2014-04-25,8.63,9.19,8.31,8.73
2014-04-28,8.81,8.99,8.27,8.46
2014-04-29,8.46,8.53,8.18,8.23
2014-04-30,8.18,8.47,8.09,8.42
2014-05-01,8.44,8.51,8.24,8.46
2014-05-02,8.49,8.54,8.15,8.18
2014-05-05,8.15,8.21,8.05,8.125
2014-05-06,8.1,8.12,7.8,7.8
2014-05-07,7.84,8.0,7.81,7.96
2014-05-08,7.97,8.07,7.73,7.79
2014-05-09,7.75,7.9299,7.65,7.87
2014-05-12,7.94,8.575,7.91,8.47
2014-05-13,8.41,8.51,8.29,8.34
2014-05-14,8.33,8.42,8.2,8.22
2014-05-15,8.19,8.19,7.87,7.88
2014-05-16,7.88,8.13,7.85,8.125
2014-05-19,8.07,8.2,8.02,8.13
2014-05-20,8.08,8.08,7.86,7.89
2014-05-21,7.97,8.01,7.86,7.98
2014-05-22,8.04,8.07,7.86,7.87
2014-05-23,7.9,7.98,7.8,7.91
2014-05-27,8.0,8.27,8.0,8.08
2014-05-28,8.1,8.11,7.85,7.95
2014-05-29,8.02,8.05,7.94,7.97
2014-05-30,8.05,8.07,7.885,7.91
2014-06-02,7.91,7.99,7.7,7.77
2014-06-03,7.75,8.0,7.72,7.97
2014-06-04,7.95,8.08,7.86,8.01
2014-06-05,8.04,8.27,7.99,8.25
2014-06-06,8.32,8.37,8.19,8.21
2014-06-09,8.22,8.25,8.01,8.15
2014-06-10,8.16,8.19,8.02,8.15
2014-06-11,8.118,8.35,8.1138,8.24
2014-06-12,8.25,8.3,8.04,8.05
2014-06-13,8.1,8.15,7.9701,8.05
2014-06-16,8.07,8.12,8.03,8.08
2014-06-17,8.05,8.39,7.98,8.31
2014-06-18,8.34,8.3699,8.12,8.21
2014-06-19,8.25,8.29,8.14,8.27
2014-06-20,8.3,8.42,8.2,8.41
2014-06-23,8.47,8.49,8.2,8.31
2014-06-24,8.37,8.375,8.11,8.12
2014-06-25,8.1,8.12,7.89,8.08
2014-06-26,8.1,8.1,7.9,7.93
2014-06-27,7.92,8.18,7.9005,8.18
2014-06-30,8.17,8.3,8.07,8.25
2014-07-01,8.3,8.35,8.17,8.23
2014-07-02,8.23,8.38,8.23,8.28
2014-07-03,8.33,8.5,8.31,8.5
2014-07-07,8.5,8.5,8.11,8.24
2014-07-08,8.2,8.23,7.93,7.98
2014-07-09,8.01,8.09,7.69,7.88
2014-07-10,7.72,8.04,7.58,7.97
2014-07-11,7.97,8.17,7.95,8.1
2014-07-14,8.19,8.25,8.02,8.13
2014-07-15,8.1,8.18,7.96,8.02
2014-07-16,8.11,8.12,7.91,7.92
2014-07-17,7.87,7.96,7.69,7.7
2014-07-18,7.68,7.93,7.62,7.83
2014-07-21,7.78,7.93,7.71,7.92
2014-07-22,7.96,8.19,7.89,8.14
2014-07-23,8.14,8.14,7.21,7.41
2014-07-24,7.49,7.7,7.32,7.39
2014-07-25,6.2,7.23,6.03,7.06
2014-07-28,7.07,7.15,6.94,7.1
2014-07-29,7.1,7.14,6.94,6.96
2014-07-30,7.05,7.05,6.85,6.98
2014-07-31,6.86,6.92,6.75,6.84
2014-08-01,6.81,6.95,6.81,6.86
2014-08-04,6.87,6.935,6.81,6.84
2014-08-05,6.79,6.99,6.73,6.96
2014-08-06,6.92,7.15,6.86,7.1
2014-08-07,7.1,7.18,7.02,7.03
2014-08-08,7.0,7.16,7.0,7.11
2014-08-11,7.13,7.29,7.1,7.25
2014-08-12,7.18,7.275,7.09,7.14
2014-08-13,7.18,7.18,7.1,7.14
2014-08-14,7.11,7.2,7.09,7.12
2014-08-15,7.2,7.21,7.02,7.18
2014-08-18,7.23,7.24,7.1579999999999995,7.24
2014-08-19,7.23,7.32,7.204,7.25
2014-08-20,7.23,7.31,7.23,7.29
2014-08-21,7.27,7.38,7.235,7.35
2014-08-22,7.35,7.53,7.29,7.525
2014-08-25,7.56,7.57,7.35,7.42
2014-08-26,7.46,7.54,7.32,7.52
2014-08-27,7.47,7.52,7.41,7.43
2014-08-28,7.39,7.47,7.35,7.4
2014-08-29,7.43,7.522,7.41,7.51
2014-09-02,7.52,7.57,7.45,7.48
2014-09-03,7.52,7.52,7.4,7.46
2014-09-04,7.48,7.6,7.45,7.5
2014-09-05,7.45,7.65,7.45,7.64
2014-09-08,7.64,7.75,7.58,7.68
2014-09-09,7.65,7.79,7.59,7.68
2014-09-10,7.7,7.77,7.41,7.54
2014-09-11,7.48,7.68,7.45,7.68
2014-09-12,7.68,7.68,7.505,7.52
2014-09-15,7.51,7.5199,7.21,7.23
2014-09-16,7.2,7.32,7.121,7.32
2014-09-17,7.29,7.44,7.26,7.31
2014-09-18,7.37,7.55,7.3497,7.55
2014-09-19,7.6,7.76,7.53,7.57
2014-09-22,7.49,7.66,7.49,7.61
2014-09-23,7.58,7.73,7.5,7.57
2014-09-24,7.61,7.65,7.52,7.56
2014-09-25,7.56,7.57,7.43,7.44
2014-09-26,7.49,7.57,7.435,7.54
2014-09-29,7.42,7.662999999999999,7.4,7.56
2014-09-30,7.59,7.61,7.44,7.5
2014-10-01,7.47,7.53,7.23,7.24
2014-10-02,7.22,7.29,6.91,7.0
2014-10-03,7.04,7.12,6.89,6.89
2014-10-06,6.9,6.95,6.63,6.77
2014-10-07,6.73,6.75,6.53,6.7
2014-10-08,6.67,6.84,6.57,6.8
2014-10-09,6.73,6.81,6.63,6.63
2014-10-10,6.54,6.57,5.95,6.09
2014-10-13,6.09,6.3,6.02,6.14
2014-10-14,6.24,6.26,6.04,6.05
2014-10-15,5.95,6.33,5.94,6.32
2014-10-16,6.25,6.43,6.209,6.4
2014-10-17,6.5,6.58,6.39,6.42
2014-10-20,6.4,6.5399,6.35,6.5
2014-10-21,6.55,6.65,6.5,6.61
2014-10-22,6.63,6.7,6.45,6.46
2014-10-23,6.62,6.68,6.41,6.42
2014-10-24,6.33,6.6,6.22,6.49
2014-10-27,6.48,6.51,6.35,6.465
2014-10-28,6.372000000000001,6.6,6.372000000000001,6.6
2014-10-29,6.61,6.69,6.45,6.45
2014-10-30,6.44,6.44,6.07,6.3
2014-10-31,6.44,6.87,6.35,6.71
2014-11-03,6.72,6.85,6.58,6.59
2014-11-04,6.56,6.65,6.47,6.5
2014-11-05,6.53,6.72,6.44,6.7
