Date,Open,High,Low,Close
2014-01-02,20.92,21.83,20.5,21.72
2014-01-03,21.81,21.96,21.16,21.2
2014-01-06,21.19,21.64,20.87,21.03
2014-01-07,21.12,21.36,20.59,21.05
2014-01-08,21.13,21.78,21.06,21.38
2014-01-09,21.41,22.42,21.32,22.39
2014-01-10,22.38,24.49,22.37,23.64
2014-01-13,23.5,23.62,23.0,23.25
2014-01-14,23.37,24.94,23.25,24.51
2014-01-15,24.68,25.76,24.53,25.19
2014-01-16,26.68,26.68,24.67,25.66
2014-01-17,25.6,25.65,24.53,25.05
2014-01-21,25.2,25.38,24.6,25.25
2014-01-22,25.18,25.54,24.57,24.75
2014-01-23,24.53,25.13,24.53,25.08
2014-01-24,24.85,26.0,24.75,25.72
2014-01-27,25.67,25.79,25.11,25.63
2014-01-28,25.77,26.91,25.57,26.47
2014-01-29,26.35,27.62,26.08,27.6
2014-01-30,27.72,27.98,26.82,27.1
2014-01-31,26.66,27.76,26.09,27.63
2014-02-03,27.91,28.0,27.075,27.42
2014-02-04,27.15,27.76,27.02,27.18
2014-02-05,30.78,32.6,29.1,31.29
2014-02-06,31.13,31.14,29.95,30.57
2014-02-07,31.16,33.9,31.1,32.23
2014-02-10,32.25,32.38,31.21,32.01
2014-02-11,32.02,32.295,30.81,31.0
2014-02-12,30.83,31.08,30.05,30.73
2014-02-13,30.65,30.89,30.11,30.85
2014-02-14,30.94,31.82,30.89,31.44
2014-02-18,31.45,35.36,31.44,35.03
2014-02-19,34.84,35.14,34.01,34.42
2014-02-20,34.22,36.871,34.2,36.29
2014-02-21,36.4,39.15,36.35,37.36
2014-02-24,37.71,38.31,37.46,38.14
2014-02-25,38.7,38.95,37.57,37.73
2014-02-26,37.92,38.1,37.260999999999996,37.49
2014-02-27,37.21,37.36,36.35,36.63
2014-02-28,36.63,36.95,35.82,36.21
2014-03-03,37.34,37.5,35.93,37.01
2014-03-04,37.31,37.62,36.64,37.4
2014-03-05,37.38,37.7,37.3,37.44
2014-03-06,37.44,37.67,37.12,37.4
2014-03-07,37.48,38.55,37.05,38.17
2014-03-10,38.22,38.45,37.38,37.75
2014-03-11,34.75,35.74,32.76,34.6
2014-03-12,34.53,35.567,34.13,35.19
2014-03-13,35.2,35.477,34.677,34.89
2014-03-14,34.65,35.96,34.61,35.01
2014-03-17,35.12,35.48,34.77,35.0
2014-03-18,35.23,36.13,34.76,36.05
2014-03-19,36.23,37.24,35.75,35.97
2014-03-20,35.72,36.93,35.54,36.61
2014-03-21,36.03,37.33,34.83,34.83
2014-03-24,35.13,35.42,32.62,33.65
2014-03-25,33.91,34.58,33.21,34.41
2014-03-26,35.39,35.4,32.34,32.75
2014-03-27,32.59,33.76,32.1,33.37
2014-03-28,33.31,33.96,32.13,32.87
2014-03-31,32.99,34.39,32.71,34.19
2014-04-01,34.16,35.43,33.41,35.15
2014-04-02,39.81,40.33,39.1,39.18
2014-04-03,39.0,40.41,38.28,40.25
2014-04-04,42.5,42.5,40.8,40.99
2014-04-07,41.1,41.4,40.34,40.87
2014-04-08,40.87,42.38,39.545,40.39
2014-04-09,40.44,40.75,38.830999999999996,39.85
2014-04-10,39.94,39.94,37.04,38.0
2014-04-11,37.61,39.01,37.24,38.15
2014-04-14,39.06,39.15,37.36,38.11
2014-04-15,38.12,38.93,36.82,38.75
2014-04-16,39.17,39.8,38.08,38.33
2014-04-17,38.41,38.98,37.62,37.97
2014-04-21,38.34,38.36,37.33,38.16
2014-04-22,38.21,39.54,38.21,39.4
2014-04-23,39.55,39.82,38.73,39.68
2014-04-24,39.64,40.83,38.35,40.08
2014-04-25,39.71,39.94,38.395,38.82
2014-04-28,38.91,39.799,38.14,39.03
2014-04-29,39.4,40.62,39.26,40.6
2014-04-30,40.62,42.44,40.01,42.21
2014-05-01,42.18,42.5,39.25,39.97
2014-05-02,39.97,40.405,39.4,40.05
2014-05-05,40.3,40.98,39.59,40.96
