Date,Open,High,Low,Close
2014-01-02,17.5,17.68,17.25,17.6
2014-01-03,17.67,17.9,17.55,17.68
2014-01-06,17.5,17.51,16.5,16.53
2014-01-07,16.53,16.97,16.4,16.9
2014-01-08,16.97,17.98,16.91,17.91
2014-01-09,17.93,18.77,17.93,18.67
2014-01-10,19.48,19.57,18.3,18.67
2014-01-13,18.54,18.98,18.22,18.81
2014-01-14,18.96,19.46,18.77,19.25
2014-01-15,19.2,19.77,19.16,19.7
2014-01-16,19.72,19.89,19.37,19.82
2014-01-17,19.81,19.94,19.56,19.69
2014-01-21,20.01,20.14,19.81,19.93
2014-01-22,19.88,20.0,19.71,19.95
2014-01-23,19.98,19.98,19.47,19.73
2014-01-24,19.64,19.7,18.81,18.85
2014-01-27,18.97,19.03,17.95,18.67
2014-01-28,18.74,19.35,18.51,19.19
2014-01-29,19.08,19.12,18.79,18.87
2014-01-30,19.06,19.06,18.48,18.71
2014-01-31,18.34,18.78,18.33,18.44
2014-02-03,18.43,18.52,17.16,17.23
2014-02-04,17.38,18.22,16.88,18.15
2014-02-05,18.03,18.17,17.52,17.97
2014-02-06,18.15,18.77,18.05,18.3
2014-02-07,18.39,18.77,18.35,18.6
2014-02-10,18.59,18.67,17.92,18.15
2014-02-11,18.23,18.3,17.92,18.08
2014-02-12,18.14,18.24,17.86,18.05
2014-02-13,17.87,18.49,17.72,18.37
2014-02-14,18.26,18.35,18.08,18.24
2014-02-18,18.26,18.49,18.09,18.18
2014-02-19,18.17,18.32,17.77,17.79
2014-02-20,17.87,18.07,17.5,17.76
2014-02-21,17.73,18.07,17.56,17.6
2014-02-24,17.6,17.89,17.42,17.56
2014-02-25,17.58,17.66,16.68,16.76
2014-02-26,16.76,17.56,16.63,17.32
2014-02-27,17.33,17.5,17.11,17.36
2014-02-28,17.81,18.01,16.62,17.06
2014-03-03,16.81,17.18,16.75,16.94
2014-03-04,17.1,17.49,17.07,17.08
2014-03-05,17.03,17.05,16.81,16.89
2014-03-06,17.0,17.36,16.75,17.25
2014-03-07,17.3,17.31,16.94,17.1
2014-03-10,17.06,17.13,16.88,17.0
2014-03-11,17.08,17.35,16.6,16.78
2014-03-12,14.93,17.15,14.93,16.51
2014-03-13,16.48,16.57,16.25,16.41
2014-03-14,16.41,16.61,16.26,16.59
2014-03-17,16.75,17.1,16.61,16.86
2014-03-18,16.72,17.42,16.71,17.2
2014-03-19,17.33,17.47,17.0,17.23
2014-03-20,17.25,17.28,16.56,16.6
