Date,Open,High,Low,Close
2014-01-02,3.57,3.66,3.54,3.6
2014-01-03,3.54,3.66,3.54,3.54
2014-01-06,3.66,3.66,3.6,3.6585
2014-01-07,3.66,3.69,3.63,3.66
2014-01-08,3.57,3.84,3.57,3.84
2014-01-09,3.72,3.72,3.6,3.69
2014-01-10,3.69,3.87,3.6603,3.75
2014-01-13,3.75,3.78,3.63,3.63
2014-01-14,3.5748,3.69,3.5748,3.69
2014-01-15,3.69,3.69,3.51,3.51
2014-01-16,3.45,3.45,2.73,3.3
2014-01-17,3.3,3.9,3.3,3.66
2014-01-21,3.51,3.6,3.36,3.3897
2014-01-22,3.42,3.588,3.36,3.45
2014-01-23,3.45,3.51,3.33,3.36
2014-01-24,3.51,3.63,3.33,3.45
2014-01-27,3.36,3.36,3.21,3.24
2014-01-28,3.21,3.48,3.21,3.3
2014-01-29,3.42,3.42,3.36,3.36
2014-01-30,3.42,3.42,3.36,3.36
2014-01-31,3.36,3.45,3.3,3.45
2014-02-03,3.45,3.45,3.3,3.42
2014-02-04,3.42,3.48,3.42,3.45
2014-02-05,3.3603,3.39,3.3603,3.39
2014-02-06,3.36,3.42,3.33,3.42
2014-02-07,3.3003,3.3510000000000004,3.21,3.27
2014-02-10,3.33,3.54,3.33,3.45
2014-02-11,3.45,3.5097,3.4344,3.45
2014-02-12,3.51,3.51,3.45,3.48
2014-02-13,3.48,3.5097,3.4722,3.4722
2014-02-14,3.48,3.51,3.48,3.48
2014-02-18,3.498,3.6,3.4503,3.5997
2014-02-19,3.4641,3.72,3.4503,3.69
2014-02-20,3.72,3.72,3.36,3.39
2014-02-21,3.36,3.45,3.21,3.3
2014-02-24,3.45,3.45,3.3783,3.3783
2014-02-25,3.3930000000000002,3.4497,3.39,3.4497
2014-02-26,3.3297,3.45,3.3297,3.4497
2014-02-27,3.36,3.45,3.36,3.3978
2014-02-28,3.39,3.45,3.39,3.45
2014-03-03,3.48,3.51,3.42,3.48
2014-03-04,3.531,3.54,3.42,3.5073
