Date,Open,High,Low,Close
2014-01-02,9.73,9.96,9.73,9.84
2014-01-03,10.24,10.24,9.75,10.12
2014-01-06,10.0,10.4,10.0,10.4
2014-01-07,10.37,10.49,9.81,10.124
2014-01-08,10.18,10.36,10.02,10.255999999999998
2014-01-09,10.41,10.44,10.0,10.06
2014-01-10,10.36,10.49,10.12,10.174
2014-01-13,10.34,10.37,10.07,10.202
2014-01-14,10.41,10.43,10.21,10.35
2014-01-15,10.44,10.49,10.02,10.2
2014-01-16,10.16,10.44,10.16,10.35
2014-01-17,10.4,10.4,10.17,10.4
2014-01-21,10.03,10.35,10.03,10.35
2014-01-22,10.3,10.8,10.13,10.36
2014-01-23,10.47,10.65,10.36,10.45
2014-01-24,10.4,10.41,10.07,10.07
2014-01-27,10.05,10.35,10.05,10.3
2014-01-28,10.36,10.36,10.06,10.2
2014-01-29,10.35,10.56,10.1,10.1
2014-01-30,10.29,10.29,10.29,10.29
2014-01-31,10.31,10.46,10.21,10.44
2014-02-03,10.5,10.5,10.05,10.1
2014-02-04,10.9,10.9,10.14,10.55
2014-02-05,10.41,10.63,10.12,10.32
2014-02-06,10.06,10.89,9.95,10.011000000000001
2014-02-07,10.45,10.51,10.211,10.32
2014-02-10,10.05,10.359000000000002,10.02,10.3
2014-02-11,10.11,10.3,10.11,10.19
2014-02-12,10.16,10.25,10.004,10.1
2014-02-13,9.75,9.969,9.61,9.76
2014-02-14,9.99,9.99,9.76,9.77
2014-02-18,9.76,9.92,9.46,9.69
2014-02-19,9.56,9.77,9.25,9.4
2014-02-20,9.26,9.62,9.26,9.5
2014-02-21,9.76,9.76,9.5,9.548
2014-02-24,9.52,9.52,9.25,9.5
2014-02-25,9.69,9.7,9.4,9.66
2014-02-26,9.64,10.23,9.64,9.891
2014-02-27,10.18,10.18,9.86,9.86
2014-02-28,10.01,10.01,9.98,9.98
2014-03-03,9.97,10.0,9.54,9.91
2014-03-04,9.98,9.99,9.782,9.96
2014-03-05,9.8,10.0,9.71,10.0
2014-03-06,9.98,10.17,9.81,10.07
2014-03-07,10.211,10.532,10.16,10.48
2014-03-10,10.7,10.99,10.41,10.82
2014-03-11,10.84,10.84,9.99,10.14
2014-03-12,10.14,10.64,9.5,9.86
2014-03-13,9.663,10.031,9.663,10.03
2014-03-14,10.14,10.14,9.98,10.1
2014-03-17,10.24,10.24,9.98,10.0
2014-03-18,9.95,10.298,9.95,10.298
2014-03-19,10.28,10.48,10.04,10.1
2014-03-20,10.14,10.3,10.1,10.11
2014-03-21,10.32,10.38,10.12,10.12
2014-03-24,10.23,10.23,9.856,10.1
2014-03-26,10.18,10.35,10.17,10.17
2014-03-27,10.16,10.37,10.01,10.18
2014-03-28,10.345,10.73,10.345,10.52
2014-03-31,10.62,10.97,10.44,10.74
2014-04-01,10.78,10.999,10.542,10.782
2014-04-02,10.89,10.989,10.61,10.82
2014-04-03,10.75,10.875,10.622,10.875
2014-04-04,10.825,11.0,10.527000000000001,10.527000000000001
2014-04-07,10.59,10.81,10.3,10.5
2014-04-08,10.5,10.5,10.152000000000001,10.152000000000001
2014-04-09,10.35,10.51,10.172,10.27
2014-04-10,10.58,10.58,10.26,10.5
2014-04-14,10.21,10.34,10.21,10.34
2014-04-15,10.3,10.37,10.1,10.31
2014-04-16,10.3,10.3,10.29,10.3
2014-04-17,10.38,10.39,10.38,10.39
2014-04-21,10.29,10.74,10.15,10.24
2014-04-22,10.29,10.34,10.22,10.34
2014-04-24,10.45,10.74,10.45,10.47
2014-04-25,10.37,10.632,10.32,10.34
2014-04-28,10.24,10.81,10.24,10.51
2014-04-29,10.58,10.82,10.31,10.31
2014-04-30,10.5,10.56,10.26,10.26
2014-05-01,10.27,10.56,10.23,10.56
2014-05-02,10.45,10.66,10.45,10.56
2014-05-05,10.8,10.85,10.61,10.85
2014-05-06,10.99,11.462,10.9,11.06
2014-05-07,11.19,12.0,11.17,11.69
2014-05-08,11.61,12.7,11.48,12.1
2014-05-09,12.0,12.0,11.16,11.16
2014-05-12,11.44,11.63,11.1,11.5
2014-05-13,11.04,11.21,11.0,11.0
2014-05-15,11.008,11.05,10.01,10.583
2014-05-16,10.59,10.84,10.58,10.7
2014-05-19,10.48,10.66,10.46,10.6
2014-05-20,10.47,10.49,10.44,10.49
2014-05-21,10.2,10.69,10.2,10.4
2014-05-22,10.26,10.34,10.2,10.33
2014-05-23,10.254000000000001,10.28,10.17,10.28
2014-05-27,10.24,10.24,10.02,10.235
2014-05-28,10.25,10.35,10.075,10.075
2014-05-29,10.13,10.3,10.0,10.3
2014-06-02,10.11,10.37,10.01,10.37
2014-06-03,10.305,10.36,10.273,10.29
2014-06-04,10.34,10.4,10.2,10.4
2014-06-05,10.25,10.38,10.25,10.376
2014-06-06,10.49,10.5,10.45,10.460999999999999
2014-06-09,10.56,11.025,10.5,10.85
2014-06-10,10.84,11.5,10.84,11.37
2014-06-11,10.95,11.49,10.5,10.68
2014-06-13,10.4,10.725,10.4,10.725
2014-06-16,10.405,10.92,10.25,10.435
2014-06-17,10.74,10.74,10.4,10.48
2014-06-18,10.62,10.62,10.4,10.4
2014-06-19,10.48,10.48,10.4,10.45
2014-06-20,10.5,10.95,10.5,10.95
2014-06-23,10.9,10.9,10.5,10.5
2014-06-24,10.51,10.9,10.51,10.61
2014-06-25,10.43,10.85,10.4,10.7
2014-06-26,10.52,10.64,10.4,10.56
2014-06-27,10.54,10.73,10.41,10.73
2014-06-30,10.47,10.75,10.47,10.75
2014-07-01,10.75,11.004000000000001,10.64,10.92
2014-07-02,11.6,11.6,10.51,10.84
2014-07-03,10.73,10.82,10.3,10.8
2014-07-07,10.4,10.65,10.4,10.65
