Date,Open,High,Low,Close
2014-01-02,1.7973,1.7973,1.7706,1.7796
2014-01-03,1.7973,1.7973,1.7617,1.7796
2014-01-06,1.8062,1.8062,1.7884,1.7884
2014-01-07,1.8062,1.8329,1.8062,1.8152
2014-01-08,1.8418,1.9308,1.8329,1.9129
2014-01-09,1.8773,1.8773,1.8507,1.8685
2014-01-10,1.8596,1.8863,1.8596,1.8773
2014-01-13,1.8507,1.8596,1.824,1.8596
2014-01-14,1.8596,1.8685,1.8507,1.8685
2014-01-15,1.8773,1.8952,1.8685,1.8863
2014-01-16,1.8952,1.8952,1.8596,1.8685
2014-01-17,1.8685,1.8685,1.8507,1.8596
2014-01-21,1.8596,1.8685,1.8507,1.8596
2014-01-22,1.8596,1.8773,1.8507,1.8596
2014-01-23,1.8685,1.9041,1.8596,1.8863
2014-01-24,1.8596,1.8596,1.824,1.8418
2014-01-27,1.7973,1.8152,1.7884,1.8062
2014-01-28,1.8062,1.8062,1.7796,1.7884
2014-01-29,1.7884,1.7973,1.7617,1.7884
2014-01-30,1.7884,1.8329,1.7796,1.8062
2014-01-31,1.8062,1.8062,1.7796,1.7973
2014-02-03,1.7884,1.7973,1.7617,1.7796
2014-02-04,1.7884,1.7884,1.744,1.7706
2014-02-05,1.7529,1.7706,1.735,1.7529
2014-02-06,1.7706,1.7796,1.7529,1.7706
2014-02-07,1.7617,1.7884,1.7617,1.7796
2014-02-10,1.7706,1.7796,1.7617,1.7617
2014-02-11,1.7617,1.7796,1.7529,1.7617
2014-02-12,1.7796,1.7884,1.7706,1.7796
2014-02-13,1.7706,1.7796,1.7617,1.7796
2014-02-14,1.7796,1.7884,1.7706,1.7796
2014-02-18,1.7796,1.7796,1.7529,1.7706
2014-02-19,1.7706,1.7796,1.7617,1.7796
2014-02-20,1.7706,1.7796,1.7529,1.7796
2014-02-21,1.7796,1.7884,1.7617,1.7796
2014-02-24,1.7796,1.7884,1.7706,1.7706
2014-02-25,1.735,1.7796,1.735,1.7706
2014-02-26,1.7706,1.7796,1.7617,1.7706
2014-02-27,1.7706,1.7796,1.7617,1.7796
2014-02-28,1.7706,1.7884,1.7706,1.7884
2014-03-03,1.7973,1.7973,1.7706,1.7973
2014-03-04,1.7973,1.7973,1.7884,1.7884
2014-03-05,1.7884,1.7973,1.7796,1.7973
2014-03-06,1.8062,1.8596,1.8062,1.8596
2014-03-07,1.8418,1.8418,1.824,1.8418
2014-03-10,1.8329,1.8329,1.7796,1.7796
2014-03-11,1.7973,1.8418,1.7973,1.8152
2014-03-12,1.8152,1.8418,1.8062,1.8329
2014-03-13,1.8507,1.8507,1.824,1.824
2014-03-14,1.8329,1.8329,1.8062,1.8152
2014-03-17,1.824,1.8418,1.824,1.8329
2014-03-18,1.8418,1.8685,1.8418,1.8685
2014-03-19,1.8507,1.8507,1.824,1.8329
2014-03-20,1.824,1.824,1.7973,1.8152
2014-03-21,1.8062,1.8152,1.7796,1.7884
2014-03-24,1.8062,1.8062,1.7706,1.7796
2014-03-25,1.7884,1.8062,1.7706,1.7973
2014-03-26,1.8062,1.824,1.7973,1.8152
2014-03-27,1.8152,1.8507,1.8062,1.8507
2014-03-28,1.8418,1.8507,1.824,1.8418
2014-03-31,1.8418,1.8507,1.8329,1.8507
2014-04-01,1.8596,1.8685,1.8507,1.8685
2014-04-02,1.8685,1.8685,1.8507,1.8685
2014-04-03,1.8685,1.8863,1.8596,1.8685
2014-04-04,1.8685,1.8863,1.8418,1.8507
2014-04-07,1.8507,1.8773,1.8329,1.8685
2014-04-08,1.8596,1.8952,1.8507,1.8863
2014-04-09,1.8952,1.9485,1.8952,1.9485
2014-04-10,1.9396,1.9396,1.9129,1.9219
2014-04-11,1.9129,1.9129,1.8596,1.8773
2014-04-14,1.8773,1.8773,1.8507,1.8596
2014-04-15,1.8685,1.8773,1.8329,1.8596
2014-04-16,1.8596,1.8685,1.8418,1.8685
2014-04-17,1.8685,1.8863,1.8507,1.8863
2014-04-21,1.8863,1.8952,1.8685,1.8863
2014-04-22,1.8863,1.8863,1.8507,1.8685
2014-04-23,1.8863,1.9129,1.8863,1.8952
2014-04-24,1.8952,1.9129,1.8773,1.8863
