Date,Open,High,Low,Close
2015-01-02,17.58,17.7,16.56,17.17
2015-01-05,16.38,16.38,15.75,15.86
2015-01-06,15.47,15.68,14.63,14.8
2015-01-07,15.14,15.19,14.62,14.9
2015-01-08,15.46,15.79,15.46,15.79
2015-01-09,15.22,15.22,14.04,14.27
2015-01-12,14.1,14.1,13.25,13.68
2015-01-13,14.16,14.44,13.3,13.47
2015-01-14,13.01,13.01,12.3,12.98
2015-01-15,13.3,13.44,12.82,12.87
2015-01-16,13.27,14.65,12.51,13.39
2015-01-20,13.06,13.25,12.26,12.46
2015-01-21,12.74,13.06,12.69,12.74
2015-01-22,13.16,14.28,13.16,14.28
2015-01-23,14.01,14.01,13.57,13.77
2015-01-26,13.6,14.01,13.49,14.01
2015-01-27,13.51,13.91,13.38,13.91
2015-01-28,13.65,13.68,13.08,13.08
2015-01-29,13.33,13.87,13.33,13.81
2015-01-30,13.38,13.8,13.38,13.8
2015-02-02,14.02,14.46,14.0,14.4
2015-02-03,14.77,15.22,14.77,15.07
2015-02-04,15.01,15.01,14.8,14.81
2015-02-05,15.23,15.95,15.23,15.72
2015-02-06,16.0,17.42,16.0,17.42
2015-02-09,16.81,16.81,16.16,16.25
2015-02-10,16.35,16.35,16.34,16.34
2015-02-11,15.99,16.44,15.99,16.3
2015-02-12,16.55,17.33,16.54,17.29
2015-02-13,17.44,17.65,17.0,17.08
2015-02-18,17.18,17.18,16.41,16.41
2015-02-19,15.94,16.78,15.7,16.38
2015-02-20,16.2,16.65,16.2,16.65
2015-02-23,16.34,16.52,16.33,16.5
2015-02-24,16.68,16.86,16.65,16.69
2015-02-25,16.76,16.9,16.69,16.9
2015-02-26,16.7,16.7,16.7,16.7
2015-02-27,16.67,16.67,16.66,16.66
2015-03-02,16.75,17.02,16.75,17.02
2015-03-03,16.54,16.6,16.48,16.6
2015-03-04,16.31,16.51,16.31,16.51
2015-03-05,16.64,16.69,16.64,16.69
2015-03-06,17.26,18.48,17.26,18.12
2015-03-09,17.61,17.78,17.32,17.6
2015-03-10,17.09,17.09,16.52,16.52
2015-03-11,16.4,16.5,16.4,16.48
2015-03-12,17.06,17.72,17.06,17.61
2015-03-13,17.3,17.3,16.72,16.82
2015-03-16,17.13,17.13,16.85,16.93
2015-03-17,17.09,17.53,17.09,17.53
2015-03-18,17.64,17.69,16.88,17.12
2015-03-19,16.72,16.72,16.35,16.71
2015-03-20,16.95,17.31,16.95,17.31
2015-03-23,17.38,17.4,17.38,17.4
2015-03-24,17.01,17.01,16.87,16.87
2015-03-25,16.52,16.59,16.0,16.0
2015-03-26,15.59,16.1,15.59,16.1
2015-03-27,15.74,15.85,15.72,15.83
2015-03-30,16.37,16.66,16.37,16.66
2015-03-31,16.21,16.21,16.21,16.21
2015-04-02,16.29,16.68,16.29,16.68
2015-04-06,16.09,16.57,15.8,16.57
2015-04-07,16.53,16.83,16.43,16.83
2015-04-10,16.55,16.55,16.55,16.55
2015-04-13,16.71,16.78,16.66,16.7
2015-04-14,16.51,16.51,16.32,16.49
2015-04-15,16.65,17.25,16.64,17.05
2015-04-16,16.64,17.21,16.55,17.21
2015-04-17,17.79,18.03,16.79,17.05
2015-04-20,16.8,16.91,16.75,16.8
2015-04-21,16.8,16.8,16.79,16.8
2015-04-22,16.43,17.02,16.43,17.02
2015-04-27,16.8,16.8,16.5,16.5
2015-04-28,16.67,17.23,16.67,17.23
2015-04-29,17.38,18.08,17.38,18.03
2015-04-30,18.27,18.3,18.04,18.05
2015-05-04,18.53,18.89,18.53,18.89
2015-05-05,18.6,19.35,18.5,18.9
2015-05-06,18.58,18.73,18.55,18.67
2015-05-07,18.55,18.642,18.55,18.642
2015-05-08,18.78,18.78,18.77,18.77
2015-05-11,18.94,19.32,18.94,19.32
2015-05-12,19.0,19.47,19.0,19.47
2015-05-13,19.45,19.7,19.45,19.7
2015-05-14,19.52,19.52,19.46,19.46
2015-05-15,18.92,18.95,18.73,18.74
2015-05-18,18.96,19.48,18.96,19.48
2015-05-19,19.95,20.6,19.95,20.35
2015-05-20,19.77,19.77,19.45,19.45
2015-05-21,19.39,19.39,19.39,19.39
2015-05-22,19.46,19.59,19.46,19.59
2015-05-26,19.32,19.46,19.32,19.46
2015-05-27,19.69,19.92,19.66,19.92
2015-05-29,19.53,19.78,19.52,19.7
2015-06-01,19.2,19.2,19.0,19.0
2015-06-02,19.119,19.85,19.119,19.85
2015-06-03,19.97,21.0,19.97,20.953000000000003
2015-06-04,20.48,20.55,20.4,20.4
2015-06-05,21.28,21.55,21.06,21.35
