Date,Open,High,Low,Close
2015-01-02,26.93,27.94,26.54,26.96
2015-01-05,26.87,27.32,26.01,26.31
2015-01-06,26.39,26.68,25.08,25.93
2015-01-07,26.6,27.728,25.7,27.19
2015-01-08,28.33,28.33,26.62,26.7
2015-01-09,26.81,28.02,26.81,27.79
2015-01-12,27.89,27.89,26.61,26.85
2015-01-13,26.67,27.93,25.9,26.25
2015-01-14,26.5,26.57,25.54,26.45
2015-01-15,26.75,26.75,25.0,25.48
2015-01-16,25.42,26.26,25.34,26.24
2015-01-20,26.3,27.82,25.67,27.46
2015-01-21,27.28,28.03,26.49,26.78
2015-01-22,27.11,27.65,25.918000000000003,27.5
2015-01-23,27.59,27.75,27.01,27.01
2015-01-26,27.07,28.55,26.66,28.16
2015-01-27,28.44,28.44,27.39,27.86
2015-01-28,28.14,28.15,27.03,27.53
2015-01-29,27.46,28.09,26.99,28.02
2015-01-30,27.67,28.17,27.0,27.02
2015-02-02,27.22,27.23,26.04,26.4
2015-02-03,26.46,27.1,26.26,27.04
2015-02-04,27.17,27.82,26.9,26.97
2015-02-05,27.061999999999998,27.59,26.89,27.44
2015-02-06,27.33,27.88,27.33,27.51
2015-02-09,27.48,27.84,26.98,27.36
2015-02-10,27.384,27.765,27.22,27.35
2015-02-11,27.31,27.77,27.07,27.17
2015-02-12,27.18,27.75,27.04,27.68
2015-02-13,27.6,28.76,27.6,28.66
2015-02-17,28.77,28.84,27.685,27.75
2015-02-18,27.79,27.97,27.24,27.69
2015-02-19,27.7,29.71,27.67,29.31
2015-02-20,29.08,29.08,26.56,27.5
2015-02-23,27.0,27.4,25.976999999999997,26.5
2015-02-24,26.59,26.8,26.0,26.61
2015-02-25,26.71,28.45,26.71,27.99
2015-02-26,28.13,28.623,27.18,27.66
2015-02-27,27.95,27.95,26.51,26.52
2015-03-02,26.44,26.51,25.01,25.16
2015-03-03,25.14,25.16,22.75,23.01
2015-03-04,23.01,23.07,22.39,22.75
2015-03-05,22.76,22.97,22.33,22.5
2015-03-06,22.3,22.6,21.73,21.81
2015-03-09,22.0,22.33,21.51,22.2
2015-03-10,22.2,22.32,21.51,21.8
2015-03-11,21.85,22.12,21.51,22.04
2015-03-12,22.18,22.4,21.97,22.29
2015-03-13,22.34,22.4,21.8,22.19
2015-03-16,22.67,22.67,22.14,22.4
2015-03-17,22.23,22.68,22.2,22.49
2015-03-18,22.51,22.6,21.86,22.19
2015-03-19,22.05,22.6,22.05,22.39
2015-03-20,22.41,24.18,22.41,23.04
2015-03-23,23.1,23.3,22.63,22.96
2015-03-24,23.3,23.3,22.88,22.89
2015-03-25,23.11,23.35,21.52,21.53
2015-03-26,21.59,22.18,21.37,21.56
2015-03-27,21.51,22.8,21.51,22.79
2015-03-30,22.98,23.75,22.5,22.9
2015-03-31,22.9,23.019000000000002,21.8,21.95
2015-04-01,22.07,22.07,20.9,21.3
2015-04-02,21.34,22.52,21.1,22.22
2015-04-06,22.08,23.11,21.49,22.82
2015-04-07,22.8,23.23,21.88,21.88
2015-04-08,21.94,22.27,21.85,22.1
2015-04-09,22.18,22.6,21.45,21.59
2015-04-10,21.76,22.29,21.17,21.79
2015-04-13,21.91,22.36,21.78,21.94
2015-04-14,21.88,22.81,21.7,22.77
2015-04-15,22.53,23.16,22.38,22.76
2015-04-16,23.0,23.5,22.83,23.33
2015-04-17,23.12,23.25,22.5,22.62
2015-04-20,22.52,24.61,22.46,24.51
2015-04-21,24.79,24.89,24.15,24.37
2015-04-22,24.66,24.69,24.02,24.32
2015-04-23,24.31,24.78,24.08,24.16
2015-04-24,24.16,24.78,24.16,24.76
2015-04-27,24.69,24.95,23.77,24.53
2015-04-28,24.13,25.5,24.0,25.09
2015-04-29,24.85,25.09,24.34,24.86
2015-04-30,25.27,25.27,23.32,23.4
2015-05-01,23.58,23.58,22.6,23.0
2015-05-04,24.1,24.52,22.75,24.11
2015-05-05,23.9,24.99,23.18,23.85
2015-05-06,23.81,24.22,23.695,23.89
2015-05-07,23.83,24.75,23.53,24.17
2015-05-08,24.6,25.33,23.79,24.46
2015-05-11,24.14,25.34,23.4,23.53
2015-05-12,23.52,23.98,22.819000000000003,23.34
2015-05-13,23.26,25.31,23.26,25.1
2015-05-14,25.09,26.26,25.06,25.63
2015-05-15,25.72,28.22,25.72,27.94
2015-05-18,27.1,29.47,27.1,29.07
2015-05-19,28.41,29.98,28.41,29.54
2015-05-20,29.74,29.74,28.45,29.17
2015-05-21,29.37,29.89,29.06,29.69
2015-05-22,30.12,31.15,29.78,30.98
2015-05-26,30.92,31.4,30.0,30.97
2015-05-27,31.31,31.35,29.76,31.05
2015-05-28,31.06,31.1,30.51,30.81
2015-05-29,30.93,31.15,30.41,30.89
2015-06-01,30.95,31.22,29.54,29.8
2015-06-02,29.7,30.329,29.4,29.8
2015-06-03,29.96,30.0,29.01,29.19
2015-06-04,29.09,29.53,28.15,28.41
2015-06-05,28.43,30.49,27.55,30.17
2015-06-08,30.21,30.88,29.8,30.52
2015-06-09,30.5,31.09,29.9,30.9
2015-06-10,31.04,31.98,30.65,31.48
2015-06-11,31.13,31.46,30.18,30.51
2015-06-12,30.43,31.42,30.1,30.58
2015-06-15,30.25,31.01,29.91,30.82
2015-06-16,30.7,32.32,30.7,31.96
2015-06-17,31.98,32.04,30.58,31.33
2015-06-18,31.35,32.26,30.86,32.17
2015-06-19,31.78,32.5,31.5,32.17
2015-06-22,32.49,33.04,32.19,32.69
2015-06-23,33.05,37.99,32.13,37.15
2015-06-24,37.27,39.0,37.2,38.86
2015-06-25,39.18,43.74,39.1,43.24
2015-06-26,43.72,43.8,41.05,43.19
2015-06-29,42.5,43.56,42.0,43.33
2015-06-30,43.92,45.43,43.86,45.14
2015-07-01,45.89,45.9,39.87,40.03
2015-07-02,39.31,40.0,37.31,39.78
2015-07-06,39.39,39.85,38.55,39.61
2015-07-07,39.95,39.95,37.45,38.43
2015-07-08,38.26,38.3,36.5,36.99
2015-07-09,37.63,39.14,36.75,36.95
2015-07-10,37.7,38.02,36.69,37.28
2015-07-13,37.27,37.74,36.68,36.8
2015-07-14,36.87,39.88,36.87,39.47
2015-07-15,39.45,39.45,37.51,38.72
2015-07-16,38.22,38.83,37.44,37.84
2015-07-17,37.65,38.61,37.31,38.01
2015-07-20,37.84,38.99,37.14,37.3
2015-07-21,37.31,37.99,36.58,36.76
2015-07-22,36.83,38.82,36.61,38.52
2015-07-23,38.91,42.97,38.51,42.84
2015-07-24,42.78,49.25,42.78,44.93
2015-07-27,45.37,45.37,40.74,41.01
2015-07-28,41.13,42.1,39.68,40.07
2015-07-29,40.1,40.1,37.0,37.01
2015-07-30,37.0,37.68,35.88,37.06
2015-07-31,37.0,41.13,37.0,39.74
2015-08-03,39.3,39.96,37.73,38.19
2015-08-04,38.37,39.16,37.57,38.92
2015-08-05,38.42,40.47,38.42,39.99
2015-08-06,40.3,40.611,39.06,39.57
