Date,Open,High,Low,Close
2015-01-02,4.792,4.792,4.64,4.64
2015-01-05,4.64,4.8,4.64,4.8
2015-01-06,4.6408,4.6408,4.6408,4.6408
2015-01-07,4.64,4.64,4.64,4.64
2015-01-08,4.6408,4.6408,4.48,4.48
2015-01-09,4.4719999999999995,4.48,4.44,4.44
2015-01-12,4.48,4.56,4.4,4.4
2015-01-13,4.408,4.5032,4.408,4.5032
2015-01-14,4.488,4.488,4.48,4.48
2015-01-15,4.48,4.48,4.4,4.4
2015-01-16,4.4,4.48,4.4,4.48
2015-01-20,4.5592,4.8,4.32,4.688
2015-01-21,4.48,4.56,4.08,4.248
2015-01-22,4.08,4.2424,4.0,4.16
2015-01-23,4.16,4.16,4.0,4.0
2015-01-26,4.24,4.32,4.008,4.24
2015-01-27,4.08,4.1056,4.0,4.08
2015-01-28,4.0,4.24,4.0,4.24
2015-01-29,4.1688,4.4,4.1688,4.32
2015-01-30,4.08,4.32,4.08,4.08
2015-02-02,4.08,4.2528,4.08,4.088
2015-02-03,4.08,4.24,4.08,4.16
2015-02-04,4.16,4.32,4.08,4.16
2015-02-05,4.08,4.152,4.08,4.08
2015-02-06,4.16,4.16,4.0928,4.0928
2015-02-09,4.32,4.32,4.0808,4.0808
2015-02-10,4.152,4.32,4.112,4.312
2015-02-11,4.08,4.08,4.08,4.08
2015-02-12,4.0808,4.24,4.008,4.24
2015-02-13,4.008,4.016,4.0,4.0008
2015-02-17,4.0,4.08,4.0,4.08
2015-02-18,4.24,4.24,4.0,4.24
2015-02-19,4.24,4.24,4.2376,4.24
2015-02-20,4.232,4.232,4.0,4.152
2015-02-23,4.232,4.232,4.0,4.0088
2015-02-24,4.1592,4.1592,3.84,4.0
2015-02-25,4.16,4.24,4.0,4.0
2015-02-26,4.2152,4.2152,4.0,4.0
2015-02-27,4.16,4.16,4.0,4.0
2015-03-02,4.08,4.08,3.84,3.84
2015-03-03,3.84,3.92,3.84,3.92
2015-03-04,4.08,4.08,3.76,3.92
2015-03-05,3.76,4.0,3.68,4.0
2015-03-06,3.68,4.08,3.68,3.84
2015-03-09,3.92,3.92,3.92,3.92
2015-03-10,3.92,3.92,3.92,3.92
2015-03-11,3.84,3.92,3.84,3.92
2015-03-12,3.84,3.84,3.68,3.76
2015-03-13,3.84,3.84,3.84,3.84
2015-03-16,3.76,3.84,3.76,3.76
