Date,Open,High,Low,Close
2015-01-02,12.491,12.491,12.43,12.43
2015-01-05,12.350999999999999,12.431,12.341,12.421
2015-01-06,12.341,12.459000000000001,12.341,12.341
2015-01-07,12.370999999999999,12.491,12.171,12.431
2015-01-08,12.210999999999999,12.411,12.210999999999999,12.411
2015-01-09,12.290999999999999,12.380999999999998,12.290999999999999,12.290999999999999
2015-01-12,12.241,12.370999999999999,12.200999999999999,12.210999999999999
2015-01-13,12.151,12.190999999999999,12.092,12.171
2015-01-14,12.210999999999999,12.231,12.200999999999999,12.200999999999999
2015-01-15,12.012,12.231,11.852,11.852
2015-01-16,11.622,12.082,11.612,11.722000000000001
2015-01-20,11.692,11.692,11.042,11.192
2015-01-21,11.112,11.412,11.052,11.092
2015-01-22,11.142000000000001,11.472000000000001,11.092,11.41
2015-01-23,11.392000000000001,11.392000000000001,11.092,11.172
2015-01-26,11.112,11.432,11.112,11.292
2015-01-27,11.092,11.345,11.042,11.042
2015-01-28,11.272,11.272,11.222000000000001,11.262
2015-01-29,11.082,11.082,11.082,11.082
2015-01-30,11.072000000000001,11.102,10.992,11.102
2015-02-02,10.453,10.704,10.453,10.543
2015-02-03,10.822000000000001,10.822000000000001,10.822000000000001,10.822000000000001
2015-02-04,10.543,10.543,10.543,10.543
2015-02-05,10.742,10.772,10.603,10.603
2015-02-06,10.513,10.594000000000001,10.513,10.594000000000001
2015-02-09,10.323,10.682,10.323,10.392999999999999
2015-02-10,10.302999999999999,10.427999999999999,9.843,10.073
2015-02-11,10.21,10.232999999999999,10.21,10.232999999999999
2015-02-12,10.073,10.083,10.073,10.073
2015-02-13,9.972999999999999,11.242,9.972999999999999,10.343
2015-02-17,10.222999999999999,10.974,10.222999999999999,10.974
2015-02-18,10.232999999999999,11.252,10.232999999999999,11.252
2015-02-19,10.392999999999999,10.613,10.392999999999999,10.613
2015-02-24,10.533,10.613,10.203,10.383
2015-02-25,10.203,10.413,10.203,10.363
2015-02-26,10.682,11.112,10.642999999999999,10.732000000000001
2015-02-27,10.663,10.94,10.652999999999999,10.652999999999999
2015-03-02,10.373,10.373,9.993,9.993
2015-03-03,10.493,10.493,9.993,10.033
2015-03-04,10.123,10.482999999999999,10.123,10.222999999999999
2015-03-05,10.093,10.193,10.013,10.183
2015-03-06,10.013,10.792,10.013,10.552999999999999
2015-03-09,10.663,10.952,10.593,10.603
2015-03-10,10.043,10.043,10.043,10.043
2015-03-11,10.133,10.642999999999999,10.133,10.253
2015-03-12,10.293,10.293,10.093,10.193
2015-03-13,10.213,10.383,10.142999999999999,10.293
2015-03-16,10.213,10.383,10.103,10.373
2015-03-17,10.173,10.472999999999999,10.123,10.353
2015-03-18,10.583,10.892000000000001,10.152999999999999,10.583
2015-03-19,10.772,10.772,10.323,10.323
2015-03-20,10.673,10.673,10.213,10.253
2015-03-23,10.232999999999999,10.323,10.203,10.283
2015-03-24,10.232999999999999,10.312999999999999,10.142999999999999,10.142999999999999
2015-03-25,10.173,10.193,10.173,10.193
2015-03-26,10.163,10.263,9.993,10.203
2015-03-27,10.033,10.243,9.993,10.083
2015-03-30,10.013,10.762,9.953,10.453
2015-03-31,10.872,10.872,10.123,10.193
2015-04-01,10.323,10.323,9.943,10.222999999999999
2015-04-02,10.073,10.073,10.073,10.073
2015-04-06,10.293,10.293,10.033,10.093
2015-04-07,10.093,10.493,10.093,10.103
2015-04-08,9.982999999999999,10.593,9.982999999999999,10.052999999999999
2015-04-09,10.093,10.243,10.093,10.113
2015-04-10,10.052999999999999,10.123,9.982999999999999,10.113
2015-04-13,9.902999999999999,10.062999999999999,9.902999999999999,9.943
2015-04-14,9.892999999999999,9.933,9.812999999999999,9.933
2015-04-15,9.703,10.203,9.703,9.953
2015-04-16,9.892999999999999,9.892999999999999,9.753,9.753
2015-04-17,9.743,9.802999999999999,9.693,9.802999999999999
2015-04-20,10.043,10.043,9.703,9.802999999999999
2015-04-21,9.543,9.993,9.543,9.993
2015-04-22,9.3434,10.093,9.3434,9.982999999999999
2015-04-23,9.783,9.783,9.0137,9.2035
2015-04-24,9.1036,9.873,9.0941,9.3235
2015-04-27,9.1736,9.732999999999999,9.1436,9.4134
2015-04-28,9.2635,9.3434,9.2535,9.3434
2015-04-29,9.2535,9.2935,9.2435,9.2835
2015-04-30,9.2635,9.3834,9.2435,9.3834
2015-05-01,9.2635,9.4134,9.2635,9.4134
2015-05-04,9.2935,9.4334,9.2935,9.3534
2015-05-05,9.533,9.543,9.2035,9.2935
2015-05-06,9.4334,9.4434,9.4234,9.4334
2015-05-07,9.2635,9.4434,9.2435,9.3434
2015-05-08,9.3934,9.4434,9.3434,9.4434
2015-05-11,9.3434,9.4833,9.3434,9.3434
2015-05-12,9.2535,9.2535,9.2535,9.2535
2015-05-13,9.2135,9.4434,9.1436,9.4434
2015-05-14,9.3035,9.3035,9.2135,9.2335
2015-05-15,9.4134,9.4434,9.2935,9.3934
2015-05-18,9.2635,9.4434,9.2635,9.4434
2015-05-21,9.2935,9.4234,9.2635,9.2635
2015-05-26,9.3934,9.4334,9.3934,9.3934
2015-05-27,9.4434,9.4434,9.2735,9.3035
2015-06-01,9.4434,9.4434,9.4434,9.4434
2015-06-02,9.3135,9.4434,9.3135,9.4334
2015-06-03,9.3934,9.833,9.3934,9.573
2015-06-04,9.4434,9.4434,9.4434,9.4434
2015-06-05,9.4134,9.4134,9.4134,9.4134
2015-06-08,9.923,9.933,9.923,9.933
2015-06-09,9.863,9.923,9.664,9.664
2015-06-10,9.883,9.933,9.693,9.693
2015-06-11,9.613,9.683,9.603,9.603
2015-06-15,9.642999999999999,9.693,9.642999999999999,9.693
2015-06-17,9.683,9.933,9.683,9.722999999999999
2015-06-22,9.972999999999999,9.993,9.972999999999999,9.972999999999999
2015-06-24,10.243,10.243,10.243,10.243
2015-06-25,10.493,10.673,10.103,10.183
2015-06-26,10.702,10.982000000000001,10.603,10.982000000000001
2015-06-29,10.113,10.203,9.923,9.923
2015-06-30,10.453,10.453,10.443,10.443
2015-07-01,10.982000000000001,10.982000000000001,9.943,10.443
2015-07-02,10.093,10.173,10.052999999999999,10.052999999999999
2015-07-07,11.142000000000001,11.142000000000001,11.142000000000001,11.142000000000001
2015-07-08,10.142999999999999,10.552999999999999,9.802999999999999,9.963
2015-07-09,9.963,10.083,9.593,9.593
2015-07-10,9.713,9.833,9.4733,9.573
2015-07-13,9.552999999999999,9.613,9.3434,9.3434
2015-07-14,9.642999999999999,9.982999999999999,9.2535,9.4334
2015-07-15,9.2635,9.623,9.2035,9.3035
2015-07-16,9.4234,9.4334,9.3534,9.3534
2015-07-17,9.4034,9.593,9.3235,9.593
2015-07-20,9.543,9.543,9.4933,9.523
2015-07-23,10.193,10.193,10.152999999999999,10.152999999999999
2015-07-24,9.573,9.773,9.573,9.642999999999999
2015-07-27,9.503,10.193,9.503,10.073
2015-07-28,10.383,10.463,10.093,10.392999999999999
2015-07-29,10.413,10.453,10.243,10.402999999999999
2015-07-30,9.703,10.243,9.652999999999999,9.943
2015-07-31,9.693,9.693,9.543,9.583
2015-08-03,9.582,9.582,9.582,9.582
2015-08-04,9.673,9.673,9.673,9.673
2015-08-06,9.586,9.586,9.586,9.586
2015-08-12,9.562999999999999,9.573,9.562999999999999,9.562999999999999
2015-08-13,9.573,9.573,9.573,9.573
2015-08-14,9.552999999999999,9.552999999999999,9.552999999999999,9.552999999999999
2015-08-17,9.783,9.783,9.763,9.763
2015-08-19,9.633,9.633,9.633,9.633
2015-08-20,9.753,9.753,9.753,9.753
2015-08-21,9.613,9.613,9.613,9.613
2015-08-24,9.613,9.613,9.613,9.613
2015-08-25,9.793,9.793,9.793,9.793
2015-08-26,9.793,9.793,9.703,9.743
2015-08-27,9.793,9.793,9.623,9.623
2015-08-28,9.833,9.833,9.763,9.763
2015-08-31,9.743,9.802999999999999,9.743,9.802999999999999
2015-09-01,9.743,9.743,9.743,9.743
2015-09-02,9.843,9.843,9.743,9.753
2015-09-03,9.833,9.833,9.833,9.833
2015-09-04,9.743,9.743,9.743,9.743
2015-09-08,9.843,9.863,9.753,9.812999999999999
2015-09-09,9.753,9.972999999999999,9.753,9.972999999999999
2015-09-10,9.972999999999999,9.972999999999999,9.743,9.773
2015-09-11,9.743,9.933,9.743,9.933
2015-09-14,9.743,9.873,9.743,9.873
2015-09-16,9.743,9.773,9.743,9.773
2015-09-17,9.743,9.743,9.743,9.743
2015-09-18,9.743,9.823,9.743,9.802999999999999
2015-09-21,9.623,9.843,9.623,9.833
2015-09-23,9.722999999999999,9.732999999999999,9.703,9.703
2015-09-25,9.843,9.843,9.703,9.703
2015-09-28,9.747,9.747,9.747,9.747
2015-09-30,9.693,9.693,9.693,9.693
2015-10-01,9.722999999999999,9.783,9.693,9.693
2015-10-02,9.693,9.693,9.693,9.693
2015-10-05,9.843,9.843,9.843,9.843
2015-10-06,9.843,9.843,9.843,9.843
2015-10-07,9.833,9.833,9.703,9.703
2015-10-08,9.833,9.833,9.833,9.833
2015-10-12,9.833,9.833,9.743,9.743
2015-10-14,9.663,9.663,9.642999999999999,9.642999999999999
2015-10-15,9.652999999999999,9.843,9.4733,9.843
2015-10-16,9.802999999999999,9.802999999999999,9.802999999999999,9.802999999999999
2015-10-19,9.633,9.652999999999999,9.593,9.593
2015-10-20,9.573,9.833,9.573,9.833
2015-10-22,9.703,9.703,9.703,9.703
2015-10-23,9.812999999999999,9.812999999999999,9.812999999999999,9.812999999999999
2015-10-26,9.793,9.793,9.793,9.793
2015-10-28,9.583,9.603,9.2935,9.2935
2015-10-29,9.2935,9.2935,9.2935,9.2935
2015-10-30,8.9937,9.0636,8.9937,9.0636
2015-11-02,8.9337,9.0616,8.9337,9.0616
2015-11-06,9.2435,9.2435,9.2435,9.2435
2015-11-09,8.9237,9.1336,8.9137,8.9137
2015-11-11,9.2135,9.2135,9.2135,9.2135
2015-11-12,9.2035,9.2035,9.2035,9.2035
2015-11-16,8.8938,8.8938,8.8938,8.8938
2015-11-24,9.2235,9.2435,8.8938,8.8938
2015-11-30,8.9937,9.0137,8.9937,9.0137
2015-12-07,9.1336,9.1336,8.9837,8.9937
2015-12-08,8.9937,9.0826,8.9937,8.9937
