Date,Open,High,Low,Close
2015-01-02,16.81,17.71,16.81,17.664
2015-01-05,17.99,17.99,17.5,17.7
2015-01-06,17.7,17.85,17.0,17.0
2015-01-07,17.2,18.6,17.2,18.0
2015-01-08,18.0,18.0,18.0,18.0
2015-01-09,18.0,18.0,17.604,17.9
2015-01-12,17.85,18.0,17.6,17.92
2015-01-13,18.06,18.06,17.96,18.0
2015-01-14,18.0,18.0,18.0,18.0
2015-01-15,17.14,17.14,17.14,17.14
2015-01-16,17.17,17.88,16.94,17.79
2015-01-20,17.52,17.52,16.78,16.78
2015-01-22,17.46,17.94,16.75,16.75
2015-01-23,17.0,17.2,15.78,17.0
2015-01-26,16.75,17.94,16.75,17.9
2015-01-27,17.95,17.95,17.95,17.95
2015-01-28,17.94,17.94,17.0,17.75
2015-01-29,17.5,17.5,17.03,17.25
2015-01-30,17.21,17.5,17.21,17.5
2015-02-02,17.4,17.5,17.4,17.5
2015-02-03,17.97,17.97,17.25,17.49
2015-02-04,17.45,17.5,17.45,17.48
2015-02-05,17.03,17.55,17.021,17.264
2015-02-09,17.011,17.035,17.011,17.035
2015-02-10,17.19,17.26,17.083,17.083
2015-02-11,17.7,17.7,17.07,17.07
2015-02-12,17.62,17.62,17.62,17.62
2015-02-13,17.62,17.62,17.2,17.2
2015-02-17,17.3,17.3,16.75,16.9
2015-02-18,16.82,16.82,16.82,16.82
2015-02-20,16.8,16.8,16.8,16.8
2015-02-23,16.8,17.25,16.77,16.85
2015-02-24,16.8,16.8,16.8,16.8
2015-02-25,16.801,16.801,16.8,16.8
2015-02-26,16.75,16.8,16.0,16.25
2015-02-27,16.28,16.28,16.28,16.28
2015-03-02,16.75,16.9,16.52,16.9
2015-03-03,16.8,17.0,16.79,17.0
2015-03-04,16.85,16.88,16.85,16.88
2015-03-05,16.26,16.6,16.25,16.6
2015-03-09,16.95,17.0,16.6,16.73
2015-03-10,16.75,16.75,16.75,16.75
2015-03-11,16.93,17.0,16.9,16.95
2015-03-12,16.95,16.96,16.94,16.95
2015-03-13,16.99,17.0,16.99,17.0
2015-03-16,16.9,17.08,16.9,16.95
2015-03-17,17.0,17.0,17.0,17.0
2015-03-18,17.01,17.15,17.0,17.02
2015-03-20,17.1,17.25,17.03,17.03
2015-03-23,17.0,17.03,17.0,17.0
2015-03-24,17.0,17.2,17.0,17.2
2015-03-25,17.0,17.17,17.0,17.17
2015-03-26,16.98,16.98,16.98,16.98
2015-03-30,17.24,17.24,17.0,17.0
2015-03-31,17.0,17.21,16.9,17.0
2015-04-01,17.0,17.0,16.9,17.0
2015-04-02,17.1,17.1,17.0,17.0
2015-04-07,17.0,17.084,16.95,17.0
2015-04-08,17.2,17.2,17.2,17.2
2015-04-09,17.2,17.23,17.18,17.23
2015-04-13,17.47,18.21,17.4,18.21
2015-04-14,18.35,18.35,17.5,17.5
2015-04-15,17.5,18.06,17.5,18.06
2015-04-17,18.24,18.24,18.24,18.24
2015-04-20,17.73,17.75,17.73,17.75
2015-04-21,17.76,18.0,17.16,17.51
2015-04-23,18.0,18.24,17.82,17.9
2015-04-24,17.98,18.0,17.02,17.89
2015-04-27,17.55,17.78,17.51,17.77
2015-04-28,17.96,18.0,17.831,18.0
2015-04-30,18.0,18.0,18.0,18.0
2015-05-01,18.0,18.0,17.5,17.71
