Date,Open,High,Low,Close
2015-01-02,131.09,131.92,129.16,130.55
2015-01-05,129.57,130.31,128.09,128.21
2015-01-06,128.21,128.92,126.23,127.82
2015-01-07,128.51,129.41,127.89,128.62
2015-01-08,129.48,131.74,129.48,131.57
2015-01-09,131.81,132.24,129.92,130.02
2015-01-12,129.91,130.53,127.94,128.36
2015-01-13,129.47,130.77,127.09,128.23
2015-01-14,127.2,129.24,127.08,129.13
2015-01-15,129.59,130.05,127.41,127.61
2015-01-16,127.45,127.78,125.59,127.0
2015-01-20,127.22,127.78,125.71,127.18
2015-01-21,126.67,128.5,126.11,128.17
2015-01-22,128.4,129.62,127.77,129.22
2015-01-23,129.27,129.7,128.54,128.69
2015-01-26,128.32,129.55,127.94,129.24
2015-01-27,127.91,128.53,126.7,127.55
2015-01-28,127.86,128.64,126.27,126.47
2015-01-29,126.15,129.75,126.13,129.57
2015-01-30,128.89,129.33,126.91,127.14
2015-02-02,125.68,126.08,123.71,125.96
2015-02-03,126.4,127.75,126.18,127.58
2015-02-04,127.34,127.35,125.27,125.91
2015-02-05,130.13,135.26,130.13,133.8
2015-02-06,135.16,135.68,134.05,135.07
2015-02-09,135.08,136.51,134.7,134.99
2015-02-10,135.92,136.36,134.8,136.22
2015-02-11,136.23,137.16,135.37,136.78
2015-02-12,137.47,138.7,137.36,138.6
2015-02-13,138.32,139.84,138.04,139.29
2015-02-17,139.35,139.78,138.18,139.32
2015-02-18,138.9,139.8,138.31,139.28
2015-02-19,138.87,139.63,138.39,139.42
2015-02-20,139.15,140.55,137.6,140.43
2015-02-23,140.39,140.53,139.48,140.2
2015-02-24,139.9,141.55,139.62,141.14
2015-02-25,140.97,142.7,140.97,142.38
2015-02-26,142.43,142.51,141.11,141.53
2015-02-27,141.77,142.01,140.84,141.55
2015-03-02,142.15,142.61,141.12,142.59
2015-03-03,142.3,142.31,141.52,142.22
2015-03-04,141.32,141.84,140.35,141.77
2015-03-05,141.82,142.41,141.14,141.66
2015-03-06,140.71,141.33,139.44,139.74
2015-03-09,139.99,141.14,139.96,140.69
2015-03-10,139.14,139.48,137.92,137.92
2015-03-11,137.85,138.0,136.5,136.73
2015-03-12,137.49,138.95,137.23,138.79
2015-03-13,138.78,138.78,136.17,137.01
2015-03-16,137.91,138.81,137.44,138.67
2015-03-17,138.73,139.34,137.64,138.46
2015-03-18,138.48,140.84,137.27,140.34
2015-03-19,139.8,140.68,138.61,138.81
2015-03-20,139.05,140.08,138.04,138.14
2015-03-23,138.43,139.31,137.67,137.71
2015-03-24,137.42,138.17,136.62,137.28
2015-03-25,137.54,138.86,136.09,136.11
2015-03-26,135.72,137.01,135.41,136.73
2015-03-27,136.79,138.7,136.65,138.5
