Date,Open,High,Low,Close
2015-01-02,64.08,65.0,63.05,63.97
2015-01-05,63.82,63.98,62.71,63.14
2015-01-06,63.05,63.74,62.82,62.92
2015-01-07,63.25,63.35,62.74,62.96
2015-01-08,63.19,63.93,63.19,63.59
2015-01-09,63.32,63.61,62.803999999999995,63.09
2015-01-12,63.33,63.67,62.6,62.965
2015-01-13,63.4,64.09,63.02,63.43
2015-01-14,64.06,64.06,62.56,62.97
2015-01-15,62.92,63.11,62.43,62.7
2015-01-16,62.5,63.24,62.28,62.9
2015-01-20,63.0,63.49,62.43,63.195
2015-01-21,62.87,63.63,62.74,63.43
2015-01-22,63.6,64.44,63.39,64.26
2015-01-23,64.25,65.34,63.97,65.12
2015-01-26,65.0,65.29,64.53,64.91
2015-01-27,64.24,64.91,64.01,64.295
2015-01-28,64.38,64.78,63.74,64.02
2015-01-29,64.08,64.53,63.66,64.255
2015-01-30,64.06,64.72,63.62,64.35
2015-02-02,64.41,64.88,63.79,64.87
2015-02-03,65.0,65.74,64.93,65.74
2015-02-04,65.64,66.19,65.38,65.75
2015-02-05,66.0,66.87,65.75,66.77
2015-02-06,67.0,67.0,65.67,65.96
2015-02-09,65.78,66.3,65.36,65.97
2015-02-10,66.02,66.92,65.56,66.075
2015-02-11,66.07,66.57,65.55,66.46
2015-02-12,66.69,67.68,66.41,67.44
2015-02-13,67.75,68.06,67.446,67.9
2015-02-17,67.69,67.99,67.36,67.56
2015-02-18,67.55,67.82,67.17,67.69
2015-02-19,67.4,67.91,67.23,67.51
2015-02-20,67.78,67.97,67.08,67.8
2015-02-23,67.96,68.02,67.36,67.8
2015-02-24,67.74,68.05,67.432,67.91
2015-02-25,70.0,74.75,69.995,72.18
2015-02-26,71.25,72.75,71.085,72.265
2015-02-27,72.64,72.88,71.745,71.81
2015-03-02,71.89,72.28,71.55,71.87
2015-03-03,72.11,72.11,71.34,71.6
2015-03-04,71.16,71.46,70.5,70.69
2015-03-05,71.09,71.2,70.53,71.09
2015-03-06,71.0,71.26,70.12,70.65
2015-03-09,70.86,71.64,70.55,71.36
2015-03-10,70.95,71.8,68.5,68.54
2015-03-11,69.23,71.48,69.04,69.78
2015-03-12,71.16,71.17,70.31,71.0
2015-03-13,70.98,71.3,70.43,71.23
2015-03-16,71.56,71.97,71.31,71.64
2015-03-17,71.49,71.73,71.21,71.71
2015-03-18,71.63,71.91,71.03,71.75
2015-03-19,71.7,71.97,71.32,71.55
2015-03-20,71.78,71.89,71.25,71.5
2015-03-23,71.64,71.65,71.0,71.11
2015-03-24,71.3,71.33,70.46,70.64
2015-03-25,71.03,71.08,69.75,69.76
2015-03-26,69.82,70.4,69.5,69.84
2015-03-27,69.85,70.7,69.65,70.48
2015-03-30,70.42,71.39,70.36,71.16
2015-03-31,71.04,71.73,70.75,71.4
2015-04-01,71.48,71.85,71.02,71.53
2015-04-02,71.33,72.5,70.99,72.27
2015-04-06,71.46,72.82,71.42,72.06
2015-04-07,72.0,72.49,71.6,71.72
2015-04-08,71.99,72.63,71.71,72.4
2015-04-09,72.21,72.88,72.07,72.87
2015-04-10,73.0,73.23,72.6,72.86
2015-04-13,72.8,73.21,72.43,72.54
2015-04-14,72.66,72.91,72.08,72.75
2015-04-15,72.69,73.0,72.47,72.65
2015-04-16,72.46,72.78,72.0,72.67
2015-04-17,72.61,72.61,71.43,71.84
2015-04-20,72.18,72.77,71.91,72.38
2015-04-21,72.6,72.96,72.43,72.615
2015-04-22,72.38,72.64,71.98,72.29
2015-04-23,72.01,72.79,72.01,72.48
2015-04-24,72.51,72.87,72.15,72.68
2015-04-27,72.89,73.42,72.29,72.93
2015-04-28,72.78,72.88,72.28,72.64
2015-04-29,75.01,78.09,75.0,76.85
2015-04-30,75.71,76.71,74.93,75.04
2015-05-01,75.12,75.96,75.08,75.71
2015-05-04,75.86,76.8,75.73,76.39
2015-05-05,75.43,75.72,74.12,74.51
2015-05-06,74.45,75.41,72.33,72.49
2015-05-07,70.32,73.19,70.2,72.1
2015-05-08,72.96,74.81,72.64,73.66
2015-05-11,73.88,74.45,73.76,73.76
2015-05-12,73.49,73.96,72.99,73.75
2015-05-13,73.71,74.22,73.21,73.22
2015-05-14,73.49,73.94,73.3,73.45
2015-05-15,73.88,74.1,73.482,73.74
2015-05-18,73.53,73.98,73.35,73.36
2015-05-19,73.35,73.51,73.01,73.4
2015-05-20,73.53,73.61,73.11,73.13
2015-05-21,73.14,73.61,73.01,73.41
2015-05-22,73.39,73.65,73.19,73.44
2015-05-26,73.0,73.25,72.13,72.45
