Date,Open,High,Low,Close
2015-01-02,7.28,7.48,6.99,7.43
2015-01-05,7.2,7.21,6.68,6.73
2015-01-06,6.63,6.76,6.16,6.25
2015-01-07,6.47,6.7,6.07,6.2
2015-01-08,6.54,6.64,6.17,6.25
2015-01-09,6.26,6.35,5.96,6.11
2015-01-12,5.94,6.08,5.78,6.03
2015-01-13,6.02,6.22,5.8,5.96
2015-01-14,5.85,6.18,5.72,6.13
2015-01-15,6.35,6.38,5.85,5.87
2015-01-16,5.93,6.16,5.71,5.87
2015-01-20,5.78,5.86,5.38,5.71
2015-01-21,5.81,5.87,5.57,5.69
2015-01-22,5.74,5.82,5.46,5.63
2015-01-23,5.65,5.73,5.5,5.55
2015-01-26,5.59,5.63,5.39,5.42
2015-01-27,5.37,5.64,5.36,5.52
2015-01-28,5.5,5.5,5.12,5.14
2015-01-29,5.2,5.25,4.8,4.97
2015-01-30,4.93,5.2,4.84,5.06
2015-02-02,5.14,5.55,5.06,5.52
2015-02-03,5.71,6.41,5.69,6.25
2015-02-04,6.15,6.2,5.34,5.44
2015-02-05,5.52,5.99,5.5,5.92
2015-02-06,6.07,6.43,6.0,6.31
2015-02-09,6.44,7.18,6.44,6.62
2015-02-10,6.63,6.7,6.05,6.26
2015-02-11,6.06,6.16,5.8,5.98
2015-02-12,6.28,6.38,6.09,6.14
2015-02-13,6.35,6.7,6.33,6.55
2015-02-17,6.48,6.71,6.36,6.68
2015-02-18,6.58,6.65,6.3,6.35
2015-02-19,6.15,6.51,6.0,6.33
2015-02-20,6.35,6.46,6.15,6.25
2015-02-23,6.15,6.33,6.02,6.11
2015-02-24,6.22,6.28,5.88,5.96
2015-02-25,6.09,6.19,5.7,6.13
2015-02-26,6.04,6.07,5.85,5.92
2015-02-27,5.98,6.05,5.9,5.97
2015-03-02,5.91,5.97,5.75,5.84
2015-03-03,5.86,6.1,5.78,5.82
2015-03-04,5.8,5.87,5.64,5.83
2015-03-05,5.65,6.29,5.51,6.23
2015-03-06,6.06,6.48,6.01,6.35
2015-03-09,6.35,6.49,6.13,6.16
2015-03-10,6.06,6.21,5.72,5.81
2015-03-11,5.86,5.97,5.53,5.65
2015-03-12,5.69,5.74,5.41,5.55
2015-03-13,5.41,5.46,5.06,5.3
2015-03-16,5.24,5.24,5.01,5.15
2015-03-17,5.11,5.15,4.85,4.92
2015-03-18,4.82,5.15,4.63,5.14
2015-03-19,5.0,5.17,4.76,5.11
2015-03-20,5.18,5.31,5.02,5.04
2015-03-23,5.0,5.22,4.94,4.94
2015-03-24,5.0,5.08,4.91,5.05
2015-03-25,5.08,5.29,5.0,5.25
2015-03-26,5.41,5.61,5.25,5.43
2015-03-27,5.29,5.32,5.14,5.17
2015-03-30,5.21,5.26,4.99,5.13
2015-03-31,5.05,5.24,5.01,5.11
2015-04-01,5.13,5.31,5.12,5.22
2015-04-02,5.15,5.36,5.11,5.35
2015-04-06,5.42,5.9,5.38,5.9
2015-04-07,5.81,6.45,5.79,6.03
2015-04-08,6.03,6.17,5.7,5.73
2015-04-09,5.79,5.92,5.6,5.84
2015-04-10,5.87,6.04,5.86,5.91
2015-04-13,6.0,6.11,5.92,6.05
2015-04-14,6.08,6.38,6.07,6.35
2015-04-15,6.4,6.89,6.39,6.85
2015-04-16,6.75,7.06,6.4,6.86
2015-04-17,6.8,6.97,6.63,6.74
2015-04-20,6.75,7.06,6.7,6.77
2015-04-21,6.79,6.91,6.29,6.33
2015-04-22,6.34,6.48,6.13,6.27
2015-04-23,6.33,6.53,6.32,6.36
2015-04-24,6.35,6.4,6.21,6.26
2015-04-27,6.25,6.3,5.85,5.88
2015-04-28,5.86,6.04,5.85,5.93
2015-04-29,5.9,6.45,5.86,6.31
2015-04-30,6.37,6.48,6.16,6.43
2015-05-01,6.33,6.42,6.12,6.21
2015-05-04,6.22,6.42,6.2,6.32
2015-05-05,6.52,6.71,6.41,6.46
2015-05-06,6.63,6.65,6.02,6.19
2015-05-07,6.04,6.15,5.7,5.73
2015-05-08,5.84,6.02,5.53,6.01
2015-05-11,6.05,6.06,5.75,5.79
2015-05-12,5.81,5.94,5.73,5.86
2015-05-13,5.95,5.98,5.7,5.78
2015-05-14,5.8,5.88,5.55,5.58
2015-05-15,5.54,5.74,5.37,5.7
2015-05-18,5.69,5.7,5.48,5.56
2015-05-19,5.54,5.6,5.19,5.19
2015-05-20,5.2,5.26,5.05,5.15
2015-05-21,5.22,5.44,5.18,5.42
2015-05-22,5.33,5.48,5.27,5.32
2015-05-26,5.2,5.28,5.09,5.11
2015-05-27,5.16,5.33,5.09,5.18
2015-05-28,5.12,5.24,5.09,5.19
2015-05-29,5.2,5.47,5.2,5.41
2015-06-01,5.42,5.44,5.23,5.27
2015-06-02,5.33,5.55,5.3,5.48
2015-06-03,5.37,5.52,5.25,5.33
2015-06-04,5.25,5.33,5.2,5.23
2015-06-05,5.15,5.4,5.14,5.28
2015-06-08,5.25,5.31,5.19,5.29
2015-06-09,5.37,5.49,5.32,5.37
2015-06-10,5.44,5.49,5.39,5.48
2015-06-11,5.46,5.53,5.29,5.4
2015-06-12,5.36,5.36,5.21,5.29
2015-06-15,5.25,5.45,5.21,5.36
2015-06-16,5.33,5.4,5.31,5.39
2015-06-17,5.42,5.55,5.36,5.41
2015-06-18,5.42,5.53,5.31,5.42
2015-06-19,5.41,5.55,5.34,5.49
2015-06-22,5.5,5.71,5.4,5.62
2015-06-23,5.61,5.73,5.52,5.67
2015-06-24,5.66,5.75,5.62,5.68
2015-06-25,5.64,5.78,5.54,5.74
2015-06-26,5.71,5.76,5.57,5.67
2015-06-29,5.55,5.58,5.36,5.37
2015-06-30,5.46,5.52,5.31,5.48
2015-07-01,5.42,5.47,5.14,5.16
2015-07-02,5.27,5.35,5.12,5.14
2015-07-06,5.07,5.1,4.77,4.81
2015-07-07,4.75,4.98,4.45,4.85
2015-07-08,4.75,4.84,4.42,4.54
2015-07-09,4.69,4.84,4.6,4.75
2015-07-10,4.84,4.9,4.63,4.67
2015-07-13,4.65,4.84,4.51,4.66
2015-07-14,4.59,4.93,4.59,4.91
2015-07-15,4.83,4.99,4.57,4.6
2015-07-16,4.64,4.8,4.46,4.55
2015-07-17,4.55,4.55,4.4,4.43
2015-07-20,4.43,4.47,4.17,4.3
2015-07-21,4.36,4.59,4.3,4.48
2015-07-22,4.48,4.48,4.17,4.36
2015-07-23,4.43,4.53,4.21,4.52
2015-07-24,4.51,4.51,4.18,4.27
2015-07-27,4.16,4.18,3.95,3.99
2015-07-28,4.02,4.09,3.83,3.88
2015-07-29,3.86,4.08,3.7,4.08
2015-07-30,4.04,4.07,3.9,4.03
2015-07-31,4.02,4.04,3.69,3.77
2015-08-03,3.69,3.7,3.41,3.44
2015-08-04,3.47,3.56,3.38,3.45
2015-08-05,3.54,3.56,3.18,3.2
2015-08-06,3.11,3.77,3.05,3.69
2015-08-07,3.66,3.78,3.21,3.29
2015-08-10,3.36,3.6,3.21,3.58
2015-08-11,3.45,3.5,3.32,3.47
2015-08-12,3.45,3.65,3.45,3.58
2015-08-13,3.48,3.52,3.31,3.4
2015-08-14,3.4,3.54,3.3,3.34
2015-08-17,3.27,3.42,3.23,3.39
2015-08-18,3.35,3.38,3.22,3.35
2015-08-19,3.29,3.34,3.08,3.13
2015-08-20,3.11,3.18,2.99,3.03
2015-08-21,2.97,3.08,2.8,2.82
2015-08-24,2.52,2.92,2.51,2.71
2015-08-25,3.24,3.24,2.68,2.69
